Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) ,COU,Life Expectancy at Birth,Population
Canada,CAN,0,5,6,11,1976,Montreal,CAN,2.06576E+11,CAN,73.9,23449808.0
Romania,ROU,4,9,14,27,1976,Montreal,CAN, $-   ,,,21551631.0
South Korea,KOR,1,1,4,6,1976,Montreal,CAN,29902479339,,,
Trinidad and Tobago,TTO,1,0,0,1,1976,Montreal,CAN,2500410584,,,
Germany,DEU,10,12,17,39,1976,Montreal,CAN,5.19754E+11,DEU,71.8,78336948.0
Netherlands,NLD,0,2,3,5,1976,Montreal,CAN,1.09169E+11,NLD,74.7,13774037.0
Jamaica,JAM,1,1,0,2,1976,Montreal,CAN,2966010230,,,
Thailand,THA,0,0,1,1,1976,Montreal,CAN,16985211146,,,
Austria,AUT,0,0,1,1,1976,Montreal,CAN,42959976222,AUT,71.7,7565525.0
Iran,IRN,0,1,1,2,1976,Montreal,CAN,68055295081,,,
Mongolia,MNG,0,1,0,1,1976,Montreal,CAN, $-   ,,,
United States,USA,34,35,25,94,1976,Montreal,CAN,1.87341E+12,USA,73.0,218035164.0
Finland,FIN,4,2,0,6,1976,Montreal,CAN,31849513771,FIN,72.0,4725665.0
England,GBR,3,5,5,13,1976,Montreal,CAN,2.32615E+11,,,
Russia,RUS,49,41,35,125,1976,Montreal,CAN, $-   ,RUS,67.6,134580091.0
Japan,JPN,9,6,10,25,1976,Montreal,CAN,5.86162E+11,JPN,74.8,113094000.0
Germany,DEU,40,25,25,90,1976,Montreal,CAN,5.19754E+11,DEU,71.8,78336948.0
North Korea,PRK,1,1,0,2,1976,Montreal,CAN, $-   ,,,
Sweden,SWE,4,1,0,5,1976,Montreal,CAN,89362071673,SWE,75.1,8222309.0
New Zealand,NZL,2,1,1,4,1976,Montreal,CAN,13604832424,NZL,72.3,3153535.0
Belgium,BEL,0,3,3,6,1976,Montreal,CAN,71113882968,BEL,72.2,9818228.0
Italy,ITA,2,7,4,13,1976,Montreal,CAN,2.24717E+11,ITA,72.8,55718266.0
Bermuda,BMU,0,0,1,1,1976,Montreal,CAN,386300000,,,
Denmark,DNK,1,0,2,3,1976,Montreal,CAN,44575892473,DNK,73.9,5072597.0
Puerto Rico,PRI,0,0,1,1,1976,Montreal,CAN,8968600000,,,
Brazil,BRA,0,0,2,2,1976,Montreal,CAN,1.52678E+11,BRA,61.3,110213082.0
Pakistan,PAK,0,0,1,1,1976,Montreal,CAN,13168080808,,,
Venezuela,VEN,0,1,0,1,1976,Montreal,CAN,31419534884,,,
Poland,POL,7,6,13,26,1976,Montreal,CAN, $-   ,POL,70.7,34362133.0
