Event,NOC,Pos.,Year,Discipline,Gender Cleaned,Event Cleaned
"Single Sculls, Men",GER,3,2000,Rowing,Men,Single Sculls
"Single Sculls, Women",BLR,1,2000,Rowing,Women,Single Sculls
"Single Sculls, Women",BUL,2,2000,Rowing,Women,Single Sculls
"Single Sculls, Women",GER,3,2000,Rowing,Women,Single Sculls
"Multihull, Open",AUT,1,2000,Sailing,Open,Multihull
"Multihull, Open",AUS,2,2000,Sailing,Open,Multihull
"Multihull, Open",GER,3,2000,Sailing,Open,Multihull
"One Person Dinghy, Men",GBR,1,2000,Sailing,Men,One Person Dinghy
"One Person Dinghy, Men",ITA,2,2000,Sailing,Men,One Person Dinghy
"One Person Dinghy, Men",SWE,3,2000,Sailing,Men,One Person Dinghy
"One Person Dinghy, Open",GBR,1,2000,Sailing,Open,One Person Dinghy
"One Person Dinghy, Open",BRA,2,2000,Sailing,Open,One Person Dinghy
"One Person Dinghy, Open",AUS,3,2000,Sailing,Open,One Person Dinghy
"One Person Dinghy, Women",GBR,1,2000,Sailing,Women,One Person Dinghy
"One Person Dinghy, Women",NED,2,2000,Sailing,Women,One Person Dinghy
"One Person Dinghy, Women",ARG,3,2000,Sailing,Women,One Person Dinghy
"Skiff, Open",FIN,1,2000,Sailing,Open,Skiff
"Skiff, Open",GBR,2,2000,Sailing,Open,Skiff
"Skiff, Open",USA,3,2000,Sailing,Open,Skiff
"Three Person Keelboat, Open",DEN,1,2000,Sailing,Open,Three Person Keelboat
"Three Person Keelboat, Open",GER,2,2000,Sailing,Open,Three Person Keelboat
"Three Person Keelboat, Open",NOR,3,2000,Sailing,Open,Three Person Keelboat
"Two Person Dinghy, Men",AUS,1,2000,Sailing,Men,Two Person Dinghy
"Two Person Dinghy, Men",USA,2,2000,Sailing,Men,Two Person Dinghy
"Two Person Dinghy, Men",ARG,3,2000,Sailing,Men,Two Person Dinghy
"Two Person Dinghy, Women",AUS,1,2000,Sailing,Women,Two Person Dinghy
"Two Person Dinghy, Women",USA,2,2000,Sailing,Women,Two Person Dinghy
"Two Person Dinghy, Women",UKR,3,2000,Sailing,Women,Two Person Dinghy
"Two Person Keelboat, Open",USA,1,2000,Sailing,Open,Two Person Keelboat
"Two Person Keelboat, Open",GBR,2,2000,Sailing,Open,Two Person Keelboat
"Two Person Keelboat, Open",BRA,3,2000,Sailing,Open,Two Person Keelboat
"Windsurfer, Men",AUT,1,2000,Sailing,Men,Windsurfer
"Windsurfer, Men",ARG,2,2000,Sailing,Men,Windsurfer
"Windsurfer, Men",NZL,3,2000,Sailing,Men,Windsurfer
"Windsurfer, Women",ITA,1,2000,Sailing,Women,Windsurfer
"Windsurfer, Women",GER,2,2000,Sailing,Women,Windsurfer
"Windsurfer, Women",NZL,3,2000,Sailing,Women,Windsurfer
"Air Pistol, 10 metres, Men",FRA,1,2000,Shooting,Men,"Air Pistol, 10 metres"
"Air Pistol, 10 metres, Men",CHN,2,2000,Shooting,Men,"Air Pistol, 10 metres"
"Air Pistol, 10 metres, Men",BLR,3,2000,Shooting,Men,"Air Pistol, 10 metres"
"Air Pistol, 10 metres, Women",CHN,1,2000,Shooting,Women,"Air Pistol, 10 metres"
"Air Pistol, 10 metres, Women",SCG,2,2000,Shooting,Women,"Air Pistol, 10 metres"
"Air Pistol, 10 metres, Women",AUS,3,2000,Shooting,Women,"Air Pistol, 10 metres"
"Air Rifle, 10 metres, Men",CHN,1,2000,Shooting,Men,"Air Rifle, 10 metres"
"Air Rifle, 10 metres, Men",RUS,2,2000,Shooting,Men,"Air Rifle, 10 metres"
"Air Rifle, 10 metres, Men",RUS,3,2000,Shooting,Men,"Air Rifle, 10 metres"
"Air Rifle, 10 metres, Women",USA,1,2000,Shooting,Women,"Air Rifle, 10 metres"
"Air Rifle, 10 metres, Women",KOR,2,2000,Shooting,Women,"Air Rifle, 10 metres"
"Air Rifle, 10 metres, Women",CHN,3,2000,Shooting,Women,"Air Rifle, 10 metres"
"Double Trap, Men",GBR,1,2000,Shooting,Men,Double Trap
"Double Trap, Men",AUS,2,2000,Shooting,Men,Double Trap
"Double Trap, Men",KUW,3,2000,Shooting,Men,Double Trap
"Double Trap, Women",SWE,1,2000,Shooting,Women,Double Trap
"Double Trap, Women",ITA,2,2000,Shooting,Women,Double Trap
"Double Trap, Women",USA,3,2000,Shooting,Women,Double Trap
"Free Pistol, 50 metres, Men",BUL,1,2000,Shooting,Men,"Free Pistol, 50 metres"
"Free Pistol, 50 metres, Men",BLR,2,2000,Shooting,Men,"Free Pistol, 50 metres"
"Free Pistol, 50 metres, Men",CZE,3,2000,Shooting,Men,"Free Pistol, 50 metres"
"Rapid-Fire Pistol, 25 metres, Men",RUS,1,2000,Shooting,Men,"Rapid-Fire Pistol, 25 metres"
"Rapid-Fire Pistol, 25 metres, Men",SUI,2,2000,Shooting,Men,"Rapid-Fire Pistol, 25 metres"
"Rapid-Fire Pistol, 25 metres, Men",ROU,3,2000,Shooting,Men,"Rapid-Fire Pistol, 25 metres"
"Running Target, 10 metres, Men",CHN,1,2000,Shooting,Men,"Running Target, 10 metres"
"Running Target, 10 metres, Men",MDA,2,2000,Shooting,Men,"Running Target, 10 metres"
"Running Target, 10 metres, Men",CHN,3,2000,Shooting,Men,"Running Target, 10 metres"
"Skeet, Men",UKR,1,2000,Shooting,Men,Skeet
"Skeet, Men",CZE,2,2000,Shooting,Men,Skeet
"Skeet, Men",USA,3,2000,Shooting,Men,Skeet
"Skeet, Women",AZE,1,2000,Shooting,Women,Skeet
"Skeet, Women",RUS,2,2000,Shooting,Women,Skeet
"Skeet, Women",HUN,3,2000,Shooting,Women,Skeet
"Small-Bore Rifle, Prone, 50 metres, Men",SWE,1,2000,Shooting,Men,"Small-Bore Rifle, Prone, 50 metres"
"Small-Bore Rifle, Prone, 50 metres, Men",DEN,2,2000,Shooting,Men,"Small-Bore Rifle, Prone, 50 metres"
"Small-Bore Rifle, Prone, 50 metres, Men",BLR,3,2000,Shooting,Men,"Small-Bore Rifle, Prone, 50 metres"
"Small-Bore Rifle, Three Positions, 50 metres, Men",SLO,1,2000,Shooting,Men,"Small-Bore Rifle, Three Positions, 50 metres"
"Small-Bore Rifle, Three Positions, 50 metres, Men",FIN,2,2000,Shooting,Men,"Small-Bore Rifle, Three Positions, 50 metres"
"Small-Bore Rifle, Three Positions, 50 metres, Men",NOR,3,2000,Shooting,Men,"Small-Bore Rifle, Three Positions, 50 metres"
"Small-Bore Rifle, Three Positions, 50 metres, Women",POL,1,2000,Shooting,Women,"Small-Bore Rifle, Three Positions, 50 metres"
"Small-Bore Rifle, Three Positions, 50 metres, Women",RUS,2,2000,Shooting,Women,"Small-Bore Rifle, Three Positions, 50 metres"
"Small-Bore Rifle, Three Positions, 50 metres, Women",RUS,3,2000,Shooting,Women,"Small-Bore Rifle, Three Positions, 50 metres"
"Sporting Pistol, 25 metres, Women",BUL,1,2000,Shooting,Women,"Sporting Pistol, 25 metres"
"Sporting Pistol, 25 metres, Women",CHN,2,2000,Shooting,Women,"Sporting Pistol, 25 metres"
"Sporting Pistol, 25 metres, Women",BLR,3,2000,Shooting,Women,"Sporting Pistol, 25 metres"
"Trap, Men",AUS,1,2000,Shooting,Men,Trap
"Trap, Men",GBR,2,2000,Shooting,Men,Trap
"Trap, Men",ITA,3,2000,Shooting,Men,Trap
"Trap, Women",LTU,1,2000,Shooting,Women,Trap
"Trap, Women",FRA,2,2000,Shooting,Women,Trap
"Trap, Women",CHN,3,2000,Shooting,Women,Trap
"Softball, Women",USA,1,2000,Softball,Women,Softball
"Softball, Women",JPN,2,2000,Softball,Women,Softball
"Softball, Women",AUS,3,2000,Softball,Women,Softball
"1,500 metres Freestyle, Men",AUS,1,2000,Swimming,Men,"1,500 metres Freestyle"
"1,500 metres Freestyle, Men",AUS,2,2000,Swimming,Men,"1,500 metres Freestyle"
"1,500 metres Freestyle, Men",USA,3,2000,Swimming,Men,"1,500 metres Freestyle"
"100 metres Backstroke, Men",USA,1,2000,Swimming,Men,100 metres Backstroke
"100 metres Backstroke, Men",AUS,2,2000,Swimming,Men,100 metres Backstroke
"100 metres Backstroke, Men",GER,3,2000,Swimming,Men,100 metres Backstroke
"100 metres Backstroke, Women",ROU,1,2000,Swimming,Women,100 metres Backstroke
"100 metres Backstroke, Women",JPN,2,2000,Swimming,Women,100 metres Backstroke
"100 metres Backstroke, Women",ESP,3,2000,Swimming,Women,100 metres Backstroke
"100 metres Breaststroke, Men",ITA,1,2000,Swimming,Men,100 metres Breaststroke
"100 metres Breaststroke, Men",USA,2,2000,Swimming,Men,100 metres Breaststroke
"100 metres Breaststroke, Men",RUS,3,2000,Swimming,Men,100 metres Breaststroke
"100 metres Breaststroke, Women",USA,1,2000,Swimming,Women,100 metres Breaststroke
"100 metres Breaststroke, Women",AUS,2,2000,Swimming,Women,100 metres Breaststroke
"100 metres Breaststroke, Women",RSA,3,2000,Swimming,Women,100 metres Breaststroke
"100 metres Butterfly, Men",SWE,1,2000,Swimming,Men,100 metres Butterfly
"100 metres Butterfly, Men",AUS,2,2000,Swimming,Men,100 metres Butterfly
"100 metres Butterfly, Men",AUS,3,2000,Swimming,Men,100 metres Butterfly
"100 metres Butterfly, Women",NED,1,2000,Swimming,Women,100 metres Butterfly
"100 metres Butterfly, Women",SVK,2,2000,Swimming,Women,100 metres Butterfly
"100 metres Butterfly, Women",USA,3,2000,Swimming,Women,100 metres Butterfly
"100 metres Freestyle, Men",NED,1,2000,Swimming,Men,100 metres Freestyle
"100 metres Freestyle, Men",RUS,2,2000,Swimming,Men,100 metres Freestyle
"100 metres Freestyle, Men",USA,3,2000,Swimming,Men,100 metres Freestyle
"100 metres Freestyle, Women",NED,1,2000,Swimming,Women,100 metres Freestyle
"100 metres Freestyle, Women",SWE,2,2000,Swimming,Women,100 metres Freestyle
"100 metres Freestyle, Women",USA,3,2000,Swimming,Women,100 metres Freestyle
"200 metres Backstroke, Men",USA,1,2000,Swimming,Men,200 metres Backstroke
"200 metres Backstroke, Men",USA,2,2000,Swimming,Men,200 metres Backstroke
"200 metres Backstroke, Men",AUS,3,2000,Swimming,Men,200 metres Backstroke
"200 metres Backstroke, Women",ROU,1,2000,Swimming,Women,200 metres Backstroke
"200 metres Backstroke, Women",FRA,2,2000,Swimming,Women,200 metres Backstroke
"200 metres Backstroke, Women",JPN,3,2000,Swimming,Women,200 metres Backstroke
"200 metres Breaststroke, Men",ITA,1,2000,Swimming,Men,200 metres Breaststroke
"200 metres Breaststroke, Men",RSA,2,2000,Swimming,Men,200 metres Breaststroke
"200 metres Breaststroke, Men",ITA,3,2000,Swimming,Men,200 metres Breaststroke
"200 metres Breaststroke, Women",HUN,1,2000,Swimming,Women,200 metres Breaststroke
"200 metres Breaststroke, Women",USA,2,2000,Swimming,Women,200 metres Breaststroke
"200 metres Breaststroke, Women",USA,3,2000,Swimming,Women,200 metres Breaststroke
"200 metres Butterfly, Men",USA,1,2000,Swimming,Men,200 metres Butterfly
"200 metres Butterfly, Men",UKR,2,2000,Swimming,Men,200 metres Butterfly
"200 metres Butterfly, Men",AUS,3,2000,Swimming,Men,200 metres Butterfly
"200 metres Butterfly, Women",USA,1,2000,Swimming,Women,200 metres Butterfly
"200 metres Butterfly, Women",AUS,2,2000,Swimming,Women,200 metres Butterfly
"200 metres Butterfly, Women",AUS,3,2000,Swimming,Women,200 metres Butterfly
"200 metres Freestyle, Men",NED,1,2000,Swimming,Men,200 metres Freestyle
"200 metres Freestyle, Men",AUS,2,2000,Swimming,Men,200 metres Freestyle
"200 metres Freestyle, Men",ITA,3,2000,Swimming,Men,200 metres Freestyle
"200 metres Freestyle, Women",AUS,1,2000,Swimming,Women,200 metres Freestyle
"200 metres Freestyle, Women",SVK,2,2000,Swimming,Women,200 metres Freestyle
"200 metres Freestyle, Women",CRC,3,2000,Swimming,Women,200 metres Freestyle
"200 metres Individual Medley, Men",ITA,1,2000,Swimming,Men,200 metres Individual Medley
"200 metres Individual Medley, Men",USA,2,2000,Swimming,Men,200 metres Individual Medley
"200 metres Individual Medley, Men",USA,3,2000,Swimming,Men,200 metres Individual Medley
"200 metres Individual Medley, Women",UKR,1,2000,Swimming,Women,200 metres Individual Medley
"200 metres Individual Medley, Women",ROU,2,2000,Swimming,Women,200 metres Individual Medley
"200 metres Individual Medley, Women",USA,3,2000,Swimming,Women,200 metres Individual Medley
"4 x 100 metres Relay, Men",USA,1,1972,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",URS,2,1972,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",FRG,3,1972,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",USA,1,1976,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",GDR,2,1976,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",URS,3,1976,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",URS,1,1980,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",POL,2,1980,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",FRA,3,1980,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",TTO,1,2008,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",JPN,2,2008,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",BRA,3,2008,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",JAM,1,2012,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",TTO,2,2012,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",FRA,3,2012,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",JAM,1,2016,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",JPN,2,2016,Athletics,Men,4 x 100 metres Relay
"4 x 100 metres Relay, Men",CAN,3,2016,Athletics,Men,4 x 100 metres Relay
"400 metres Freestyle, Men",AUS,1,2000,Swimming,Men,400 metres Freestyle
"400 metres Freestyle, Men",ITA,2,2000,Swimming,Men,400 metres Freestyle
"400 metres Freestyle, Men",USA,3,2000,Swimming,Men,400 metres Freestyle
"400 metres Freestyle, Women",USA,1,2000,Swimming,Women,400 metres Freestyle
"400 metres Freestyle, Women",USA,2,2000,Swimming,Women,400 metres Freestyle
"400 metres Freestyle, Women",CRC,3,2000,Swimming,Women,400 metres Freestyle
"400 metres Individual Medley, Men",USA,1,2000,Swimming,Men,400 metres Individual Medley
"400 metres Individual Medley, Men",USA,2,2000,Swimming,Men,400 metres Individual Medley
"400 metres Individual Medley, Men",CAN,3,2000,Swimming,Men,400 metres Individual Medley
"400 metres Individual Medley, Women",UKR,1,2000,Swimming,Women,400 metres Individual Medley
"400 metres Individual Medley, Women",JPN,2,2000,Swimming,Women,400 metres Individual Medley
"400 metres Individual Medley, Women",ROU,3,2000,Swimming,Women,400 metres Individual Medley
"50 metres Freestyle, Men",USA,1,2000,Swimming,Men,50 metres Freestyle
"50 metres Freestyle, Men",DQ,2,2000,Swimming,Men,50 metres Freestyle
"50 metres Freestyle, Men",NED,3,2000,Swimming,Men,50 metres Freestyle
"50 metres Freestyle, Women",NED,1,2000,Swimming,Women,50 metres Freestyle
"50 metres Freestyle, Women",SWE,2,2000,Swimming,Women,50 metres Freestyle
"50 metres Freestyle, Women",USA,3,2000,Swimming,Women,50 metres Freestyle
"800 metres Freestyle, Women",USA,1,2000,Swimming,Women,800 metres Freestyle
"800 metres Freestyle, Women",USA,1,2000,Swimming,Women,800 metres Freestyle
"800 metres Freestyle, Women",UKR,2,2000,Swimming,Women,800 metres Freestyle
"800 metres Freestyle, Women",USA,3,2000,Swimming,Women,800 metres Freestyle
"800 metres Freestyle, Women",USA,3,2000,Swimming,Women,800 metres Freestyle
"Doubles, Men",CHN,1,2000,Table Tennis,Men,Doubles
"Doubles, Men",CHN,2,2000,Table Tennis,Men,Doubles
"Doubles, Men",FRA,3,2000,Table Tennis,Men,Doubles
"Doubles, Women",CHN,1,2000,Table Tennis,Women,Doubles
"Doubles, Women",CHN,2,2000,Table Tennis,Women,Doubles
"Doubles, Women",KOR,3,2000,Table Tennis,Women,Doubles
"Singles, Men",CHN,1,2000,Table Tennis,Men,Singles
"Singles, Men",SWE,2,2000,Table Tennis,Men,Singles
"Singles, Men",CHN,3,2000,Table Tennis,Men,Singles
"Singles, Women",CHN,1,2000,Table Tennis,Women,Singles
"Singles, Women",CHN,2,2000,Table Tennis,Women,Singles
"Singles, Women",TPE,3,2000,Table Tennis,Women,Singles
"Featherweight, Men",USA,1,2000,Taekwondo,Men,Featherweight
"Featherweight, Men",KOR,2,2000,Taekwondo,Men,Featherweight
"Featherweight, Men",IRI,3,2000,Taekwondo,Men,Featherweight
"Featherweight, Women",KOR,1,2000,Taekwondo,Women,Featherweight
"Featherweight, Women",VIE,2,2000,Taekwondo,Women,Featherweight
"Featherweight, Women",TUR,3,2000,Taekwondo,Women,Featherweight
"Flyweight, Men",GRE,1,2000,Taekwondo,Men,Flyweight
"Flyweight, Men",ESP,2,2000,Taekwondo,Men,Flyweight
"Flyweight, Men",TPE,3,2000,Taekwondo,Men,Flyweight
"Flyweight, Women",AUS,1,2000,Taekwondo,Women,Flyweight
"Flyweight, Women",CUB,2,2000,Taekwondo,Women,Flyweight
"Flyweight, Women",TPE,3,2000,Taekwondo,Women,Flyweight
"Heavyweight, Men",KOR,1,2000,Taekwondo,Men,Heavyweight
"Heavyweight, Men",AUS,2,2000,Taekwondo,Men,Heavyweight
"Heavyweight, Men",FRA,3,2000,Taekwondo,Men,Heavyweight
"Heavyweight, Women",CHN,1,2000,Taekwondo,Women,Heavyweight
"Heavyweight, Women",RUS,2,2000,Taekwondo,Women,Heavyweight
"Heavyweight, Women",CAN,3,2000,Taekwondo,Women,Heavyweight
"Welterweight, Men",CUB,1,2000,Taekwondo,Men,Welterweight
"Welterweight, Men",GER,2,2000,Taekwondo,Men,Welterweight
"Welterweight, Men",MEX,3,2000,Taekwondo,Men,Welterweight
"Welterweight, Women",KOR,1,2000,Taekwondo,Women,Welterweight
"Welterweight, Women",NOR,2,2000,Taekwondo,Women,Welterweight
"Welterweight, Women",JPN,3,2000,Taekwondo,Women,Welterweight
"Doubles, Men",CAN,1,2000,Tennis,Men,Doubles
"Doubles, Men",AUS,2,2000,Tennis,Men,Doubles
"Doubles, Men",ESP,3,2000,Tennis,Men,Doubles
"Doubles, Women",USA,1,2000,Tennis,Women,Doubles
"Doubles, Women",NED,2,2000,Tennis,Women,Doubles
"Doubles, Women",BEL,3,2000,Tennis,Women,Doubles
"Singles, Men",RUS,1,2000,Tennis,Men,Singles
"Singles, Men",GER,2,2000,Tennis,Men,Singles
"Singles, Men",FRA,3,2000,Tennis,Men,Singles
"Singles, Women",USA,1,2000,Tennis,Women,Singles
"Singles, Women",RUS,2,2000,Tennis,Women,Singles
"Singles, Women",USA,3,2000,Tennis,Women,Singles
"Individual, Men",RUS,1,2000,Trampolining,Men,Individual
"Individual, Men",AUS,2,2000,Trampolining,Men,Individual
"Individual, Men",CAN,3,2000,Trampolining,Men,Individual
"Individual, Women",RUS,1,2000,Trampolining,Women,Individual
"Individual, Women",UKR,2,2000,Trampolining,Women,Individual
"Individual, Women",CAN,3,2000,Trampolining,Women,Individual
"Olympic Distance, Men",CAN,1,2000,Triathlon,Men,Olympic Distance
"Olympic Distance, Men",GER,2,2000,Triathlon,Men,Olympic Distance
"Olympic Distance, Men",CZE,3,2000,Triathlon,Men,Olympic Distance
"Olympic Distance, Women",SUI,1,2000,Triathlon,Women,Olympic Distance
"Olympic Distance, Women",AUS,2,2000,Triathlon,Women,Olympic Distance
"Olympic Distance, Women",SUI,3,2000,Triathlon,Women,Olympic Distance
"Volleyball, Men",SCG,1,2000,Volleyball,Men,Volleyball
"Volleyball, Men",RUS,2,2000,Volleyball,Men,Volleyball
"Volleyball, Men",ITA,3,2000,Volleyball,Men,Volleyball
"Volleyball, Women",CUB,1,2000,Volleyball,Women,Volleyball
"Volleyball, Women",RUS,2,2000,Volleyball,Women,Volleyball
"Volleyball, Women",BRA,3,2000,Volleyball,Women,Volleyball
"Water Polo, Men",HUN,1,2000,Water Polo,Men,Water Polo
"Water Polo, Men",RUS,2,2000,Water Polo,Men,Water Polo
"Water Polo, Men",SCG,3,2000,Water Polo,Men,Water Polo
"Water Polo, Women",AUS,1,2000,Water Polo,Women,Water Polo
"Water Polo, Women",USA,2,2000,Water Polo,Women,Water Polo
"Water Polo, Women",RUS,3,2000,Water Polo,Women,Water Polo
"Bantamweight, Men",TUR,1,2000,Weightlifting,Men,Bantamweight
"Bantamweight, Men",CHN,2,2000,Weightlifting,Men,Bantamweight
"Bantamweight, Men",CHN,3,2000,Weightlifting,Men,Bantamweight
"Featherweight, Men",CRO,1,2000,Weightlifting,Men,Featherweight
"Featherweight, Men",GRE,2,2000,Weightlifting,Men,Featherweight
"Featherweight, Men",BLR,3,2000,Weightlifting,Men,Featherweight
"Featherweight, Women",CHN,1,2000,Weightlifting,Women,Featherweight
"Featherweight, Women",TPE,2,2000,Weightlifting,Women,Featherweight
"Featherweight, Women",INA,3,2000,Weightlifting,Women,Featherweight
"Flyweight, Women",USA,1,2000,Weightlifting,Women,Flyweight
"Flyweight, Women",INA,2,2000,Weightlifting,Women,Flyweight
"Flyweight, Women",INA,3,2000,Weightlifting,Women,Flyweight
"Heavyweight, Men",IRI,1,2000,Weightlifting,Men,Heavyweight
"Heavyweight, Men",BUL,2,2000,Weightlifting,Men,Heavyweight
"Heavyweight, Men",QAT,3,2000,Weightlifting,Men,Heavyweight
"Heavyweight, Women",COL,1,2000,Weightlifting,Women,Heavyweight
"Heavyweight, Women",NGR,2,2000,Weightlifting,Women,Heavyweight
"Heavyweight, Women",TPE,3,2000,Weightlifting,Women,Heavyweight
"Light-Heavyweight, Men",GRE,1,2000,Weightlifting,Men,Light-Heavyweight
"Light-Heavyweight, Men",GER,2,2000,Weightlifting,Men,Light-Heavyweight
"Light-Heavyweight, Men",GEO,3,2000,Weightlifting,Men,Light-Heavyweight
"Light-Heavyweight, Women",CHN,1,2000,Weightlifting,Women,Light-Heavyweight
"Light-Heavyweight, Women",HUN,2,2000,Weightlifting,Women,Light-Heavyweight
"Light-Heavyweight, Women",IND,3,2000,Weightlifting,Women,Light-Heavyweight
"Lightweight, Men",BUL,1,2000,Weightlifting,Men,Lightweight
"Lightweight, Men",BUL,2,2000,Weightlifting,Men,Lightweight
"Lightweight, Men",BLR,3,2000,Weightlifting,Men,Lightweight
"Lightweight, Women",MEX,1,2000,Weightlifting,Women,Lightweight
"Lightweight, Women",PRK,2,2000,Weightlifting,Women,Lightweight
"Lightweight, Women",THA,3,2000,Weightlifting,Women,Lightweight
"Middle-Heavyweight, Men",GRE,1,2000,Weightlifting,Men,Middle-Heavyweight
"Middle-Heavyweight, Men",POL,2,2000,Weightlifting,Men,Middle-Heavyweight
"Middle-Heavyweight, Men",RUS,3,2000,Weightlifting,Men,Middle-Heavyweight
"Middleweight, Men",CHN,1,2000,Weightlifting,Men,Middleweight
"Middleweight, Men",GRE,2,2000,Weightlifting,Men,Middleweight
"Middleweight, Men",ARM,3,2000,Weightlifting,Men,Middleweight
"Middleweight, Women",CHN,1,2000,Weightlifting,Women,Middleweight
"Middleweight, Women",RUS,2,2000,Weightlifting,Women,Middleweight
"Middleweight, Women",GRE,3,2000,Weightlifting,Women,Middleweight
"Super-Heavyweight, Men",IRI,1,2000,Weightlifting,Men,Super-Heavyweight
"Super-Heavyweight, Men",GER,2,2000,Weightlifting,Men,Super-Heavyweight
"Super-Heavyweight, Men",RUS,3,2000,Weightlifting,Men,Super-Heavyweight
"Super-Heavyweight, Women",CHN,1,2000,Weightlifting,Women,Super-Heavyweight
"Super-Heavyweight, Women",POL,2,2000,Weightlifting,Women,Super-Heavyweight
"Super-Heavyweight, Women",USA,3,2000,Weightlifting,Women,Super-Heavyweight
"Bantamweight, Freestyle, Men",AZE,1,2000,Wrestling,Men,"Bantamweight, Freestyle"
"Bantamweight, Freestyle, Men",USA,2,2000,Wrestling,Men,"Bantamweight, Freestyle"
"Bantamweight, Freestyle, Men",GRE,3,2000,Wrestling,Men,"Bantamweight, Freestyle"
"Bantamweight, Greco-Roman, Men",KOR,1,2000,Wrestling,Men,"Bantamweight, Greco-Roman"
"Bantamweight, Greco-Roman, Men",CUB,2,2000,Wrestling,Men,"Bantamweight, Greco-Roman"
"Bantamweight, Greco-Roman, Men",PRK,3,2000,Wrestling,Men,"Bantamweight, Greco-Roman"
"Featherweight, Freestyle, Men",IRI,1,2000,Wrestling,Men,"Featherweight, Freestyle"
"Featherweight, Freestyle, Men",UKR,2,2000,Wrestling,Men,"Featherweight, Freestyle"
"Featherweight, Freestyle, Men",USA,3,2000,Wrestling,Men,"Featherweight, Freestyle"
"Featherweight, Greco-Roman, Men",BUL,1,2000,Wrestling,Men,"Featherweight, Greco-Roman"
"Featherweight, Greco-Roman, Men",KOR,2,2000,Wrestling,Men,"Featherweight, Greco-Roman"
"Featherweight, Greco-Roman, Men",CHN,3,2000,Wrestling,Men,"Featherweight, Greco-Roman"
"Heavyweight, Freestyle, Men",RUS,1,2000,Wrestling,Men,"Heavyweight, Freestyle"
"Heavyweight, Freestyle, Men",KAZ,2,2000,Wrestling,Men,"Heavyweight, Freestyle"
"Heavyweight, Freestyle, Men",GEO,3,2000,Wrestling,Men,"Heavyweight, Freestyle"
"Heavyweight, Greco-Roman, Men",SWE,1,2000,Wrestling,Men,"Heavyweight, Greco-Roman"
"Heavyweight, Greco-Roman, Men",UKR,2,2000,Wrestling,Men,"Heavyweight, Greco-Roman"
"Heavyweight, Greco-Roman, Men",USA,3,2000,Wrestling,Men,"Heavyweight, Greco-Roman"
"Light-Heavyweight, Freestyle, Men",RUS,1,2000,Wrestling,Men,"Light-Heavyweight, Freestyle"
"Light-Heavyweight, Freestyle, Men",CUB,2,2000,Wrestling,Men,"Light-Heavyweight, Freestyle"
"Light-Heavyweight, Freestyle, Men",MKD,3,2000,Wrestling,Men,"Light-Heavyweight, Freestyle"
"Light-Heavyweight, Greco-Roman, Men",TUR,1,2000,Wrestling,Men,"Light-Heavyweight, Greco-Roman"
"Light-Heavyweight, Greco-Roman, Men",HUN,2,2000,Wrestling,Men,"Light-Heavyweight, Greco-Roman"
"Light-Heavyweight, Greco-Roman, Men",GEO,3,2000,Wrestling,Men,"Light-Heavyweight, Greco-Roman"
"Lightweight, Freestyle, Men",RUS,1,2000,Wrestling,Men,"Lightweight, Freestyle"
"Lightweight, Freestyle, Men",BUL,2,2000,Wrestling,Men,"Lightweight, Freestyle"
"Lightweight, Freestyle, Men",KOR,3,2000,Wrestling,Men,"Lightweight, Freestyle"
"Lightweight, Greco-Roman, Men",RUS,1,2000,Wrestling,Men,"Lightweight, Greco-Roman"
"Lightweight, Greco-Roman, Men",CUB,2,2000,Wrestling,Men,"Lightweight, Greco-Roman"
"Lightweight, Greco-Roman, Men",GEO,3,2000,Wrestling,Men,"Lightweight, Greco-Roman"
"Middleweight, Freestyle, Men",USA,1,2000,Wrestling,Men,"Middleweight, Freestyle"
"Middleweight, Freestyle, Men",KOR,2,2000,Wrestling,Men,"Middleweight, Freestyle"
"Middleweight, Freestyle, Men",TUR,3,2000,Wrestling,Men,"Middleweight, Freestyle"
"Middleweight, Greco-Roman, Men",RUS,1,2000,Wrestling,Men,"Middleweight, Greco-Roman"
"Middleweight, Greco-Roman, Men",USA,2,2000,Wrestling,Men,"Middleweight, Greco-Roman"
"Middleweight, Greco-Roman, Men",FIN,3,2000,Wrestling,Men,"Middleweight, Greco-Roman"
