Event,NOC,Pos.,Year,Discipline,Gender Cleaned,Event Cleaned
"Flyweight, Men",ITA,1,1964,Boxing,Men,Flyweight
"Flyweight, Men",POL,2,1964,Boxing,Men,Flyweight
"Flyweight, Men",USA,3,1964,Boxing,Men,Flyweight
"Flyweight, Men",URS,3,1964,Boxing,Men,Flyweight
"Heavyweight, Men",USA,1,1964,Boxing,Men,Heavyweight
"Heavyweight, Men",GER,2,1964,Boxing,Men,Heavyweight
"Heavyweight, Men",ITA,3,1964,Boxing,Men,Heavyweight
"Heavyweight, Men",URS,3,1964,Boxing,Men,Heavyweight
"Light-Heavyweight, Men",ITA,1,1964,Boxing,Men,Light-Heavyweight
"Light-Heavyweight, Men",URS,2,1964,Boxing,Men,Light-Heavyweight
"Light-Heavyweight, Men",BUL,3,1964,Boxing,Men,Light-Heavyweight
"Light-Heavyweight, Men",POL,3,1964,Boxing,Men,Light-Heavyweight
"Light-Middleweight, Men",URS,1,1964,Boxing,Men,Light-Middleweight
"Light-Middleweight, Men",FRA,2,1964,Boxing,Men,Light-Middleweight
"Light-Middleweight, Men",NGR,3,1964,Boxing,Men,Light-Middleweight
"Light-Middleweight, Men",POL,3,1964,Boxing,Men,Light-Middleweight
"Lightweight, Men",POL,1,1964,Boxing,Men,Lightweight
"Lightweight, Men",URS,2,1964,Boxing,Men,Lightweight
"Lightweight, Men",USA,3,1964,Boxing,Men,Lightweight
"Lightweight, Men",IRL,3,1964,Boxing,Men,Lightweight
"Light-Welterweight, Men",POL,1,1964,Boxing,Men,Light-Welterweight
"Light-Welterweight, Men",URS,2,1964,Boxing,Men,Light-Welterweight
"Light-Welterweight, Men",GHA,3,1964,Boxing,Men,Light-Welterweight
"Light-Welterweight, Men",TUN,3,1964,Boxing,Men,Light-Welterweight
"Middleweight, Men",URS,1,1964,Boxing,Men,Middleweight
"Middleweight, Men",GER,2,1964,Boxing,Men,Middleweight
"Middleweight, Men",ITA,3,1964,Boxing,Men,Middleweight
"Middleweight, Men",POL,3,1964,Boxing,Men,Middleweight
"Welterweight, Men",POL,1,1964,Boxing,Men,Welterweight
"Welterweight, Men",URS,2,1964,Boxing,Men,Welterweight
"Welterweight, Men",FIN,3,1964,Boxing,Men,Welterweight
"Welterweight, Men",ITA,3,1964,Boxing,Men,Welterweight
"Canadian Doubles, 1,000 metres, Men",URS,1,1964,Canoe Sprint,Men,"Canadian Doubles, 1,000 metres"
"Canadian Doubles, 1,000 metres, Men",FRA,2,1964,Canoe Sprint,Men,"Canadian Doubles, 1,000 metres"
"Canadian Doubles, 1,000 metres, Men",DEN,3,1964,Canoe Sprint,Men,"Canadian Doubles, 1,000 metres"
