Event,NOC,Pos.,Year,Discipline
"Tandem Sprint, 2,000 metres, Men",URS,2,1964,Cycling Track
"Tandem Sprint, 2,000 metres, Men",GER,3,1964,Cycling Track
"Team Pursuit, 4,000 metres, Men",GER,1,1964,Cycling Track
"Team Pursuit, 4,000 metres, Men",ITA,2,1964,Cycling Track
"Team Pursuit, 4,000 metres, Men",NED,3,1964,Cycling Track
"Platform, Men",USA,1,1964,Diving
"Platform, Men",ITA,2,1964,Diving
"Platform, Men",USA,3,1964,Diving
"Platform, Women",USA,1,1964,Diving
"Platform, Women",GER,2,1964,Diving
"Platform, Women",URS,3,1964,Diving
"Springboard, Men",USA,1,1964,Diving
"Springboard, Men",USA,2,1964,Diving
"Springboard, Men",USA,3,1964,Diving
"Springboard, Women",GER,1,1964,Diving
"Springboard, Women",USA,2,1964,Diving
"Springboard, Women",USA,3,1964,Diving
"Individual, Open",SUI,1,1964,Equestrian Dressage
"Individual, Open",GER,2,1964,Equestrian Dressage
"Individual, Open",URS,3,1964,Equestrian Dressage
"Team, Open",GER,1,1964,Equestrian Dressage
"Team, Open",SUI,2,1964,Equestrian Dressage
"Team, Open",URS,3,1964,Equestrian Dressage
"Individual, Open",ITA,1,1964,Equestrian Eventing
"Individual, Open",ARG,2,1964,Equestrian Eventing
"Individual, Open",GER,3,1964,Equestrian Eventing
"Team, Open",ITA,1,1964,Equestrian Eventing
"Team, Open",USA,2,1964,Equestrian Eventing
"Team, Open",GER,3,1964,Equestrian Eventing
"Individual, Open",FRA,1,1964,Equestrian Jumping
"Individual, Open",GER,2,1964,Equestrian Jumping
"Individual, Open",GBR,3,1964,Equestrian Jumping
"Team, Open",GER,1,1964,Equestrian Jumping
"Team, Open",FRA,2,1964,Equestrian Jumping
"Team, Open",ITA,3,1964,Equestrian Jumping
"Épée, Individual, Men",URS,1,1964,Fencing
"Épée, Individual, Men",GBR,2,1964,Fencing
"Épée, Individual, Men",URS,3,1964,Fencing
"Épée, Team, Men",HUN,1,1964,Fencing
"Épée, Team, Men",ITA,2,1964,Fencing
"Épée, Team, Men",FRA,3,1964,Fencing
"Foil, Individual, Men",POL,1,1964,Fencing
"Foil, Individual, Men",FRA,2,1964,Fencing
"Foil, Individual, Men",FRA,3,1964,Fencing
"Foil, Individual, Women",HUN,1,1964,Fencing
"Foil, Individual, Women",GER,2,1964,Fencing
"Foil, Individual, Women",ITA,3,1964,Fencing
"Foil, Team, Men",URS,1,1964,Fencing
"Foil, Team, Men",POL,2,1964,Fencing
"Foil, Team, Men",FRA,3,1964,Fencing
"Foil, Team, Women",HUN,1,1964,Fencing
"Foil, Team, Women",URS,2,1964,Fencing
"Foil, Team, Women",GER,3,1964,Fencing
"Sabre, Individual, Men",HUN,1,1964,Fencing
"Sabre, Individual, Men",FRA,2,1964,Fencing
"Sabre, Individual, Men",URS,3,1964,Fencing
"Sabre, Team, Men",URS,1,1964,Fencing
"Sabre, Team, Men",ITA,2,1964,Fencing
"Sabre, Team, Men",POL,3,1964,Fencing
"Football, Men",HUN,1,1964,Football
"Football, Men",TCH,2,1964,Football
"Football, Men",GER,3,1964,Football
"Hockey, Men",IND,1,1964,Hockey
"Hockey, Men",PAK,2,1964,Hockey
"Hockey, Men",AUS,3,1964,Hockey
"Heavyweight, Men",JPN,1,1964,Judo
"Heavyweight, Men",CAN,2,1964,Judo
"Heavyweight, Men",URS,3,1964,Judo
"Heavyweight, Men",URS,3,1964,Judo
"Lightweight, Men",JPN,1,1964,Judo
"Lightweight, Men",SUI,2,1964,Judo
"Lightweight, Men",URS,3,1964,Judo
"Lightweight, Men",URS,3,1964,Judo
"Middleweight, Men",JPN,1,1964,Judo
"Middleweight, Men",GER,2,1964,Judo
"Middleweight, Men",USA,3,1964,Judo
"Middleweight, Men",KOR,3,1964,Judo
"Open Class, Men",NED,1,1964,Judo
"Open Class, Men",JPN,2,1964,Judo
"Open Class, Men",GER,3,1964,Judo
"Open Class, Men",AUS,3,1964,Judo
"Individual, Men",HUN,1,1964,Modern Pentathlon
"Individual, Men",URS,2,1964,Modern Pentathlon
"Individual, Men",URS,3,1964,Modern Pentathlon
"Team, Men",URS,1,1964,Modern Pentathlon
"Team, Men",USA,2,1964,Modern Pentathlon
"Team, Men",HUN,3,1964,Modern Pentathlon
"Coxed Fours, Men",GER,1,1964,Rowing
"Coxed Fours, Men",ITA,2,1964,Rowing
"Coxed Fours, Men",NED,3,1964,Rowing
"Coxed Pairs, Men",USA,1,1964,Rowing
"Coxed Pairs, Men",FRA,2,1964,Rowing
"Coxed Pairs, Men",NED,3,1964,Rowing
"Coxless Fours, Men",DEN,1,1964,Rowing
"Coxless Fours, Men",GBR,2,1964,Rowing
"Coxless Fours, Men",USA,3,1964,Rowing
"Coxless Pairs, Men",CAN,1,1964,Rowing
"Coxless Pairs, Men",NED,2,1964,Rowing
"Coxless Pairs, Men",GER,3,1964,Rowing
"Double Sculls, Men",URS,1,1964,Rowing
"Double Sculls, Men",USA,2,1964,Rowing
"Double Sculls, Men",TCH,3,1964,Rowing
"Eights, Men",USA,1,1964,Rowing
"Eights, Men",GER,2,1964,Rowing
"Eights, Men",TCH,3,1964,Rowing
"Single Sculls, Men",URS,1,1964,Rowing
"Single Sculls, Men",GER,2,1964,Rowing
"Single Sculls, Men",SUI,3,1964,Rowing
"5.5 metres, Open",AUS,1,1964,Sailing
"5.5 metres, Open",SWE,2,1964,Sailing
"5.5 metres, Open",USA,3,1964,Sailing
"One Person Dinghy, Open",GER,1,1964,Sailing
"One Person Dinghy, Open",USA,2,1964,Sailing
"One Person Dinghy, Open",DEN,3,1964,Sailing
"Three Person Keelboat, Open",DEN,1,1964,Sailing
"Three Person Keelboat, Open",GER,2,1964,Sailing
"Three Person Keelboat, Open",USA,3,1964,Sailing
"Two Person Heavyweight Dinghy, Open",NZL,1,1964,Sailing
"Two Person Heavyweight Dinghy, Open",GBR,2,1964,Sailing
"Two Person Heavyweight Dinghy, Open",USA,3,1964,Sailing
"Two Person Keelboat, Open",BAH,1,1964,Sailing
"Two Person Keelboat, Open",USA,2,1964,Sailing
"Two Person Keelboat, Open",SWE,3,1964,Sailing
"Free Pistol, 50 metres, Men",FIN,1,1964,Shooting
"Free Pistol, 50 metres, Men",USA,2,1964,Shooting
"Free Pistol, 50 metres, Men",JPN,3,1964,Shooting
"Free Rifle, Three Positions, 300 metres, Men",USA,1,1964,Shooting
"Free Rifle, Three Positions, 300 metres, Men",URS,2,1964,Shooting
"Free Rifle, Three Positions, 300 metres, Men",USA,3,1964,Shooting
"Rapid-Fire Pistol, 25 metres, Men",FIN,1,1964,Shooting
"Rapid-Fire Pistol, 25 metres, Men",ROU,2,1964,Shooting
"Rapid-Fire Pistol, 25 metres, Men",TCH,3,1964,Shooting
"Small-Bore Rifle, Prone, 50 metres, Men",HUN,1,1964,Shooting
"Small-Bore Rifle, Prone, 50 metres, Men",USA,2,1964,Shooting
"Small-Bore Rifle, Prone, 50 metres, Men",USA,3,1964,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Men",USA,1,1964,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Men",BUL,2,1964,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Men",HUN,3,1964,Shooting
"Trap, Men",ITA,1,1964,Shooting
"Trap, Men",URS,2,1964,Shooting
"Trap, Men",USA,3,1964,Shooting
"1,500 metres Freestyle, Men",AUS,1,1964,Swimming
"1,500 metres Freestyle, Men",USA,2,1964,Swimming
"1,500 metres Freestyle, Men",AUS,3,1964,Swimming
"100 metres Backstroke, Women",USA,1,1964,Swimming
"100 metres Backstroke, Women",FRA,2,1964,Swimming
"100 metres Backstroke, Women",USA,3,1964,Swimming
"100 metres Butterfly, Women",USA,1,1964,Swimming
"100 metres Butterfly, Women",NED,2,1964,Swimming
"100 metres Butterfly, Women",USA,3,1964,Swimming
"100 metres Freestyle, Men",USA,1,1964,Swimming
"100 metres Freestyle, Men",GBR,2,1964,Swimming
"100 metres Freestyle, Men",GER,3,1964,Swimming
"100 metres Freestyle, Women",AUS,1,1964,Swimming
"100 metres Freestyle, Women",USA,2,1964,Swimming
"100 metres Freestyle, Women",USA,3,1964,Swimming
"200 metres Backstroke, Men",USA,1,1964,Swimming
"200 metres Backstroke, Men",USA,2,1964,Swimming
"200 metres Backstroke, Men",USA,3,1964,Swimming
"200 metres Breaststroke, Men",AUS,1,1964,Swimming
"200 metres Breaststroke, Men",URS,2,1964,Swimming
"200 metres Breaststroke, Men",USA,3,1964,Swimming
"200 metres Breaststroke, Women",URS,1,1964,Swimming
"200 metres Breaststroke, Women",USA,2,1964,Swimming
"200 metres Breaststroke, Women",URS,3,1964,Swimming
"200 metres Butterfly, Men",AUS,1,1964,Swimming
"200 metres Butterfly, Men",USA,2,1964,Swimming
"200 metres Butterfly, Men",USA,3,1964,Swimming
"4 x 100 metres Medley Relay, Women",USA,1,2000,Swimming
"4 x 100 metres Medley Relay, Women",AUS,2,2000,Swimming
"4 x 100 metres Medley Relay, Women",JPN,3,2000,Swimming
"4 x 100 metres Relay, Men",USA,1,1984,Athletics
"4 x 100 metres Relay, Men",JAM,2,1984,Athletics
"4 x 100 metres Relay, Men",CAN,3,1984,Athletics
"4 x 100 metres Relay, Men",URS,1,1988,Athletics
"4 x 100 metres Relay, Men",GBR,2,1988,Athletics
"4 x 100 metres Relay, Men",FRA,3,1988,Athletics
"4 x 100 metres Relay, Men",USA,1,1992,Athletics
"4 x 100 metres Relay, Men",NGR,2,1992,Athletics
"4 x 100 metres Relay, Men",CUB,3,1992,Athletics
"4 x 100 metres Relay, Men",CAN,1,1996,Athletics
"4 x 100 metres Relay, Men",USA,2,1996,Athletics
"4 x 100 metres Relay, Men",BRA,3,1996,Athletics
"400 metres Freestyle, Men",USA,1,1964,Swimming
"400 metres Freestyle, Men",GER,2,1964,Swimming
"400 metres Freestyle, Men",AUS,3,1964,Swimming
"400 metres Freestyle, Women",USA,1,1964,Swimming
"400 metres Freestyle, Women",USA,2,1964,Swimming
"400 metres Freestyle, Women",USA,3,1964,Swimming
"400 metres Individual Medley, Men",USA,1,1964,Swimming
"400 metres Individual Medley, Men",USA,2,1964,Swimming
"400 metres Individual Medley, Men",GER,3,1964,Swimming
"400 metres Individual Medley, Women",USA,1,1964,Swimming
"400 metres Individual Medley, Women",USA,2,1964,Swimming
"400 metres Individual Medley, Women",USA,3,1964,Swimming
"Volleyball, Men",URS,1,1964,Volleyball
"Volleyball, Men",TCH,2,1964,Volleyball
"Volleyball, Men",JPN,3,1964,Volleyball
"Volleyball, Women",JPN,1,1964,Volleyball
"Volleyball, Women",URS,2,1964,Volleyball
"Volleyball, Women",POL,3,1964,Volleyball
"Water Polo, Men",HUN,1,1964,Water Polo
"Water Polo, Men",YUG,2,1964,Water Polo
"Water Polo, Men",URS,3,1964,Water Polo
"Bantamweight, Men",URS,1,1964,Weightlifting
"Bantamweight, Men",HUN,2,1964,Weightlifting
"Bantamweight, Men",JPN,3,1964,Weightlifting
"Featherweight, Men",JPN,1,1964,Weightlifting
"Featherweight, Men",USA,2,1964,Weightlifting
"Featherweight, Men",POL,3,1964,Weightlifting
"Heavyweight, Men",URS,1,1964,Weightlifting
"Heavyweight, Men",URS,2,1964,Weightlifting
"Heavyweight, Men",USA,3,1964,Weightlifting
"Light-Heavyweight, Men",URS,1,1964,Weightlifting
"Light-Heavyweight, Men",HUN,2,1964,Weightlifting
"Light-Heavyweight, Men",HUN,3,1964,Weightlifting
"Lightweight, Men",POL,1,1964,Weightlifting
"Lightweight, Men",URS,2,1964,Weightlifting
