Event,NOC,Pos.,Year,Discipline
"Javelin Throw, Women ",GRE ,2,2000,Athletics
"Javelin Throw, Women ",CUB,3,2000,Athletics
"Long Jump, Men ",CUB ,1,2000,Athletics
"Long Jump, Men ",AUS ,2,2000,Athletics
"Long Jump, Men ",UKR,3,2000,Athletics
"Long Jump, Women ",GER ,1,2000,Athletics
"Long Jump, Women ",ITA ,2,2000,Athletics
"Long Jump, Women ",RUS,3,2000,Athletics
"Marathon, Men ",ETH ,1,2000,Athletics
"Marathon, Men ",KEN ,2,2000,Athletics
"Marathon, Men ",ETH,3,2000,Athletics
"Marathon, Women ",JPN ,1,2000,Athletics
"Marathon, Women ",ROU ,2,2000,Athletics
"Marathon, Women ",KEN,3,2000,Athletics
"Pole Vault, Men ",USA ,1,2000,Athletics
"Pole Vault, Men ",USA ,2,2000,Athletics
"Pole Vault, Men ",RUS,3,2000,Athletics
"Pole Vault, Women ",USA ,1,2000,Athletics
"Pole Vault, Women ",AUS ,2,2000,Athletics
"Pole Vault, Women ",ISL,3,2000,Athletics
"Shot Put, Men ",FIN ,1,2000,Athletics
"Shot Put, Men ",USA ,2,2000,Athletics
"Shot Put, Men ",USA,3,2000,Athletics
"Shot Put, Women ",BLR ,1,2000,Athletics
"Shot Put, Women ",RUS ,2,2000,Athletics
"Shot Put, Women ",GER,3,2000,Athletics
"Triple Jump, Men ",GBR ,1,2000,Athletics
"Triple Jump, Men ",CUB ,2,2000,Athletics
"Triple Jump, Men ",RUS,3,2000,Athletics
"Triple Jump, Women ",BUL ,1,2000,Athletics
"Triple Jump, Women ",RUS ,2,2000,Athletics
"Triple Jump, Women ",UKR,3,2000,Athletics
"Doubles, Men",INA,1,2000,Badminton
"Doubles, Men",KOR,2,2000,Badminton
"Doubles, Men",KOR,3,2000,Badminton
"Doubles, Mixed",CHN,1,2000,Badminton
"Doubles, Mixed",INA,2,2000,Badminton
"Doubles, Mixed",GBR,3,2000,Badminton
"Doubles, Women",CHN,1,2000,Badminton
"Doubles, Women",CHN,2,2000,Badminton
"Doubles, Women",CHN,3,2000,Badminton
"Singles, Men",CHN,1,2000,Badminton
"Singles, Men",INA,2,2000,Badminton
"Singles, Men",CHN,3,2000,Badminton
"Singles, Women",CHN,1,2000,Badminton
"Singles, Women",DEN,2,2000,Badminton
"Singles, Women",CHN,3,2000,Badminton
"Baseball, Men",USA,1,2000,Baseball
"Baseball, Men",CUB,2,2000,Baseball
"Baseball, Men",KOR,3,2000,Baseball
"Basketball, Men",USA,1,2000,Basketball
"Basketball, Men",FRA,2,2000,Basketball
"Basketball, Men",LTU,3,2000,Basketball
"Basketball, Women",USA,1,2000,Basketball
"Basketball, Women",AUS,2,2000,Basketball
"Basketball, Women",BRA,3,2000,Basketball
"Beach Volleyball, Men",USA,1,2000,Beach Volleyball
"Beach Volleyball, Men",BRA,2,2000,Beach Volleyball
"Beach Volleyball, Men",GER,3,2000,Beach Volleyball
"Beach Volleyball, Women",AUS,1,2000,Beach Volleyball
"Beach Volleyball, Women",BRA,2,2000,Beach Volleyball
"Beach Volleyball, Women",BRA,3,2000,Beach Volleyball
"Bantamweight, Men",CUB,1,2000,Boxing
"Bantamweight, Men",RUS,2,2000,Boxing
"Bantamweight, Men",USA,3,2000,Boxing
"Bantamweight, Men",UKR,3,2000,Boxing
"Featherweight, Men",KAZ,1,2000,Boxing
"Featherweight, Men",USA,2,2000,Boxing
"Featherweight, Men",RUS,3,2000,Boxing
"Featherweight, Men",MAR,3,2000,Boxing
"Flyweight, Men",THA,1,2000,Boxing
"Flyweight, Men",KAZ,2,2000,Boxing
"Flyweight, Men",FRA,3,2000,Boxing
"Flyweight, Men",UKR,3,2000,Boxing
"Heavyweight, Men",CUB,1,2000,Boxing
"Heavyweight, Men",RUS,2,2000,Boxing
"Heavyweight, Men",GER,3,2000,Boxing
"Heavyweight, Men",GEO,3,2000,Boxing
"Light-Flyweight, Men",FRA,1,2000,Boxing
"Light-Flyweight, Men",ESP,2,2000,Boxing
"Light-Flyweight, Men",PRK,3,2000,Boxing
"Light-Flyweight, Men",CUB,3,2000,Boxing
"Light-Heavyweight, Men",RUS,1,2000,Boxing
"Light-Heavyweight, Men",CZE,2,2000,Boxing
"Light-Heavyweight, Men",UKR,3,2000,Boxing
"Light-Heavyweight, Men",UZB,3,2000,Boxing
"Light-Middleweight, Men",KAZ,1,2000,Boxing
"Light-Middleweight, Men",ROU,2,2000,Boxing
"Light-Middleweight, Men",USA,3,2000,Boxing
"Light-Middleweight, Men",THA,3,2000,Boxing
"Lightweight, Men",CUB,1,2000,Boxing
"Lightweight, Men",UKR,2,2000,Boxing
"Lightweight, Men",RUS,3,2000,Boxing
"Lightweight, Men",MEX,3,2000,Boxing
"Light-Welterweight, Men",UZB,1,2000,Boxing
"Light-Welterweight, Men",USA,2,2000,Boxing
"Light-Welterweight, Men",CUB,3,2000,Boxing
"Light-Welterweight, Men",ALG,3,2000,Boxing
"Middleweight, Men",CUB,1,2000,Boxing
"Middleweight, Men",RUS,2,2000,Boxing
"Middleweight, Men",AZE,3,2000,Boxing
"Middleweight, Men",HUN,3,2000,Boxing
"Super-Heavyweight, Men",GBR,1,2000,Boxing
"Super-Heavyweight, Men",KAZ,2,2000,Boxing
"Super-Heavyweight, Men",ITA,3,2000,Boxing
"Super-Heavyweight, Men",UZB,3,2000,Boxing
"Welterweight, Men",RUS,1,2000,Boxing
"Welterweight, Men",UKR,2,2000,Boxing
"Welterweight, Men",ROU,3,2000,Boxing
"Welterweight, Men",MDA,3,2000,Boxing
"Canadian Doubles, Slalom, Men",SVK,1,2000,Canoe Slalom
"Canadian Doubles, Slalom, Men",POL,2,2000,Canoe Slalom
"Canadian Doubles, Slalom, Men",CZE,3,2000,Canoe Slalom
"Canadian Singles, Slalom, Men",FRA,1,2000,Canoe Slalom
"Canadian Singles, Slalom, Men",SVK,2,2000,Canoe Slalom
"Canadian Singles, Slalom, Men",SVK,3,2000,Canoe Slalom
"Kayak Singles, Slalom, Men",GER,1,2000,Canoe Slalom
"Kayak Singles, Slalom, Men",GBR,2,2000,Canoe Slalom
"Kayak Singles, Slalom, Men",ITA,3,2000,Canoe Slalom
"Kayak Singles, Slalom, Women",CZE,1,2000,Canoe Slalom
"Kayak Singles, Slalom, Women",FRA,2,2000,Canoe Slalom
"Kayak Singles, Slalom, Women",FRA,3,2000,Canoe Slalom
"Canadian Doubles, 1,000 metres, Men",ROU,1,2000,Canoe Sprint
"Canadian Doubles, 1,000 metres, Men",CUB,2,2000,Canoe Sprint
"Canadian Doubles, 1,000 metres, Men",GER,3,2000,Canoe Sprint
"Canadian Doubles, 500 metres, Men",HUN,1,2000,Canoe Sprint
"Canadian Doubles, 500 metres, Men",POL,2,2000,Canoe Sprint
"Canadian Doubles, 500 metres, Men",ROU,3,2000,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",GER,1,2000,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",CUB,2,2000,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",CAN,3,2000,Canoe Sprint
"Canadian Singles, 500 metres, Men",HUN,1,2000,Canoe Sprint
"Canadian Singles, 500 metres, Men",RUS,2,2000,Canoe Sprint
"Canadian Singles, 500 metres, Men",GER,3,2000,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",ITA,1,2000,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",SWE,2,2000,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",HUN,3,2000,Canoe Sprint
"Kayak Doubles, 500 metres, Men",HUN,1,2000,Canoe Sprint
"Kayak Doubles, 500 metres, Men",AUS,2,2000,Canoe Sprint
"Kayak Doubles, 500 metres, Men",GER,3,2000,Canoe Sprint
"Kayak Doubles, 500 metres, Women",GER,1,2000,Canoe Sprint
"Kayak Doubles, 500 metres, Women",HUN,2,2000,Canoe Sprint
"Kayak Doubles, 500 metres, Women",POL,3,2000,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",HUN,1,2000,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",GER,2,2000,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",POL,3,2000,Canoe Sprint
"Kayak Fours, 500 metres, Women",GER,1,2000,Canoe Sprint
"Kayak Fours, 500 metres, Women",HUN,2,2000,Canoe Sprint
"Kayak Fours, 500 metres, Women",ROU,3,2000,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",NOR,1,2000,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",BUL,2,2000,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",GBR,3,2000,Canoe Sprint
"Kayak Singles, 500 metres, Men",NOR,1,2000,Canoe Sprint
"Kayak Singles, 500 metres, Men",BUL,2,2000,Canoe Sprint
"Kayak Singles, 500 metres, Men",ISR,3,2000,Canoe Sprint
"Kayak Singles, 500 metres, Women",ITA,1,2000,Canoe Sprint
"Kayak Singles, 500 metres, Women",CAN,2,2000,Canoe Sprint
"Kayak Singles, 500 metres, Women",AUS,3,2000,Canoe Sprint
"Cross-Country, Men",FRA,1,2000,Cycling Mountain Bike
"Cross-Country, Men",BEL,2,2000,Cycling Mountain Bike
"Cross-Country, Men",SUI,3,2000,Cycling Mountain Bike
"Cross-Country, Women",ITA,1,2000,Cycling Mountain Bike
"Cross-Country, Women",SUI,2,2000,Cycling Mountain Bike
"Cross-Country, Women",ESP,3,2000,Cycling Mountain Bike
"Individual Time Trial, Men",RUS,1,2000,Cycling Road
"Individual Time Trial, Men",GER,2,2000,Cycling Road
"Individual Time Trial, Men",0,3,2000,Cycling Road
"Individual Time Trial, Women",NED,1,2000,Cycling Road
"Individual Time Trial, Women",USA,2,2000,Cycling Road
"Individual Time Trial, Women",FRA,3,2000,Cycling Road
"Road Race, Individual, Men",GER,1,2000,Cycling Road
"Road Race, Individual, Men",KAZ,2,2000,Cycling Road
"Road Race, Individual, Men",GER,3,2000,Cycling Road
"Road Race, Individual, Women",NED,1,2000,Cycling Road
"Road Race, Individual, Women",GER,2,2000,Cycling Road
"Road Race, Individual, Women",LTU,3,2000,Cycling Road
"1,000 metres Time Trial, Men",GBR,1,2000,Cycling Track
"1,000 metres Time Trial, Men",GER,2,2000,Cycling Track
"1,000 metres Time Trial, Men",AUS,3,2000,Cycling Track
"500 metres Time Trial, Women",FRA,1,2000,Cycling Track
"500 metres Time Trial, Women",AUS,2,2000,Cycling Track
"500 metres Time Trial, Women",CHN,3,2000,Cycling Track
"Individual Pursuit, 4,000 metres, Men",GER,1,2000,Cycling Track
"Individual Pursuit, 4,000 metres, Men",GER,2,2000,Cycling Track
"Individual Pursuit, 4,000 metres, Men",AUS,3,2000,Cycling Track
"Individual Pursuit, Women",NED,1,2000,Cycling Track
"Individual Pursuit, Women",FRA,2,2000,Cycling Track
"Individual Pursuit, Women",GBR,3,2000,Cycling Track
"Keirin, Men",FRA,1,2000,Cycling Track
"Keirin, Men",AUS,2,2000,Cycling Track
"Keirin, Men",GER,3,2000,Cycling Track
"Madison, Men",AUS,1,2000,Cycling Track
"Madison, Men",BEL,2,2000,Cycling Track
"Madison, Men",ITA,3,2000,Cycling Track
"Points Race, Men",ESP,1,2000,Cycling Track
"Points Race, Men",URU,2,2000,Cycling Track
"Points Race, Men",RUS,3,2000,Cycling Track
"Points Race, Women",ITA,1,2000,Cycling Track
"Points Race, Women",NED,2,2000,Cycling Track
"Points Race, Women",RUS,3,2000,Cycling Track
"Sprint, Men",USA,1,2000,Cycling Track
"Sprint, Men",FRA,2,2000,Cycling Track
"Sprint, Men",GER,3,2000,Cycling Track
"Sprint, Women",FRA,1,2000,Cycling Track
"Sprint, Women",RUS,2,2000,Cycling Track
"Sprint, Women",UKR,3,2000,Cycling Track
"Team Pursuit, 4,000 metres, Men",GER,1,2000,Cycling Track
"Team Pursuit, 4,000 metres, Men",UKR,2,2000,Cycling Track
"Team Pursuit, 4,000 metres, Men",GBR,3,2000,Cycling Track
"Team Sprint, Men",FRA,1,2000,Cycling Track
"Team Sprint, Men",GBR,2,2000,Cycling Track
"Team Sprint, Men",AUS,3,2000,Cycling Track
"Platform, Men",CHN,1,2000,Diving
"Platform, Men",CHN,2,2000,Diving
"Platform, Men",RUS,3,2000,Diving
"Platform, Women",USA,1,2000,Diving
"Platform, Women",CHN,2,2000,Diving
"Platform, Women",CAN,3,2000,Diving
"Springboard, Men",CHN,1,2000,Diving
"Springboard, Men",MEX,2,2000,Diving
"Springboard, Men",RUS,3,2000,Diving
"Springboard, Women",CHN,1,2000,Diving
"Springboard, Women",CHN,2,2000,Diving
"Springboard, Women",GER,3,2000,Diving
"Synchronized Platform, Men",RUS,1,2000,Diving
"Synchronized Platform, Men",CHN,2,2000,Diving
"Synchronized Platform, Men",GER,3,2000,Diving
"Synchronized Platform, Women",CHN,1,2000,Diving
"Synchronized Platform, Women",CAN,2,2000,Diving
"Synchronized Platform, Women",AUS,3,2000,Diving
"Synchronized Springboard, Men",CHN,1,2000,Diving
"Synchronized Springboard, Men",RUS,2,2000,Diving
"Synchronized Springboard, Men",AUS,3,2000,Diving
"Synchronized Springboard, Women",RUS,1,2000,Diving
"Synchronized Springboard, Women",CHN,2,2000,Diving
"Synchronized Springboard, Women",UKR,3,2000,Diving
"Individual, Open",NED,1,2000,Equestrian Dressage
"Individual, Open",GER,2,2000,Equestrian Dressage
"Individual, Open",GER,3,2000,Equestrian Dressage
"Team, Open",GER,1,2000,Equestrian Dressage
"Team, Open",NED,2,2000,Equestrian Dressage
"Team, Open",USA,3,2000,Equestrian Dressage
"Individual, Open",USA,1,2000,Equestrian Eventing
"Individual, Open",AUS,2,2000,Equestrian Eventing
"Individual, Open",NZL,3,2000,Equestrian Eventing
"Team, Open",AUS,1,2000,Equestrian Eventing
"Team, Open",GBR,2,2000,Equestrian Eventing
"Team, Open",USA,3,2000,Equestrian Eventing
"Individual, Open",NED,1,2000,Equestrian Jumping
"Individual, Open",NED,2,2000,Equestrian Jumping
"Individual, Open",KSA,3,2000,Equestrian Jumping
"Team, Open",GER,1,2000,Equestrian Jumping
"Team, Open",SUI,2,2000,Equestrian Jumping
"Team, Open",BRA,3,2000,Equestrian Jumping
"Épée, Individual, Men",RUS,1,2000,Fencing
"Épée, Individual, Men",FRA,2,2000,Fencing
"Épée, Individual, Men",KOR,3,2000,Fencing
"Épée, Individual, Women",HUN,1,2000,Fencing
"Épée, Individual, Women",SUI,2,2000,Fencing
"Épée, Individual, Women",FRA,3,2000,Fencing
"Épée, Team, Men",ITA,1,2000,Fencing
"Épée, Team, Men",FRA,2,2000,Fencing
"Épée, Team, Men",CUB,3,2000,Fencing
"Épée, Team, Women",RUS,1,2000,Fencing
"Épée, Team, Women",SUI,2,2000,Fencing
"Épée, Team, Women",CHN,3,2000,Fencing
"Foil, Individual, Men",KOR,1,2000,Fencing
"Foil, Individual, Men",GER,2,2000,Fencing
"Foil, Individual, Men",RUS,3,2000,Fencing
"Foil, Individual, Women",ITA,1,2000,Fencing
"Foil, Individual, Women",GER,2,2000,Fencing
"Foil, Individual, Women",ITA,3,2000,Fencing
"Foil, Team, Men",FRA,1,2000,Fencing
"Foil, Team, Men",CHN,2,2000,Fencing
"Foil, Team, Men",ITA,3,2000,Fencing
"Foil, Team, Women",ITA,1,2000,Fencing
"Foil, Team, Women",POL,2,2000,Fencing
"Foil, Team, Women",GER,3,2000,Fencing
"Sabre, Individual, Men",ROU,1,2000,Fencing
"Sabre, Individual, Men",FRA,2,2000,Fencing
"Sabre, Individual, Men",GER,3,2000,Fencing
"Sabre, Team, Men",RUS,1,2000,Fencing
"Sabre, Team, Men",FRA,2,2000,Fencing
"Sabre, Team, Men",GER,3,2000,Fencing
"Football, Men",CMR,1,2000,Football
"Football, Men",ESP,2,2000,Football
"Football, Men",CHI,3,2000,Football
"Football, Women",NOR,1,2000,Football
"Football, Women",USA,2,2000,Football
"Football, Women",GER,3,2000,Football
"Handball, Men",RUS,1,2000,Handball
"Handball, Men",SWE,2,2000,Handball
"Handball, Men",ESP,3,2000,Handball
"Handball, Women",DEN,1,2000,Handball
"Handball, Women",HUN,2,2000,Handball
"Handball, Women",NOR,3,2000,Handball
"Hockey, Men",NED,1,2000,Hockey
"Hockey, Men",KOR,2,2000,Hockey
"Hockey, Men",AUS,3,2000,Hockey
"Hockey, Women",AUS,1,2000,Hockey
"Hockey, Women",ARG,2,2000,Hockey
"Hockey, Women",NED,3,2000,Hockey
"Extra-Lightweight, Men",JPN,1,2000,Judo
"Extra-Lightweight, Men",KOR,2,2000,Judo
"Extra-Lightweight, Men",KGZ,3,2000,Judo
"Extra-Lightweight, Men",CUB,3,2000,Judo
"Extra-Lightweight, Women",JPN,1,2000,Judo
"Extra-Lightweight, Women",RUS,2,2000,Judo
"Extra-Lightweight, Women",BEL,3,2000,Judo
"Extra-Lightweight, Women",GER,3,2000,Judo
"Half-Heavyweight, Men",JPN,1,2000,Judo
"Half-Heavyweight, Men",CAN,2,2000,Judo
"Half-Heavyweight, Men",FRA,3,2000,Judo
"Half-Heavyweight, Men",RUS,3,2000,Judo
"Half-Heavyweight, Women",CHN,1,2000,Judo
"Half-Heavyweight, Women",FRA,2,2000,Judo
"Half-Heavyweight, Women",ITA,3,2000,Judo
"Half-Heavyweight, Women",ROU,3,2000,Judo
"Half-Lightweight, Men",TUR,1,2000,Judo
"Half-Lightweight, Men",FRA,2,2000,Judo
"Half-Lightweight, Men",GEO,3,2000,Judo
"Half-Lightweight, Men",ITA,3,2000,Judo
"Half-Lightweight, Women",CUB,1,2000,Judo
"Half-Lightweight, Women",JPN,2,2000,Judo
"Half-Lightweight, Women",PRK,3,2000,Judo
"Half-Lightweight, Women",CHN,3,2000,Judo
"Half-Middleweight, Men",JPN,1,2000,Judo
"Half-Middleweight, Men",KOR,2,2000,Judo
"Half-Middleweight, Men",EST,3,2000,Judo
"Half-Middleweight, Men",POR,3,2000,Judo
"Half-Middleweight, Women",FRA,1,2000,Judo
"Half-Middleweight, Women",CHN,2,2000,Judo
"Half-Middleweight, Women",BEL,3,2000,Judo
"Half-Middleweight, Women",KOR,3,2000,Judo
"Heavyweight, Men",FRA,1,2000,Judo
"Heavyweight, Men",JPN,2,2000,Judo
"Heavyweight, Men",EST,3,2000,Judo
"Heavyweight, Men",RUS,3,2000,Judo
"Heavyweight, Women",CHN,1,2000,Judo
"Heavyweight, Women",CUB,2,2000,Judo
"Heavyweight, Women",KOR,3,2000,Judo
"Heavyweight, Women",JPN,3,2000,Judo
"Lightweight, Men",ITA,1,2000,Judo
"Lightweight, Men",BRA,2,2000,Judo
"Lightweight, Men",BLR,3,2000,Judo
"Lightweight, Men",LAT,3,2000,Judo
"Lightweight, Women",ESP,1,2000,Judo
"Lightweight, Women",CUB,2,2000,Judo
"Lightweight, Women",JPN,3,2000,Judo
"Lightweight, Women",AUS,3,2000,Judo
"Middleweight, Men",NED,1,2000,Judo
"Middleweight, Men",BRA,2,2000,Judo
"Middleweight, Men",FRA,3,2000,Judo
"Middleweight, Men",UKR,3,2000,Judo
"Middleweight, Women",CUB,1,2000,Judo
"Middleweight, Women",GBR,2,2000,Judo
"Middleweight, Women",KOR,3,2000,Judo
"Middleweight, Women",ITA,3,2000,Judo
"Individual, Men",RUS,1,2000,Modern Pentathlon
"Individual, Men",HUN,2,2000,Modern Pentathlon
"Individual, Men",BLR,3,2000,Modern Pentathlon
"Individual, Women",GBR,1,2000,Modern Pentathlon
"Individual, Women",USA,2,2000,Modern Pentathlon
"Individual, Women",GBR,3,2000,Modern Pentathlon
"Group, Women",RUS,1,2000,Rhythmic Gymnastics
"Group, Women",BLR,2,2000,Rhythmic Gymnastics
"Group, Women",GRE,3,2000,Rhythmic Gymnastics
"Individual, Women",RUS,1,2000,Rhythmic Gymnastics
"Individual, Women",BLR,2,2000,Rhythmic Gymnastics
"Individual, Women",RUS,3,2000,Rhythmic Gymnastics
"Coxless Fours, Men",GBR,1,2000,Rowing
"Coxless Fours, Men",ITA,2,2000,Rowing
"Coxless Fours, Men",AUS,3,2000,Rowing
"Coxless Pairs, Men",FRA,1,2000,Rowing
"Coxless Pairs, Men",USA,2,2000,Rowing
"Coxless Pairs, Men",AUS,3,2000,Rowing
"Coxless Pairs, Women",ROU,1,2000,Rowing
"Coxless Pairs, Women",AUS,2,2000,Rowing
"Coxless Pairs, Women",USA,3,2000,Rowing
"Double Sculls, Men",SLO,1,2000,Rowing
"Double Sculls, Men",NOR,2,2000,Rowing
"Double Sculls, Men",ITA,3,2000,Rowing
"Double Sculls, Women",GER,1,2000,Rowing
"Double Sculls, Women",NED,2,2000,Rowing
"Double Sculls, Women",LTU,3,2000,Rowing
"Eights, Men",GBR,1,2000,Rowing
"Eights, Men",AUS,2,2000,Rowing
"Eights, Men",CRO,3,2000,Rowing
"Eights, Women",ROU,1,2000,Rowing
"Eights, Women",NED,2,2000,Rowing
"Eights, Women",CAN,3,2000,Rowing
"Lightweight Coxless Fours, Men",FRA,1,2000,Rowing
"Lightweight Coxless Fours, Men",AUS,2,2000,Rowing
"Lightweight Coxless Fours, Men",DEN,3,2000,Rowing
"Lightweight Double Sculls, Men",POL,1,2000,Rowing
"Lightweight Double Sculls, Men",ITA,2,2000,Rowing
"Lightweight Double Sculls, Men",FRA,3,2000,Rowing
"Lightweight Double Sculls, Women",ROU,1,2000,Rowing
"Lightweight Double Sculls, Women",GER,2,2000,Rowing
"Lightweight Double Sculls, Women",USA,3,2000,Rowing
"Quadruple Sculls, Men",ITA,1,2000,Rowing
"Quadruple Sculls, Men",NED,2,2000,Rowing
"Quadruple Sculls, Men",GER,3,2000,Rowing
"Quadruple Sculls, Women",GER,1,2000,Rowing
"Quadruple Sculls, Women",GBR,2,2000,Rowing
"Quadruple Sculls, Women",RUS,3,2000,Rowing
"Single Sculls, Men",NZL,1,2000,Rowing
"Single Sculls, Men",SUI,2,2000,Rowing
"Single Sculls, Men",GER,3,2000,Rowing
"Single Sculls, Women",BLR,1,2000,Rowing
"Single Sculls, Women",BUL,2,2000,Rowing
"Single Sculls, Women",GER,3,2000,Rowing
"Multihull, Open",AUT,1,2000,Sailing
"Multihull, Open",AUS,2,2000,Sailing
"Multihull, Open",GER,3,2000,Sailing
"One Person Dinghy, Men",GBR,1,2000,Sailing
"One Person Dinghy, Men",ITA,2,2000,Sailing
"One Person Dinghy, Men",SWE,3,2000,Sailing
"One Person Dinghy, Open",GBR,1,2000,Sailing
"One Person Dinghy, Open",BRA,2,2000,Sailing
"One Person Dinghy, Open",AUS,3,2000,Sailing
"One Person Dinghy, Women",GBR,1,2000,Sailing
"One Person Dinghy, Women",NED,2,2000,Sailing
"One Person Dinghy, Women",ARG,3,2000,Sailing
"Skiff, Open",FIN,1,2000,Sailing
"Skiff, Open",GBR,2,2000,Sailing
"Skiff, Open",USA,3,2000,Sailing
"Three Person Keelboat, Open",DEN,1,2000,Sailing
"Three Person Keelboat, Open",GER,2,2000,Sailing
"Three Person Keelboat, Open",NOR,3,2000,Sailing
"Two Person Dinghy, Men",AUS,1,2000,Sailing
"Two Person Dinghy, Men",USA,2,2000,Sailing
"Two Person Dinghy, Men",ARG,3,2000,Sailing
"Two Person Dinghy, Women",AUS,1,2000,Sailing
"Two Person Dinghy, Women",USA,2,2000,Sailing
"Two Person Dinghy, Women",UKR,3,2000,Sailing
"Two Person Keelboat, Open",USA,1,2000,Sailing
"Two Person Keelboat, Open",GBR,2,2000,Sailing
"Two Person Keelboat, Open",BRA,3,2000,Sailing
"Windsurfer, Men",AUT,1,2000,Sailing
"Windsurfer, Men",ARG,2,2000,Sailing
"Windsurfer, Men",NZL,3,2000,Sailing
"Windsurfer, Women",ITA,1,2000,Sailing
"Windsurfer, Women",GER,2,2000,Sailing
"Windsurfer, Women",NZL,3,2000,Sailing
"Air Pistol, 10 metres, Men",FRA,1,2000,Shooting
"Air Pistol, 10 metres, Men",CHN,2,2000,Shooting
"Air Pistol, 10 metres, Men",BLR,3,2000,Shooting
"Air Pistol, 10 metres, Women",CHN,1,2000,Shooting
"Air Pistol, 10 metres, Women",SCG,2,2000,Shooting
"Air Pistol, 10 metres, Women",AUS,3,2000,Shooting
"Air Rifle, 10 metres, Men",CHN,1,2000,Shooting
"Air Rifle, 10 metres, Men",RUS,2,2000,Shooting
"Air Rifle, 10 metres, Men",RUS,3,2000,Shooting
"Air Rifle, 10 metres, Women",USA,1,2000,Shooting
"Air Rifle, 10 metres, Women",KOR,2,2000,Shooting
"Air Rifle, 10 metres, Women",CHN,3,2000,Shooting
"Double Trap, Men",GBR,1,2000,Shooting
"Double Trap, Men",AUS,2,2000,Shooting
"Double Trap, Men",KUW,3,2000,Shooting
"Double Trap, Women",SWE,1,2000,Shooting
"Double Trap, Women",ITA,2,2000,Shooting
"Double Trap, Women",USA,3,2000,Shooting
"Free Pistol, 50 metres, Men",BUL,1,2000,Shooting
"Free Pistol, 50 metres, Men",BLR,2,2000,Shooting
"Free Pistol, 50 metres, Men",CZE,3,2000,Shooting
"Rapid-Fire Pistol, 25 metres, Men",RUS,1,2000,Shooting
"Rapid-Fire Pistol, 25 metres, Men",SUI,2,2000,Shooting
"Rapid-Fire Pistol, 25 metres, Men",ROU,3,2000,Shooting
"Running Target, 10 metres, Men",CHN,1,2000,Shooting
"Running Target, 10 metres, Men",MDA,2,2000,Shooting
"Running Target, 10 metres, Men",CHN,3,2000,Shooting
"Skeet, Men",UKR,1,2000,Shooting
"Skeet, Men",CZE,2,2000,Shooting
"Skeet, Men",USA,3,2000,Shooting
"Skeet, Women",AZE,1,2000,Shooting
"Skeet, Women",RUS,2,2000,Shooting
"Skeet, Women",HUN,3,2000,Shooting
"Small-Bore Rifle, Prone, 50 metres, Men",SWE,1,2000,Shooting
"Small-Bore Rifle, Prone, 50 metres, Men",DEN,2,2000,Shooting
"Small-Bore Rifle, Prone, 50 metres, Men",BLR,3,2000,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Men",SLO,1,2000,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Men",FIN,2,2000,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Men",NOR,3,2000,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Women",POL,1,2000,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Women",RUS,2,2000,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Women",RUS,3,2000,Shooting
"Sporting Pistol, 25 metres, Women",BUL,1,2000,Shooting
"Sporting Pistol, 25 metres, Women",CHN,2,2000,Shooting
"Sporting Pistol, 25 metres, Women",BLR,3,2000,Shooting
"Trap, Men",AUS,1,2000,Shooting
"Trap, Men",GBR,2,2000,Shooting
"Trap, Men",ITA,3,2000,Shooting
"Trap, Women",LTU,1,2000,Shooting
"Trap, Women",FRA,2,2000,Shooting
"Trap, Women",CHN,3,2000,Shooting
"Softball, Women",USA,1,2000,Softball
"Softball, Women",JPN,2,2000,Softball
"Softball, Women",AUS,3,2000,Softball
"1,500 metres Freestyle, Men",AUS,1,2000,Swimming
"1,500 metres Freestyle, Men",AUS,2,2000,Swimming
"1,500 metres Freestyle, Men",USA,3,2000,Swimming
"100 metres Backstroke, Men",USA,1,2000,Swimming
"100 metres Backstroke, Men",AUS,2,2000,Swimming
"100 metres Backstroke, Men",GER,3,2000,Swimming
"100 metres Backstroke, Women",ROU,1,2000,Swimming
"100 metres Backstroke, Women",JPN,2,2000,Swimming
"100 metres Backstroke, Women",ESP,3,2000,Swimming
"100 metres Breaststroke, Men",ITA,1,2000,Swimming
"100 metres Breaststroke, Men",USA,2,2000,Swimming
"100 metres Breaststroke, Men",RUS,3,2000,Swimming
"100 metres Breaststroke, Women",USA,1,2000,Swimming
"100 metres Breaststroke, Women",AUS,2,2000,Swimming
"100 metres Breaststroke, Women",RSA,3,2000,Swimming
