Country,Code,Capital,GDP (Billions),Latitude,Longitude,Latitude,Longitude,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
Cameroon,,Yaounde,39,03.50N,11.35E,3.5,11.35,North,East,7348.660545,6127.096655,3080.1856,5560.694684,3855.419933,7382.937537,6706.052031,2662.023508,5628.709012,8059.947265,2442.711544,6241.863267,3360.488213,3490.276702,7348.660545
Canada,,Ottawa,1742,45.27N,75.42W,45.27,-75.42,North,West,11761.45096,2215.276999,4754.326022,17.85869536,6197.178624,2462.817034,11038.50466,4244.864848,933.6493084,13525.33305,5424.860063,10469.8937,4136.60053,5023.162376,11761.45096
Cape Verde,,Praia,1.98,15.02N,23.34W,15.02,-23.34,North,West,9012.706921,4146.538949,2976.197282,3543.39349,4331.592558,5345.325958,8324.575388,2291.442646,3575.095678,10109.84624,2992.086892,7804.625975,2811.478024,2832.288311,9012.706921
Cayman Islands,,George Town,,19.20N,81.24W,19.2,-81.24,North,West,12114.08146,975.156,5447.181845,1840.917463,6941.32969,2265.196606,11411.22871,4804.675635,1018.575556,13209.46724,5855.60639,10871.28634,4957.357865,3572.551283,12114.08146
Central African Republic,,Bangui,2.22,04.23N,18.35E,4.23,18.35,North,East,6969.431905,6495.426349,3052.255339,5865.637971,3683.290245,7736.447836,6330.782294,2711.963523,5967.959213,7715.82105,2318.002517,5872.20917,3403.617254,3845.735655,6969.431905
Chad,,N'Djamena,11.31,12.10N,14.59E,12.1,14.59,North,East,7019.440662,6226.775688,2492.184765,5435.48626,3239.023259,7408.972874,6353.063864,2131.746802,5606.971801,8105.835186,1823.604771,5862.31067,2824.412639,3972.575567,7019.440662
Chile,,Santiago,279,33.24S,70.40W,-33.24,-70.4,South,West,12415.56917,3943.105473,7180.963618,5440.38823,8488.879813,5327.327679,11801.49769,6497.463883,4684.999751,12099.98408,7081.086651,11359.06185,6987.801141,1648.784529,12415.56917
China,,Beijing,14280,39.55N,116.20E,39.55,116.2,North,East,1307.919095,11838.94405,5742.91982,10478.68767,4442.798842,12806.04837,583.2324219,6227.332336,10959.52333,5414.624777,5065.428159,0,6399.345926,9710.393207,1307.919095
Colombia,,Bogota,323,04.34N,74.00W,4.34,-74,North,West,11864.03068,1711.573173,5564.846725,2841.333395,7028.492777,3168.141186,11181.17542,4881.775916,2107.092876,12575.93558,5794.551013,10665.31692,5179.650627,2523.667877,11864.03068
Comros,,Moroni,,11.40S,43.16E,-11.4,43.16,South,East,6189.380911,8049.251554,4455.434924,7578.859806,4623.545432,9353.817849,5657.036885,4275.133309,7629.279462,6099.859622,3546.658953,5316.305878,4931.414265,4780.055691,6189.380911
Congo,,Brazzaville,50.4,04.09S,15.12E,-4.09,15.12,South,East,7332.206127,6440.133211,3609.049415,6018.901455,4283.807735,7742.430874,6718.850873,3216.791121,6028.040662,7709.39839,2911.065771,6286.977997,3914.678745,3437.363698,7332.206127
Costa Rica,,San Jose,63.95,09.55N,84.02W,9.55,-84.02,North,West,12344.75496,1058.91033,5859.685913,2523.091473,7344.727848,2519.673322,11652.89483,5193.536804,1669.922202,13188.36147,6178.902752,11126.26561,5416.884059,3160.880263,12344.75496
Cote d'Ivoire,,Yamoussoukro,,06.49N,05.17W,6.49,-5.17,North,West,8159.657354,5203.020638,3015.860661,4692.579355,4099.060247,6459.86403,7497.111465,2441.220472,4716.685728,8981.020009,2654.338699,7008.430955,3108.625272,2901.725866,8159.657354
Croatia,,Zagreb,60.75,45.50N,15.58E,45.5,15.58,North,East,6808.024556,6519.192357,284.3955443,4976.79,1372.669191,7349.161408,6082.540205,785.1876379,5518.245309,9210.445178,695.52407,5509.170636,944.3405011,5707.083121,6808.024556
Cuba,,Havana,100,23.08N,82.22W,23.08,-82.22,North,West,12145.25931,959.7442546,5405.504836,1589.019027,6900.018534,2107.325425,11438.33193,4777.760803,745.7027539,13337.29637,5856.225524,10893.17319,4892.460575,3823.071369,12145.25931
Cyprus,,Nicosia,24.95,35.10N,33.25E,35.1,33.25,North,East,5809.577843,7309.116542,1486.434561,5984.749585,1421.882739,8271.671294,5093.733042,1751.589299,6423.819406,8008.05527,561.2563154,4539.466353,2136.475573,5782.002294,5809.577843
Czech Republic,,Prague,251,50.05N,14.22E,50.05,14.22,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139
Democratic Republic of the Congo,,Kinshasa,,04.20S,15.15E,-4.2,15.15,South,East,7333.531772,6443.617071,3616.716455,6024.56623,4290.624211,7746.553994,6720.59953,3224.55554,6032.807654,7705.799718,2918.307461,6289.179747,3922.44348,3436.021442,7333.531772
Denmark,,Copenhagen,350,55.41N,12.34E,55.41,12.34,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.548789,7280.410025,6357.022542,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967
Djibouti,,Djibouti,3.32,11.08N,42.20E,11.08,42.2,North,East,5584.958384,7735.297672,3055.168422,6854.818902,3072.961158,8902.248232,4945.827852,3025.049685,7086.606259,6711.577578,2095.318275,4492.640358,3611.949139,5217.976915,5584.958384
Dominica,,Roseau,0.57,15.20N,61.24W,15.2,-61.24,North,West,11059.24783,2085.499923,4579.764833,2232.309212,6057.223563,3373.051921,10363.50844,3905.429355,1798.872625,12083.81185,4875.625658,9832.832161,4169.811971,2808.587997,11059.24783
Dominica Republic,,Santo Domingo,,18.30N,69.59W,18.3,-69.59,North,West,11487.2721,1612.442273,4886.808196,1904.989689,6376.817129,2870.00037,10786.56445,4229.632888,1337.705457,12581.6325,5251.812676,10249.55334,4429.438769,3188.468904,11487.2721
East Timor,,Dili,2.02,08.29S,125.34E,-8.29,125.3,South,East,3133.467594,12398.19637,7328.965677,11578.48896,6511.743856,13614.42949,3147.082114,7546.389405,11810.82995,2261.997365,6398.138385,3338.144212,7986.367317,9253.612281,3133.467594
Ecuador,,Quito,108,00.15S,78.35W,-0.15,-78.35,South,West,12156.84033,1751.057174,5933.981684,3153.505132,7390.888545,3211.279169,11479.5843,5248.210076,2362.233328,12748.09767,6138.247458,10969.94912,5559.62504,2481.100965,12156.84033
Egypt,,Cairo,303,30.01N,31.14E,30.01,31.14,North,East,5937.549254,7150.115523,1644.840016,5923.588067,1787.807171,8160.910325,5230.96362,1765.939261,6313.214457,7899.79732,669.8243057,4690.69353,2251.730749,5458.498004,5937.549254
El Salvador,,San Salvador,26.9,13.40N,89.10W,13.4,-89.1,North,West,12584.00603,676.9608851,5997.025337,2334.848141,7489.05705,2135.79459,11886.80531,5344.497713,1427.505367,13520.24147,6368.217014,11353.67249,5522.746266,3544.84549,12584.00603
Equatorial Guinea,,Malabo,11.42,03.45N,08.50E,3.45,8.5,North,East,7498.167189,5974.628069,3088.192207,5430.336096,3918.549546,7234.947499,6853.331776,2640.576221,5485.810867,8206.446926,2492.603474,6386.229105,3338.589189,3356.671986,7498.167189
Eritrea,,Asmara,6.72,15.19N,38.55E,15.19,38.55,North,East,5698.238423,7520.781444,2708.77619,6572.56989,2778.712564,8659.07919,5038.790224,2685.836782,6833.594754,7021.173488,1750.880118,4560.723013,3266.569667,5178.781122,5698.238423
Estonia,,Tallinn,31.47,59.22N,24.48E,59.22,24.48,North,East,6494.667894,7290.647702,1039.512225,5544.152061,749.304823,7983.700543,5771.79885,1731.29871,6198.651988,9441.214208,1494.198241,5188.569733,1444.977146,6764.458204,6494.667894
Ethiopia,,Addis Ababa,95.91,09.02N,38.42E,9.02,38.42,North,East,5825.236731,7541.375715,3071.432443,6713.587097,3204.202646,8726.251177,5190.225418,2984.306758,6919.135525,6832.509437,2133.215973,4740.553289,3598.175808,4969.84163,5825.236731
Falkland Islands (Malvinas),,Stanley,,51.40S,59.51W,-51.4,-59.51,South,West,12423.73319,5329.457106,7889.179068,6743.355599,9073.301085,6711.636248,11858.06983,7234.20529,6030.34979,11568.71919,7630.02631,11463.98159,7798.346333,2158.787984,12423.73319
Faroe Islands,,Torshavn,,62.05N,06.56W,62.05,-6.56,North,West,8187.797761,5854.177553,1379.194026,3937.190224,2440.35413,6396.476433,7462.933949,1503.119137,4676.691194,10863.21512,2353.171997,6880.144615,818.7859128,6193.664748,8187.797761
Fiji,,Suva,5.5,18.06S,178.30E,-18.06,178.3,South,East,4266.501242,15362.69052,10184.68476,14538.55328,9217.023731,16585.51985,4753.484747,10455.03202,14781.67356,1837.884441,9285.134856,5224.740735,10852.22556,12096.89179,4266.501242
Finland,,Helsinki,269,60.15N,25.03E,60.15,25.03,North,East,6482.014653,7342.902147,1107.26077,5585.00046,746.7650967,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.672561,6834.621887,6482.014653
France,,Paris,2716,48.50N,02.20E,48.5,2.2,North,East,7556.722473,5888.888745,512.7500361,4251.284526,1978.195758,6651.180373,6830.559027,490.5927345,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473
French Guiana,,Cayenne,,05.05N,52.18W,5.05,-52.18,North,West,10685.02287,2741.576648,4578.143679,3069.35322,5999.129117,4124.749141,10006.64479,3885.031692,2648.489039,11425.18777,4700.482095,9496.741814,4279.24404,1990.974094,10685.02287
French Polynesia,,Papeete,,17.32S,149.34W,-17.32,-149.3,South,West,16194.96728,3723.229467,9877.268828,5915.615446,11360.90057,3929.336881,15523.29693,9209.112527,4997.791857,16447.5366,10164.91296,15018.01335,9426.790475,5807.520737,16194.96728
Gabon,,Libreville,16.87,00.25N,09.26E,0.25,9.26,North,East,7527.334088,6059.219306,3306.837045,5585.808509,4106.000009,7341.773566,6893.160224,2864.934178,5611.485265,8100.149353,2689.927916,6437.883998,3563.036956,3278.514477,7527.334088
Gambia,,Banjul,1.83,13.28N,16.40W,13.28,-16.4,North,West,8659.382349,4533.858587,2849.482804,3921.713337,4132.709309,5742.179159,7976.572296,2188.617644,3971.874654,9712.587106,2747.334768,7463.420685,2775.030179,2893.433201,8659.382349
Georgia,,T'bilisi,17.48,41.43N,44.50E,41.43,44.5,North,East,5210.31762,7989.188838,1856.103859,6561.834163,1043.181871,8900.183338,4486.216107,2311.219648,7057.317445,7806.525428,1179.099063,3916.968587,2527.087975,6528.559336,5210.31762
Germany,,Berlin,3861,52.30N,13.25E,52.3,13.25,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785
Ghana,,Accra,67.23,05.35N,00.06W,5.35,-0.06,North,West,7910.031782,5491.377936,3020.137658,4967.161993,4015.260288,6749.666377,7253.524372,2489.739004,5004.068073,8691.383116,2568.023923,6772.235236,3174.690047,3056.577938,7910.031782
Greece,,Athens,205,37.58N,23.46E,37.58,23.46,North,East,6345.328465,6810.891865,975.5308696,5434.583731,1447.592636,7740.653077,5626.014846,1191.790232,5894.536993,8541.551997,0,5065.428159,1597.437237,5536.760728,6345.328465
Greenland,,Nuuk,2.83,64.10N,51.35W,64.1,-51.35,North,West,10611.36846,4049.13012,3608.140013,1842.793819,4879.65907,4199.728076,9884.985371,3315.820222,2764.022882,12962.07155,4475.782655,9303.74004,2935.683131,6020.279909,10611.36846
Guadeloupe,,Basse-Terre,,16.00N,61.44W,16,-61.44,North,West,11063.16747,2068.056848,4562.162173,2176.802567,6041.860657,3342.017855,10366.33598,3889.942665,1752.197759,12109.86415,4868.820355,9834.320355,4145.842811,2864.1207,11063.16747
Guatemala,,Guatemala,77.02,14.40N,90.22W,14.4,-90.22,North,West,12636.49891,587.1720558,6026.13806,2290.133363,7519.207642,2044.235494,11938.036,5377.277959,1372.571263,13596.3332,6409.687944,11403.34737,5544.585621,3636.878499,12636.49891
Guernsey,,St. Peter Port,,49.26N,02.33W,49.26,-2.33,North,West,7808.532828,5676.172084,763.4076124,4007.311108,2208.22701,6415.114632,7082.280617,596.0285823,4606.514064,10157.79516,1622.451358,6506.326102,191.0321233,5456.189543,7808.532828
Guinea,,Conakry,13.51,09.29N,13.49W,9.29,-13.49,North,West,8557.421282,4724.056027,3009.90998,4210.893433,4224.914289,5969.064555,7884.183361,2374.209041,4223.054725,9472.905399,2807.227857,7382.486196,2994.14757,2750.001134,8557.421282
Guinea-Bissau,,Bissau,,11.45N,15.45W,11.45,-15.45,North,West,8631.915435,4598.488394,2930.383421,4036.714374,4186.680439,5824.948179,7953.216611,2278.886042,4066.476015,9621.954306,2786.420927,7444.996377,2879.300483,2812.756811,8631.915435
Guyana,,Georgetown,5.17,06.50N,58.12W,6.5,-58.12,North,West,10984.34752,2402.986421,4768.416086,2854.689418,6211.255037,3793.25171,10301.9847,4078.209655,2364.884148,11763.96078,4943.629178,9787.253936,4431.023988,2187.307618,10984.34752
Haiti,,Port-au-Prince,14.33,18.40N,72.20W,18.4,-72.2,North,West,11628.29942,1469.776931,5013.579143,1878.931278,6504.839848,2735.906801,10927.20055,4359.457308,1250.914654,12720.20132,5388.092942,10389.64219,4548.731818,3261.451918,11628.29942
Heard Island and McDonald Islands,,,,53.00S,74.00E,-53,74,South,East,7091.526671,10683.84981,7766.405805,10624.71147,7745.992415,12093.37998,6859.084748,7602.594127,10517.54405,4417.483517,6832.093526,6788.912017,8258.268396,6725.951524,7091.526671
Honduras,,Tegucigalpa,25.09,14.05N,87.14W,14.05,-87.14,North,West,12472.35214,743.4403263,5881.003253,2260.130458,7373.022858,2188.105976,11774.63736,5228.507109,1367.567736,13427.38483,6253.207328,11240.92197,5407.272235,3502.482297,12472.35214
Hungary,,Budapest,164,47.29N,19.05E,47.29,19.05,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595
Iceland,,Reykjavik,24.84,64.10N,21.57W,64.1,-21.57,North,West,9018.393459,5245.729781,2118.677261,3215.614734,3271.92983,5670.837692,8293.256423,2033.618074,4018.727677,11605.73176,3064.859153,7710.615495,1467.43064,6118.429833,9018.393459
India,,New Delhi,2870,28.37N,77.13E,28.37,77.13,North,East,3450.654954,9642.938962,3830.183598,8420.785316,2865.1176,10674.39927,2765.282337,4190.254101,8826.80147,5899.440123,2998.497325,2268.419035,4502.711561,7460.785766,3450.654954
Indonesia,,Jakarta,1119,06.09S,106.49E,-6.09,106.4,South,East,3406.248969,11355.18349,6387.855745,10554.00055,5678.433253,12574.16717,3189.364766,6566.579415,10773.73946,3108.08264,5439.40113,3194.294807,7035.269185,8248.577302,3406.248969
Iran (Islamic Republic of),,Tehran,,35.44N,51.30E,35.44,51.3,North,East,4823.938424,8287.941294,2339.062511,6961.793767,1576.846874,9257.380845,4107.946907,2713.733005,7409.591644,7254.599739,1527.219054,3554.869761,3011.220363,6543.354447,4823.938424
Iraq,,Baghdad,222,33.20N,44.30E,33.2,44.3,North,East,5208.921519,7889.006181,2062.594838,6599.699529,1581.451878,8874.877798,4497.070649,2368.695886,7026.576483,7449.209244,1177.31534,3950.115184,2726.503241,6148.013254,5208.921519
Ireland,,Dublin,399,53.21N,06.15W,53.21,-6.15,North,West,8052.048537,5591.358463,1029.328577,3827.483511,2380.123695,6261.276638,7325.311382,933.5597391,4477.958742,10484.38373,1943.408303,6746.474883,356.6840144,5627.79411,8052.048537
Israel,,Jerusalem,395,31.71N,35.10W,31.71,-35.1,North,West,9545.281424,3599.434447,2789.484197,2405.821572,4281.513384,4542.314516,8831.816724,2141.753037,2694.912581,11133.55699,3222.927642,8278.673099,2345.355354,3794.449952,9545.281424
