Event,Name,NOC,Pos.,Year,Discipline
"4 Ã 100 metres Medley Relay, Men",United States,USA,1,1996,Swimming
"4 Ã 100 metres Medley Relay, Men",Russian Federation,RUS,2,1996,Swimming
"4 Ã 100 metres Medley Relay, Men",Australia,AUS,3,1996,Swimming
"4 Ã 100 metres Medley Relay, Women",United States,USA,1,1996,Swimming
"4 Ã 100 metres Medley Relay, Women",Australia,AUS,2,1996,Swimming
"4 Ã 100 metres Medley Relay, Women",People's Republic of China,CHN,3,1996,Swimming
"4 Ã 200 metres Freestyle Relay, Men",United States,USA,1,1996,Swimming
"4 Ã 200 metres Freestyle Relay, Men",Sweden,SWE,2,1996,Swimming
"4 Ã 200 metres Freestyle Relay, Men",Germany,GER,3,1996,Swimming
"4 Ã 200 metres Freestyle Relay, Women",United States,USA,1,1996,Swimming
"4 Ã 200 metres Freestyle Relay, Women",Germany,GER,2,1996,Swimming
"4 Ã 200 metres Freestyle Relay, Women",Australia,AUS,3,1996,Swimming
"400 metres Freestyle, Men",Danyon Loader,NZL,1,1996,Swimming
"400 metres Freestyle, Men",Paul Palmer,GBR,2,1996,Swimming
"400 metres Freestyle, Men",Daniel Kowalski,AUS,3,1996,Swimming
"400 metres Freestyle, Women",Michelle Smith,IRL,1,1996,Swimming
"400 metres Freestyle, Women",Dagmar Hase,GER,2,1996,Swimming
"400 metres Freestyle, Women",Kirsten Vlieghuis,NED,3,1996,Swimming
"400 metres Individual Medley, Men",Tom Dolan,USA,1,1996,Swimming
"400 metres Individual Medley, Men",Eric Namesnik,USA,2,1996,Swimming
"400 metres Individual Medley, Men",Curtis Myden,CAN,3,1996,Swimming
"400 metres Individual Medley, Women",Michelle Smith,IRL,1,1996,Swimming
"400 metres Individual Medley, Women",Allison Wagner,USA,2,1996,Swimming
"400 metres Individual Medley, Women",Krisztina Egerszegi,HUN,3,1996,Swimming
"50 metres Freestyle, Men",Aleksandr Popov,RUS,1,1996,Swimming
"50 metres Freestyle, Men","Gary Hall, Jr.",USA,2,1996,Swimming
"50 metres Freestyle, Men",Xuxa Scherer,BRA,3,1996,Swimming
"50 metres Freestyle, Women",Amy Van Dyken,USA,1,1996,Swimming
"50 metres Freestyle, Women",Le Jingyi,CHN,2,1996,Swimming
"50 metres Freestyle, Women",Sandra VÃ¶lker,GER,3,1996,Swimming
"800 metres Freestyle, Women",Brooke Bennett,USA,1,1996,Swimming
"800 metres Freestyle, Women",Dagmar Hase,GER,2,1996,Swimming
"800 metres Freestyle, Women",Kirsten Vlieghuis,NED,3,1996,Swimming
"Doubles, Men",People's Republic of China 2,CHN,1,1996,Table Tennis
"Doubles, Men",People's Republic of China 1,CHN,2,1996,Table Tennis
"Doubles, Men",Republic of Korea 2,KOR,3,1996,Table Tennis
"Doubles, Women",People's Republic of China 1,CHN,1,1996,Table Tennis
"Doubles, Women",People's Republic of China 2,CHN,2,1996,Table Tennis
"Doubles, Women",Republic of Korea 1,KOR,3,1996,Table Tennis
"Singles, Men",Liu Guoliang,CHN,1,1996,Table Tennis
"Singles, Men",Wang Tao,CHN,2,1996,Table Tennis
"Singles, Men",JÃ¶rg RoÃkopf,GER,3,1996,Table Tennis
"Singles, Women",Deng Yaping,CHN,1,1996,Table Tennis
"Singles, Women",Chen Jing,TPE,2,1996,Table Tennis
"Singles, Women",Qiao Hong,CHN,3,1996,Table Tennis
"Doubles, Men",Australia,AUS,1,1996,Tennis
"Doubles, Men",Great Britain,GBR,2,1996,Tennis
"Doubles, Men",Germany,GER,3,1996,Tennis
"Doubles, Women",United States,USA,1,1996,Tennis
"Doubles, Women",Czech Republic,CZE,2,1996,Tennis
"Doubles, Women",Spain,ESP,3,1996,Tennis
"Singles, Men",Andre Agassi,USA,1,1996,Tennis
"Singles, Men",Sergi Bruguera,ESP,2,1996,Tennis
"Singles, Men",Leander Paes,IND,3,1996,Tennis
"Singles, Women",Lindsay Davenport,USA,1,1996,Tennis
"Singles, Women",Arantxa SÃ¡nchez Vicario,ESP,2,1996,Tennis
"Singles, Women",Jana NovotnÃ¡,CZE,3,1996,Tennis
"Volleyball, Men",Netherlands,NED,1,1996,Volleyball
"Volleyball, Men",Italy,ITA,2,1996,Volleyball
"Volleyball, Men",Yugoslavia,SCG,3,1996,Volleyball
"Volleyball, Women",Cuba,CUB,1,1996,Volleyball
"Volleyball, Women",People's Republic of China,CHN,2,1996,Volleyball
"Volleyball, Women",Brazil,BRA,3,1996,Volleyball
"Water Polo, Men",Spain,ESP,1,1996,Water Polo
"Water Polo, Men",Croatia,CRO,2,1996,Water Polo
"Water Polo, Men",Italy,ITA,3,1996,Water Polo
"Bantamweight, Men",Tang Lingsheng,CHN,1,1996,Weightlifting
"Bantamweight, Men",Leonidas Sabanis,GRE,2,1996,Weightlifting
"Bantamweight, Men",Nikolay Peshalov,BUL,3,1996,Weightlifting
"Featherweight, Men",Naim SÃ¼leymanoÄlu,TUR,1,1996,Weightlifting
"Featherweight, Men",Valerios Leonidis,GRE,2,1996,Weightlifting
"Featherweight, Men",Xiao Jiangang,CHN,3,1996,Weightlifting
"Flyweight, Men",Halil Mutlu,TUR,1,1996,Weightlifting
"Flyweight, Men",Zhang Xiangsen,CHN,2,1996,Weightlifting
"Flyweight, Men",Sevdalin Minchev,BUL,3,1996,Weightlifting
"Heavyweight I, Men",Akakios Kakiasvili,GRE,1,1996,Weightlifting
"Heavyweight I, Men",Anatoly Khrapaty,KAZ,2,1996,Weightlifting
"Heavyweight I, Men",Denys Hotfrid,UKR,3,1996,Weightlifting
"Heavyweight II, Men",Tymur Taimazov,UKR,1,1996,Weightlifting
"Heavyweight II, Men",Sergey Syrtsov,RUS,2,1996,Weightlifting
"Heavyweight II, Men",Nicu Vlad,ROU,3,1996,Weightlifting
"Light-Heavyweight, Men",Pyrros Dimas,GRE,1,1996,Weightlifting
"Light-Heavyweight, Men",Marc Huster,GER,2,1996,Weightlifting
"Light-Heavyweight, Men",Andrzej Cofalik,POL,3,1996,Weightlifting
"Lightweight, Men",Zhan Xugang,CHN,1,1996,Weightlifting
"Lightweight, Men",Kim Myong-Nam,PRK,2,1996,Weightlifting
"Lightweight, Men",Attila Feri,HUN,3,1996,Weightlifting
"Middle-Heavyweight, Men",Aleksey Petrov,RUS,1,1996,Weightlifting
"Middle-Heavyweight, Men",Leonidas Kokas,GRE,2,1996,Weightlifting
"Middle-Heavyweight, Men",Oliver Caruso,GER,3,1996,Weightlifting
"Middleweight, Men",Pablo Lara,CUB,1,1996,Weightlifting
"Middleweight, Men",Yoto Yotov,BUL,2,1996,Weightlifting
"Middleweight, Men",Chon Chol-Ho,PRK,3,1996,Weightlifting
"Super-Heavyweight, Men",Andrey Chemerkin,RUS,1,1996,Weightlifting
"Super-Heavyweight, Men",Ronny Weller,GER,2,1996,Weightlifting
"Super-Heavyweight, Men",Stefan Botev Khristov,AUS,3,1996,Weightlifting
"Bantamweight, Freestyle, Men",Kendall Cross,USA,1,1996,Wrestling
"Bantamweight, Freestyle, Men",Gia Sissaouri,CAN,2,1996,Wrestling
"Bantamweight, Freestyle, Men",Ri Yong-Sam,PRK,3,1996,Wrestling
"Bantamweight, Greco-Roman, Men",Yury Melnichenko,KAZ,1,1996,Wrestling
"Bantamweight, Greco-Roman, Men",Dennis Hall,USA,2,1996,Wrestling
"Bantamweight, Greco-Roman, Men",Sheng Zetian,CHN,3,1996,Wrestling
"Featherweight, Freestyle, Men",Tom Brands,USA,1,1996,Wrestling
"Featherweight, Freestyle, Men",Jang Jae-Seong,KOR,2,1996,Wrestling
"Featherweight, Freestyle, Men",Elbrus Tedieiev,UKR,3,1996,Wrestling
"Featherweight, Greco-Roman, Men",WÅodzimierz Zawadzki,POL,1,1996,Wrestling
"Featherweight, Greco-Roman, Men",Juan Luis MarÃ©n,CUB,2,1996,Wrestling
"Featherweight, Greco-Roman, Men",Mehmet Akif Pirim,TUR,3,1996,Wrestling
"Flyweight, Freestyle, Men",Valentin Yordanov,BUL,1,1996,Wrestling
"Flyweight, Freestyle, Men",Namiq Abdullayev,AZE,2,1996,Wrestling
"Flyweight, Freestyle, Men",Maulen Mamyrov,KAZ,3,1996,Wrestling
"Flyweight, Greco-Roman, Men",Armen Nazaryan,ARM,1,1996,Wrestling
"Flyweight, Greco-Roman, Men",Brandon Paulson,USA,2,1996,Wrestling
"Flyweight, Greco-Roman, Men",Andriy Kalashnykov,UKR,3,1996,Wrestling
"Heavyweight, Freestyle, Men",Kurt Angle,USA,1,1996,Wrestling
"Heavyweight, Freestyle, Men",Abbas Jadidi,IRI,2,1996,Wrestling
"Heavyweight, Freestyle, Men",Arawat Sabejew,GER,3,1996,Wrestling
"Heavyweight, Greco-Roman, Men",Andrzej WroÅski,POL,1,1996,Wrestling
"Heavyweight, Greco-Roman, Men",Siarhei Lishtvan,BLR,2,1996,Wrestling
"Heavyweight, Greco-Roman, Men",Mikael Ljungberg,SWE,3,1996,Wrestling
"Light-Flyweight, Freestyle, Men",Kim Il-Ong,PRK,1,1996,Wrestling
"Light-Flyweight, Freestyle, Men",Armen Mkrtchyan,ARM,2,1996,Wrestling
"Light-Flyweight, Freestyle, Men",Alexis Vila,CUB,3,1996,Wrestling
"Light-Flyweight, Greco-Roman, Men",Sim Gwon-Ho,KOR,1,1996,Wrestling
"Light-Flyweight, Greco-Roman, Men",Aliaksandr Paulau,BLR,2,1996,Wrestling
"Light-Flyweight, Greco-Roman, Men",Zafar Guliyev,RUS,3,1996,Wrestling
"Light-Heavyweight, Freestyle, Men",Rasoul Khadem Azgadhi,IRI,1,1996,Wrestling
"Light-Heavyweight, Freestyle, Men",Makharbek Khadartsev,RUS,2,1996,Wrestling
"Light-Heavyweight, Freestyle, Men",Eldar K'urt'anidze,GEO,3,1996,Wrestling
"Light-Heavyweight, Greco-Roman, Men",V'iacheslav Oliynyk,UKR,1,1996,Wrestling
"Light-Heavyweight, Greco-Roman, Men",Jacek FafiÅski,POL,2,1996,Wrestling
"Light-Heavyweight, Greco-Roman, Men",Maik Bullmann,GER,3,1996,Wrestling
"Lightweight, Freestyle, Men",Vadim Bogiyev,RUS,1,1996,Wrestling
"Lightweight, Freestyle, Men",Townsend Saunders,USA,2,1996,Wrestling
"Lightweight, Freestyle, Men",Zaza Zazirov,UKR,3,1996,Wrestling
"Lightweight, Greco-Roman, Men",Ryszard Wolny,POL,1,1996,Wrestling
"Lightweight, Greco-Roman, Men",Ghani Yalouz,FRA,2,1996,Wrestling
"Lightweight, Greco-Roman, Men",Aleksandr Tretyakov,RUS,3,1996,Wrestling
"Middleweight, Freestyle, Men",Khadzhimurat Magomedov,RUS,1,1996,Wrestling
"Middleweight, Freestyle, Men",Yang Hyeong-Mo,KOR,2,1996,Wrestling
"Middleweight, Freestyle, Men",Amir Reza Khadem Azgadhi,IRI,3,1996,Wrestling
"Middleweight, Greco-Roman, Men",Hamza Yerlikaya,TUR,1,1996,Wrestling
"Middleweight, Greco-Roman, Men",Thomas Zander,GER,2,1996,Wrestling
"Middleweight, Greco-Roman, Men",Valery Tsylents,BLR,3,1996,Wrestling
"Super-Heavyweight, Freestyle, Men",Mahmut Demir,TUR,1,1996,Wrestling
"Super-Heavyweight, Freestyle, Men",Aliaksei Miadzvedzeu,BLR,2,1996,Wrestling
"Super-Heavyweight, Freestyle, Men",Bruce Baumgartner,USA,3,1996,Wrestling
"Super-Heavyweight, Greco-Roman, Men",Aleksandr Karelin,RUS,1,1996,Wrestling
"Super-Heavyweight, Greco-Roman, Men",Matt Ghaffari,USA,2,1996,Wrestling
"Super-Heavyweight, Greco-Roman, Men",Sergei Mureico,MDA,3,1996,Wrestling
"Welterweight, Freestyle, Men",Buvaysar Saytiyev,RUS,1,1996,Wrestling
"Welterweight, Freestyle, Men",Park Jang-Sun,KOR,2,1996,Wrestling
"Welterweight, Freestyle, Men",Takuya Ota,JPN,3,1996,Wrestling
"Welterweight, Greco-Roman, Men",Filiberto Azcuy,CUB,1,1996,Wrestling
"Welterweight, Greco-Roman, Men",Marko Asell,FIN,2,1996,Wrestling
"Welterweight, Greco-Roman, Men",JÃ³zef Tracz,POL,3,1996,Wrestling
"Individual, Men",Simon Fairweather,AUS,1,2000,Archery
"Individual, Men",Vic Wunderle,USA,2,2000,Archery
"Individual, Men",Wietse van Alten,NED,3,2000,Archery
"Individual, Women",Yun Mi-Jin,KOR,1,2000,Archery
"Individual, Women",Kim Nam-Sun,KOR,2,2000,Archery
"Individual, Women",Kim Su-Nyeong,KOR,3,2000,Archery
"Team, Men",Republic of Korea,KOR,1,2000,Archery
"Team, Men",Italy,ITA,2,2000,Archery
"Team, Men",United States,USA,3,2000,Archery
"Team, Women",Republic of Korea,KOR,1,2000,Archery
"Team, Women",Ukraine,UKR,2,2000,Archery
"Team, Women",Germany,GER,3,2000,Archery
"Balance Beam, Women",Liu Xuan,CHN,1,2000,Artistic Gymnastics
"Balance Beam, Women",Yekaterina Lobaznyuk,RUS,2,2000,Artistic Gymnastics
"Balance Beam, Women",Yelena Produnova,RUS,3,2000,Artistic Gymnastics
"Floor Exercise, Men",Igors Vihrovs,LAT,1,2000,Artistic Gymnastics
"Floor Exercise, Men",Aleksey Nemov,RUS,2,2000,Artistic Gymnastics
"Floor Exercise, Men",Yordan Yovchev,BUL,3,2000,Artistic Gymnastics
"Floor Exercise, Women",Yelena Zamolodchikova,RUS,1,2000,Artistic Gymnastics
"Floor Exercise, Women",Svetlana Khorkina,RUS,2,2000,Artistic Gymnastics
"Floor Exercise, Women",Simona AmÃ¢nar,ROU,3,2000,Artistic Gymnastics
"Horizontal Bar, Men",Aleksey Nemov,RUS,1,2000,Artistic Gymnastics
"Horizontal Bar, Men",Benjamin Varonian,FRA,2,2000,Artistic Gymnastics
"Horizontal Bar, Men",Lee Ju-Hyeong,KOR,3,2000,Artistic Gymnastics
"Horse Vault, Men",Gervasio Deferr,ESP,1,2000,Artistic Gymnastics
"Horse Vault, Men",Aleksey Bondarenko,RUS,2,2000,Artistic Gymnastics
"Horse Vault, Men",Leszek Blanik,POL,3,2000,Artistic Gymnastics
"Horse Vault, Women",Yelena Zamolodchikova,RUS,1,2000,Artistic Gymnastics
"Horse Vault, Women",Andreea RÄducan,ROU,2,2000,Artistic Gymnastics
"Horse Vault, Women",Yekaterina Lobaznyuk,RUS,3,2000,Artistic Gymnastics
"Individual All-Around, Men",Aleksey Nemov,RUS,1,2000,Artistic Gymnastics
"Individual All-Around, Men",Yang Wei,CHN,2,2000,Artistic Gymnastics
"Individual All-Around, Men",Oleksandr Beresh,UKR,3,2000,Artistic Gymnastics
"Individual All-Around, Women",Simona AmÃ¢nar,ROU,1,2000,Artistic Gymnastics
"Individual All-Around, Women",Maria Olaru,ROU,2,2000,Artistic Gymnastics
"Individual All-Around, Women",Liu Xuan,CHN,3,2000,Artistic Gymnastics
"Parallel Bars, Men",Li Xiaopeng,CHN,1,2000,Artistic Gymnastics
"Parallel Bars, Men",Lee Ju-Hyeong,KOR,2,2000,Artistic Gymnastics
"Parallel Bars, Men",Aleksey Nemov,RUS,3,2000,Artistic Gymnastics
"Pommelled Horse, Men",Marius UrzicÄ,ROU,1,2000,Artistic Gymnastics
"Pommelled Horse, Men",Ãric Poujade,FRA,2,2000,Artistic Gymnastics
"Pommelled Horse, Men",Aleksey Nemov,RUS,3,2000,Artistic Gymnastics
"Rings, Men",Szilveszter CsollÃ¡ny,HUN,1,2000,Artistic Gymnastics
"Rings, Men",Dimosthenis Tambakos,GRE,2,2000,Artistic Gymnastics
"Rings, Men",Yordan Yovchev,BUL,3,2000,Artistic Gymnastics
"Team All-Around, Men",People's Republic of China,CHN,1,2000,Artistic Gymnastics
"Team All-Around, Men",Ukraine,UKR,2,2000,Artistic Gymnastics
"Team All-Around, Men",Russian Federation,RUS,3,2000,Artistic Gymnastics
"Team All-Around, Women",Romania,ROU,1,2000,Artistic Gymnastics
"Team All-Around, Women",Russian Federation,RUS,2,2000,Artistic Gymnastics
"Team All-Around, Women",United States,USA,3,2000,Artistic Gymnastics
"Uneven Bars, Women",Svetlana Khorkina,RUS,1,2000,Artistic Gymnastics
"Uneven Bars, Women",Ling Jie,CHN,2,2000,Artistic Gymnastics
"Uneven Bars, Women",Yang Yun,CHN,3,2000,Artistic Gymnastics
"Duet, Women",Russian Federation,RUS,1,2000,Artistic Swimming
"Duet, Women",Japan,JPN,2,2000,Artistic Swimming
"Duet, Women",France,FRA,3,2000,Artistic Swimming
"Team, Women",Russian Federation,RUS,1,2000,Artistic Swimming
"Team, Women",Japan,JPN,2,2000,Artistic Swimming
"Team, Women",Canada,CAN,3,2000,Artistic Swimming
"1,500 metres, Men ",Noah Ngeny,KEN ,1,2000,Athletics
"1,500 metres, Men ",Hicham El Guerrouj,MAR ,2,2000,Athletics
"1,500 metres, Men ",Bernard Lagat,KEN,3,2000,Athletics
"1,500 metres, Women ",Nouria M�rah-Benida,ALG ,1,2000,Athletics
"1,500 metres, Women ",Violeta Szekely,ROU ,2,2000,Athletics
"1,500 metres, Women ",Gabriela Szabo,ROU,3,2000,Athletics
"10,000 metres, Men ",Haile Gebrselassie,ETH ,1,2000,Athletics
"10,000 metres, Men ",Paul Tergat,KEN ,2,2000,Athletics
"10,000 metres, Men ",Assefa Mezgebu,ETH,3,2000,Athletics
"10,000 metres, Women ",Derartu Tulu,ETH ,1,2000,Athletics
"10,000 metres, Women ",Gete Wami,ETH ,2,2000,Athletics
"10,000 metres, Women ",Fernanda Ribeiro,POR,3,2000,Athletics
"100 metres Hurdles, Women ",Olga Shishigina,KAZ ,1,2000,Athletics
"100 metres Hurdles, Women ",Glory Alozie,NGR ,2,2000,Athletics
"100 metres Hurdles, Women ",Melissa Morrison,USA,3,2000,Athletics
"100 metres, Men ",Maurice Greene,USA ,1,2000,Athletics
"100 metres, Men ",Ato Boldon,TTO ,2,2000,Athletics
"100 metres, Men ",Obadele Thompson,BAR,3,2000,Athletics
"100 metres, Women ",,,1,2000,Athletics
"100 metres, Women ",Aikaterini Thanou,JAM ,2,2000,Athletics
"100 metres, Women ",Tayna Lawrence,GRE,2,2000,Athletics
"100 metres, Women ",0,0,1,2000,Athletics
"100 metres, Women ",Merlene Ottey,JAM,3,2000,Athletics
"100 metres, Women ",,,3,2000,Athletics
"110 metres Hurdles, Men ",Anier Garc�a,CUB ,1,2000,Athletics
"110 metres Hurdles, Men ",Terrence Trammell,USA ,2,2000,Athletics
"110 metres Hurdles, Men ",Mark Crear,USA,3,2000,Athletics
"20 kilometres Walk, Men ",Robert Korzeniowski,POL ,1,2000,Athletics
"20 kilometres Walk, Men ",No� Hern�ndez,MEX ,2,2000,Athletics
"20 kilometres Walk, Men ",Vladimir Andreyev,RUS,3,2000,Athletics
"20 kilometres Walk, Women ",Wang Liping,CHN ,1,2000,Athletics
"20 kilometres Walk, Women ",Kjersti Tysse-Pl�tzer,NOR ,2,2000,Athletics
"20 kilometres Walk, Women ",Mar�a Vasco,ESP,3,2000,Athletics
"200 metres, Men ",Kostas Kenteris,GRE ,1,2000,Athletics
"200 metres, Men ",Darren Campbell,GBR ,2,2000,Athletics
"200 metres, Men ",Ato Boldon,TTO,3,2000,Athletics
"200 metres, Women ",Pauline Davis-Thompson,BAH ,1,2000,Athletics
"200 metres, Women ",Susanthika Jayasinghe,SRI ,2,2000,Athletics
"200 metres, Women ",Beverly McDonald,JAM,3,2000,Athletics
"3,000 metres Steeplechase, Men ",Reuben Kosgei,KEN ,1,2000,Athletics
"3,000 metres Steeplechase, Men ",Wilson Boit Kipketer,KEN ,2,2000,Athletics
"3,000 metres Steeplechase, Men ",Ali Ezzine,MAR,3,2000,Athletics
"4 � 100 metres Relay, Men ",United States,USA ,1,2000,Athletics
"4 � 100 metres Relay, Men ",Brazil,BRA ,2,2000,Athletics
"4 � 100 metres Relay, Men ",Cuba,CUB,3,2000,Athletics
"4 � 100 metres Relay, Women ",The Bahamas,BAH ,1,2000,Athletics
"4 � 100 metres Relay, Women ",Jamaica,JAM ,2,2000,Athletics
"4 � 100 metres Relay, Women ",United States,USA,3,2000,Athletics
"4 � 400 metres Relay, Men ",Nigeria,NGR ,1,2000,Athletics
"4 � 400 metres Relay, Men ",Jamaica,JAM ,2,2000,Athletics
"4 � 400 metres Relay, Men ",The Bahamas,BAH,3,2000,Athletics
"4 � 400 metres Relay, Women ",United States,USA ,1,2000,Athletics
"4 � 400 metres Relay, Women ",Jamaica,JAM ,2,2000,Athletics
"4 � 400 metres Relay, Women ",Russian Federation,RUS,3,2000,Athletics
"400 metres Hurdles, Men ",Angelo Taylor,USA ,1,2000,Athletics
"400 metres Hurdles, Men ",Hadi Soua'an Al-Somaily,KSA ,2,2000,Athletics
"400 metres Hurdles, Men ",Llewellyn Herbert,RSA,3,2000,Athletics
"400 metres Hurdles, Women ",Irina Privalova,RUS ,1,2000,Athletics
"400 metres Hurdles, Women ",Deon Hemmings,JAM ,2,2000,Athletics
"400 metres Hurdles, Women ",Nezha Bidouane,MAR,3,2000,Athletics
"400 metres, Men ",Michael Johnson,USA ,1,2000,Athletics
"400 metres, Men ",Alvin Harrison,USA ,2,2000,Athletics
"400 metres, Men ",Greg Haughton,JAM,3,2000,Athletics
"400 metres, Women ",Cathy Freeman,AUS ,1,2000,Athletics
"400 metres, Women ",Lorraine Graham,JAM ,2,2000,Athletics
"400 metres, Women ",Katharine Merry,GBR,3,2000,Athletics
"5,000 metres, Men ",Million Wolde,ETH ,1,2000,Athletics
"5,000 metres, Men ",Ali Sa�di-Sief,ALG ,2,2000,Athletics
"5,000 metres, Men ",Brahim Lahlafi,MAR,3,2000,Athletics
"5,000 metres, Women ",Gabriela Szabo,ROU ,1,2000,Athletics
"5,000 metres, Women ",Sonia O'Sullivan,IRL ,2,2000,Athletics
"5,000 metres, Women ",Gete Wami,ETH,3,2000,Athletics
"50 kilometres Walk, Men ",Robert Korzeniowski,POL ,1,2000,Athletics
"50 kilometres Walk, Men ",Aigars Fadejevs,LAT ,2,2000,Athletics
"50 kilometres Walk, Men ",Joel S�nchez,MEX,3,2000,Athletics
"800 metres, Men ",Nils Schumann,GER ,1,2000,Athletics
"800 metres, Men ",Wilson Kipketer,DEN ,2,2000,Athletics
"800 metres, Men ",Djabir Sa�d-Guerni,ALG,3,2000,Athletics
"800 metres, Women ",Maria Mutola,MOZ ,1,2000,Athletics
"800 metres, Women ",Steffi Graf,AUT ,2,2000,Athletics
"800 metres, Women ",Kelly Holmes,GBR,3,2000,Athletics
"Decathlon, Men ",Erki Nool,EST ,1,2000,Athletics
"Decathlon, Men ",Roman �ebrle,CZE ,2,2000,Athletics
"Decathlon, Men ",Chris Huffins,USA,3,2000,Athletics
"Discus Throw, Men ",Virgilijus Alekna,LTU ,1,2000,Athletics
"Discus Throw, Men ",Lars Riedel,GER ,2,2000,Athletics
"Discus Throw, Men ",Frantz Kruger,RSA,3,2000,Athletics
"Discus Throw, Women ",Elina Zverava,BLR ,1,2000,Athletics
"Discus Throw, Women ",Anastasia Kelesidou,GRE ,2,2000,Athletics
"Discus Throw, Women ",Iryna Yatchanka,BLR,3,2000,Athletics
"Hammer Throw, Men ",Szymon Zi�lkowski,POL ,1,2000,Athletics
"Hammer Throw, Men ",Nicola Vizzoni,ITA ,2,2000,Athletics
"Hammer Throw, Men ",Ihar Astapkovich,BLR,3,2000,Athletics
"Hammer Throw, Women ",Kamila Skolimowska,POL ,1,2000,Athletics
"Hammer Throw, Women ",Olga Kuzenkova,RUS ,2,2000,Athletics
"Hammer Throw, Women ",Kirsten M�nchow,GER,3,2000,Athletics
"Heptathlon, Women ",Denise Lewis,GBR ,1,2000,Athletics
"Heptathlon, Women ",Yelena Prokhorova,RUS ,2,2000,Athletics
"Heptathlon, Women ",Natasha Sazanovich,BLR,3,2000,Athletics
"High Jump, Men ",Sergey Klyugin,RUS ,1,2000,Athletics
"High Jump, Men ",Javier Sotomayor,CUB ,2,2000,Athletics
"High Jump, Men ",Abderrahmane Hammad,ALG,3,2000,Athletics
"High Jump, Women ",Yelena Yelesina,RUS ,1,2000,Athletics
"High Jump, Women ",,,1,2000,Athletics
"High Jump, Women ",Hestrie Storbeck-Cloete,RSA ,2,2000,Athletics
"High Jump, Women ",,,2,2000,Athletics
"High Jump, Women ",Oana Mu?unoi-Pantelimon,ROU,3,2000,Athletics
"High Jump, Women ",Kajsa Bergqvist,SWE,3,2000,Athletics
"Javelin Throw, Men ",Jan �elezn�,CZE ,1,2000,Athletics
"Javelin Throw, Men ",Steve Backley,GBR ,2,2000,Athletics
"Javelin Throw, Men ",Sergey Makarov,RUS,3,2000,Athletics
"Javelin Throw, Women ",Trine Hattestad,NOR ,1,2000,Athletics
"Javelin Throw, Women ",Mirela Maniani-Tzelili,GRE ,2,2000,Athletics
"Javelin Throw, Women ",Osleidys Men�ndez,CUB,3,2000,Athletics
"Long Jump, Men ",Iv�n Pedroso,CUB ,1,2000,Athletics
"Long Jump, Men ",Jai Taurima,AUS ,2,2000,Athletics
"Long Jump, Men ",Roman Shchurenko,UKR,3,2000,Athletics
"Long Jump, Women ",Heike Drechsler,GER ,1,2000,Athletics
"Long Jump, Women ",Fiona May,ITA ,2,2000,Athletics
"Long Jump, Women ",Tatyana Kotova,RUS,3,2000,Athletics
"Marathon, Men ",Gezahgne Abera,ETH ,1,2000,Athletics
"Marathon, Men ",Eric Wainaina,KEN ,2,2000,Athletics
"Marathon, Men ",Tesfaye Tola,ETH,3,2000,Athletics
"Marathon, Women ",Naoko Takahashi,JPN ,1,2000,Athletics
"Marathon, Women ",Lidia ?imon,ROU ,2,2000,Athletics
"Marathon, Women ",Joyce Chepchumba,KEN,3,2000,Athletics
"Pole Vault, Men ",Nick Hysong,USA ,1,2000,Athletics
"Pole Vault, Men ",Lawrence Johnson,USA ,2,2000,Athletics
"Pole Vault, Men ",Maksim Tarasov,RUS,3,2000,Athletics
"Pole Vault, Women ",Stacy Dragila,USA ,1,2000,Athletics
"Pole Vault, Women ",Tatiana Grigorieva,AUS ,2,2000,Athletics
"Pole Vault, Women ",Vala Flosad�ttir,ISL,3,2000,Athletics
"Shot Put, Men ",Arsi Harju,FIN ,1,2000,Athletics
"Shot Put, Men ",Adam Nelson,USA ,2,2000,Athletics
"Shot Put, Men ",John Godina,USA,3,2000,Athletics
"Shot Put, Women ",Yanina Karolchyk,BLR ,1,2000,Athletics
"Shot Put, Women ",Larisa Peleshenko,RUS ,2,2000,Athletics
"Shot Put, Women ",Astrid Kumbernuss,GER,3,2000,Athletics
"Triple Jump, Men ",Jonathan Edwards,GBR ,1,2000,Athletics
"Triple Jump, Men ",Yoel Garc�a,CUB ,2,2000,Athletics
"Triple Jump, Men ",Denis Kapustin,RUS,3,2000,Athletics
"Triple Jump, Women ",Tereza Marinova,BUL ,1,2000,Athletics
"Triple Jump, Women ",Tatyana Lebedeva,RUS ,2,2000,Athletics
"Triple Jump, Women ",Olena Hovorova,UKR,3,2000,Athletics
"Doubles, Men",Indonesia,INA,1,2000,Badminton
"Doubles, Men",Republic of Korea 1,KOR,2,2000,Badminton
"Doubles, Men",Republic of Korea 2,KOR,3,2000,Badminton
"Doubles, Mixed",People's Republic of China 2,CHN,1,2000,Badminton
"Doubles, Mixed",Indonesia 1,INA,2,2000,Badminton
"Doubles, Mixed",Great Britain 2,GBR,3,2000,Badminton
"Doubles, Women",People's Republic of China 2,CHN,1,2000,Badminton
"Doubles, Women",People's Republic of China,CHN,2,2000,Badminton
"Doubles, Women",People's Republic of China 1,CHN,3,2000,Badminton
"Singles, Men",Ji Xinpeng,CHN,1,2000,Badminton
"Singles, Men",Hendrawan,INA,2,2000,Badminton
"Singles, Men",Xia Xuanze,CHN,3,2000,Badminton
"Singles, Women",Gong Zhichao,CHN,1,2000,Badminton
"Singles, Women",Camilla Martin,DEN,2,2000,Badminton
