Country,Capital,GDP (Billions),Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Year,Value
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,1995.0,21470.186
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,1996.0,22941.763
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,1997.0,25265.839
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,1998.0,27550.7
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,1999.0,27562.049
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2000.0,29569.578999999998
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2001.0,32765.022
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2002.0,36085.818999999996
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2003.0,41171.201
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2004.0,43968.09
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2005.0,48211.647000000004
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2006.0,53828.551
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2007.0,61625.453
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2008.0,66270.65299999999
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2009.0,57343.818
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2010.0,62292.855
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2011.0,69297.819
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2012.0,73809.042
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2013.0,79034.188
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2014.0,82647.295
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2015.0,83761.504
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2016.0,88700.479
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2017.0,95492.278
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2018.0,101826.049
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2019.0,108314.8
Lithuania,Vilnius,54.64,North,East,6381.32622,7207.311548999999,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874000001,1543.745159,6150.070693,9188.192856,1163.0421119999999,5073.410437,1393.769299,6509.395014,6381.32622,2020.0,108252.04800000001
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1970.0,1840.8529999999998
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1971.0,1985.757
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1972.0,2208.285
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1973.0,2522.923
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1974.0,2865.7940000000003
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1975.0,2925.4759999999997
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1976.0,3164.698
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1977.0,3414.097
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1978.0,3803.1490000000003
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1979.0,4215.288
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1980.0,4634.704000000001
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1981.0,5045.298
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1982.0,5417.611
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1983.0,5798.085999999999
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1984.0,6378.93
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1985.0,6764.3730000000005
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1986.0,7589.552
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1987.0,8084.478
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1988.0,9078.001
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1989.0,10358.226999999999
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1990.0,11317.649
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1991.0,12711.787
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1992.0,13238.059
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1993.0,14120.965
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1994.0,14973.573999999999
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1995.0,16182.056
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1996.0,17105.366
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1997.0,17967.424
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1998.0,18854.742
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,1999.0,21794.066000000003
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2000.0,24155.879
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2001.0,24679.32
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2002.0,26222.382
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2003.0,27117.641
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2004.0,29344.122000000003
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2005.0,31733.102000000003
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2006.0,36831.649
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2007.0,40300.663
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2008.0,42362.96400000001
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2009.0,40978.43
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2010.0,43438.662000000004
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2011.0,47690.505999999994
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2012.0,48646.452000000005
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2013.0,51940.087
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2014.0,56353.755
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2015.0,59081.017
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2016.0,64406.168
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2017.0,66973.383
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2018.0,70914.212
Luxembourg,Luxembourg,71.1,North,East,7353.301012000001,6109.005213,311.5371204,4466.625124,1757.5976829999997,6870.228313,6626.8399899999995,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.27417189999994,5666.329272999999,7353.301012000001,2019.0,74996.716
