Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
Russia,RUS,80,69,46,195,1980,Moscow,RUS,,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0.0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872,139010000.0,67.03390244
Poland,POL,3,14,15,32,1980,Moscow,RUS,,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455,35574150.0,70.09756098
Romania,ROU,6,6,13,25,1980,Moscow,RUS,,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396,22207282.0,69.09097561
Tanzania,TZA,0,2,0,2,1980,Moscow,RUS,,South,East,6377.386497,7550.67454,3961.694574,7029.276866,4246.837248,8836.51689,5803.242116,3745.697597,7096.991741,6604.961339,3082.850809,5417.721241,4411.941679,4446.955049,6377.386497,18538263.0,50.288
Hungary,HUN,7,10,15,32,1980,Moscow,RUS,,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595,10711122.0,69.06170732
Ethiopia,ETH,2,0,2,4,1980,Moscow,RUS,,North,East,5825.236731,7541.375715,3071.432443,6713.587097,3204.202646,8726.251177,5190.225418,2984.306758,6919.135525,6832.509437,2133.215973,4740.553289,3598.175808,4969.84163,5825.236731,35141703.0,43.747
Czech Republic,CZE,2,3,9,14,1980,Moscow,RUS,,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139,10304193.0,70.27804878
North Korea,PRK,0,3,2,5,1980,Moscow,RUS,,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882,17472144.0,66.186
Yugoslavia,YUG,2,3,4,9,1980,Moscow,RUS,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,0,2,2,4,1980,Moscow,RUS,,,,,,,,,,,,,,,,,,,1689622.0,56.936
