Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games,Total Competitors,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
Spain,ESP,0,4,0,2,1976,Montreal,CAN,118.507,North,West,36137812,73.64268293,4676.218313,113,2,0.017699115,103,1,0.009708738,10,0,0,0,0
Finland,FIN,12,4,0,6,1976,Montreal,CAN,31.84951377,North,East,4725664,71.81292683,4940.610108,83,6,0.072289157,77,6,0.077922078,6,0,0,0,0
France,FRA,6,6,4,9,1976,Montreal,CAN,372.319,North,East,54220033,73.10243902,4657.586983,206,9,0.04368932,177,7,0.039548023,29,1,0.034482759,1,0.004854369
United Kingdom,GBR,9,10,5,13,1976,Montreal,CAN,232.615,North,West,56211968,72.77560976,4727.145661,242,13,0.053719008,176,11,0.0625,66,0,0,0,0
Iran,IRN,0,2,1,2,1976,Montreal,CAN,68.05529508,North,East,33733975,55.744,4946.229137,84,2,0.023809524,80,2,0.025,4,0,0,0,0
Italy,ITA,6,14,4,13,1976,Montreal,CAN,224.717,North,East,55718260,72.99195122,4550.870026,210,13,0.061904762,183,9,0.049180328,27,2,0.074074074,2,0.00952381
Jamaica,JAM,3,2,0,2,1976,Montreal,CAN,2.96601023,North,West,2055371,69.718,6373.497473,20,2,0.1,11,2,0.181818182,9,0,0,0,0
Japan,JPN,27,12,10,25,1976,Montreal,CAN,586.162,North,East,112775000,75.45682927,6878.392656,213,25,0.117370892,153,24,0.156862745,60,1,0.016666667,0,0
South Korea,KOR,3,2,4,6,1976,Montreal,CAN,29.90247934,North,East,35848523,64.50243902,6422.407919,50,6,0.12,38,5,0.131578947,12,1,0.083333333,0,0
Mexico,MEX,3,0,1,2,1976,Montreal,CAN,89.02597403,North,West,61242189,64.467,7089.643002,97,2,0.020618557,92,2,0.02173913,5,0,0,0,0
Netherlands,NLD,0,4,3,5,1976,Montreal,CAN,109.169,North,East,13774037,74.64707317,4712.2653,108,5,0.046296296,72,2,0.027777778,36,2,0.055555556,1,0.009259259
Norway,NOR,3,2,0,2,1976,Montreal,CAN,35.94227069,North,East,4026152,75.0395122,4905.527072,66,2,0.03030303,60,2,0.033333333,6,0,0,0,0
New Zealand,NZL,6,2,1,4,1976,Montreal,CAN,13.60483242,South,East,3110500,72.42195122,10162.12167,80,4,0.05,71,4,0.056338028,9,0,0,0,0
Pakistan,PAK,0,0,1,1,1976,Montreal,CAN,13.16808081,North,East,68834324,55.421,5320.200653,24,1,0.041666667,24,1,0.041666667,0,0,0,0,0
Puerto Rico,PRI,0,0,1,1,1976,Montreal,CAN,8.9686,North,West,3043854,73.19082927,6087.802239,80,1,0.0125,73,1,0.01369863,7,0,0,0,0
Portugal,PRT,0,4,0,2,1976,Montreal,CAN,20.33283157,North,West,9355810,68.86097561,4772.6015,19,2,0.105263158,19,1,0.052631579,0,0,0,0,0
Sweden,SWE,12,2,0,5,1976,Montreal,CAN,89.36207167,North,East,8222286,74.96926829,4888.823928,116,5,0.043103448,99,3,0.03030303,17,1,0.058823529,1,0.00862069
Thailand,THA,0,0,1,1,1976,Montreal,CAN,16.98521115,North,East,43377270,62.495,6073.180027,42,1,0.023809524,39,1,0.025641026,3,0,0,0,0
United States,USA,102,70,25,94,1976,Montreal,CAN,1873.41,North,West,218035000,72.85609756,6262.408512,396,94,0.237373737,278,67,0.241007194,118,17,0.144067797,10,0.025252525
Venezuela,VEN,0,2,0,1,1976,Montreal,CAN,31.41953488,North,West,13572210,67.42,6249.581149,32,1,0.03125,23,1,0.043478261,9,0,0,0,0
Australia,AUS,6,4,5,9,1980,Moscow,RUS,149.776,South,East,14692000,74.33365854,8930.279555,120,9,0.075,92,7,0.076086957,28,2,0.071428571,0,0
Belgium,BEL,3,0,0,1,1980,Moscow,RUS,126.829,North,East,9859242,73.20707317,4675.567093,59,1,0.016949153,43,1,0.023255814,16,0,0,0,0
Bulgaria,BGR,24,32,17,41,1980,Moscow,RUS,19.83923077,North,East,8861535,71.15756098,4584.094277,271,41,0.151291513,183,31,0.169398907,88,7,0.079545455,3,0.011070111
Brazil,BRA,6,0,2,4,1980,Moscow,RUS,235.025,South,West,120694012,62.63,6524.317219,106,4,0.037735849,91,2,0.021978022,15,0,0,0,0
Switzerland,CHE,6,0,0,2,1980,Moscow,RUS,122.661,North,East,6319408,75.45926829,4591.695619,73,2,0.02739726,67,2,0.029850746,6,0,0,0,0
Cuba,CUB,24,14,5,20,1980,Moscow,RUS,19.91288986,North,West,9849457,73.794,6467.743547,208,20,0.096153846,175,18,0.102857143,33,1,0.03030303,1,0.004807692
Germany,DEU,141,74,42,126,1980,Moscow,RUS,950.291,North,East,78288576,72.67790244,4684.012143,346,126,0.36416185,222,59,0.265765766,124,60,0.483870968,7,0.020231214
Denmark,DNK,6,2,2,5,1980,Moscow,RUS,71.1275287,North,East,5123027,74.10170732,4769.836091,99,5,0.050505051,91,1,0.010989011,8,1,0.125,3,0.03030303
Spain,ESP,3,6,2,6,1980,Moscow,RUS,232.767,North,West,37491165,75.34926829,4676.218313,155,6,0.038709677,146,5,0.034246575,9,0,0,0,0
Finland,FIN,9,2,4,8,1980,Moscow,RUS,53.64520242,North,East,4779535,73.44,4940.610108,105,8,0.076190476,99,5,0.050505051,6,1,0.166666667,2,0.019047619
