Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games,Total Competitors,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
Netherlands,NLD,6,4,5,9,1988,Seoul,KOR,261.911,North,East,14760094,76.8902439,4712.2653,147,9,0.06122449,93,5,0.053763441,54,4,0.074074074,0,0
Norway,NOR,6,6,0,5,1988,Seoul,KOR,101.9,North,East,4209488,76.2204878,4905.527072,69,5,0.072463768,44,3,0.068181818,25,1,0.04,1,0.014492754
New Zealand,NZL,9,4,8,13,1988,Seoul,KOR,45.17681159,South,East,3283400,74.42439024,10162.12167,83,13,0.156626506,67,7,0.104477612,16,1,0.0625,5,0.060240964
Pakistan,PAK,0,0,1,1,1988,Seoul,KOR,38.47274281,North,East,101389603,59.493,5320.200653,30,1,0.033333333,30,1,0.033333333,0,0,0,0,0
Peru,PER,0,2,0,1,1988,Seoul,KOR,15.43940845,South,West,21153462,64.949,7182.341677,21,1,0.047619048,7,0,0,14,1,0.071428571,0,0
Philippines,PHL,0,0,1,1,1988,Seoul,KOR,37.88544042,North,East,58794999,65.534,6570.342239,31,1,0.032258065,26,1,0.038461538,5,0,0,0,0
Portugal,PRT,3,0,0,1,1988,Seoul,KOR,56.3472507,North,West,10019610,73.71463415,4772.6015,65,1,0.015384615,55,0,0,10,1,0.1,0,0
Romania,ROU,21,22,6,24,1988,Seoul,KOR,40.80952381,North,East,23057662,69.38804878,4620.226079,68,24,0.352941176,32,7,0.21875,36,17,0.472222222,0,0
Russia,RUS,165,62,46,132,1988,Seoul,KOR,554.713,North,East,146857000,69.46439024,4889.668522,481,132,0.274428274,319,95,0.297805643,162,36,0.222222222,1,0.002079002
Senegal,SEN,0,2,0,1,1988,Seoul,KOR,6.418419798,North,West,7086624,56.283,5203.302467,23,1,0.043478261,22,1,0.045454545,1,0,0,0,0
Suriname,SUR,3,0,0,1,1988,Seoul,KOR,1.161,North,West,388877,67.233,6076.477344,6,1,0.166666667,4,1,0.25,2,0,0,0,0
Sweden,SWE,0,8,7,11,1988,Seoul,KOR,206.987,North,East,8436489,76.97926829,4888.823928,185,11,0.059459459,148,10,0.067567568,37,1,0.027027027,0,0
Thailand,THA,0,0,1,1,1988,Seoul,KOR,61.66719984,North,East,54891520,69.745,6073.180027,14,1,0.071428571,12,1,0.083333333,2,0,0,0,0
Turkey,TUR,3,2,0,2,1988,Seoul,KOR,90.85281401,North,East,52053764,63.266,4669.026362,41,2,0.048780488,36,2,0.055555556,5,0,0,0,0
United States,USA,108,62,27,94,1988,Seoul,KOR,5236.44,North,West,244499000,74.76585366,6262.408512,527,94,0.178368121,332,60,0.180722892,195,29,0.148717949,5,0.009487666
Argentina,ARG,0,0,1,1,1992,Barcelona,ESP,228.789,South,West,33529320,72.032,7691.760326,84,1,0.011904762,67,1,0.014925373,17,0,0,0,0
Australia,AUS,21,18,11,27,1992,Barcelona,ESP,324.884,South,East,17495000,77.37804878,8930.279555,279,27,0.096774194,187,14,0.07486631,92,10,0.108695652,3,0.010752688
Austria,AUT,0,4,0,2,1992,Barcelona,ESP,195.078,North,East,7840709,75.81707317,4604.985842,102,2,0.019607843,71,1,0.014084507,31,0,0,0,0
Belgium,BEL,0,2,2,3,1992,Barcelona,ESP,234.782,North,East,10045158,76.35121951,4675.567093,68,3,0.044117647,43,1,0.023255814,25,2,0.08,0,0
Bulgaria,BGR,9,14,6,16,1992,Barcelona,ESP,10.35051546,North,East,8540164,71.49439024,4584.094277,138,16,0.115942029,87,11,0.126436782,51,5,0.098039216,0,0
Bahamas,BHS,0,0,1,1,1992,Barcelona,ESP,3.109,North,West,266028,70.807,6296.326029,14,1,0.071428571,12,1,0.083333333,2,0,0,0,0
Brazil,BRA,6,2,0,3,1992,Barcelona,ESP,400.599,South,West,154259382,67.141,6524.317219,182,3,0.016483516,132,3,0.022727273,50,0,0,0,0
Canada,CAN,21,8,7,18,1992,Barcelona,ESP,592.388,North,West,28371264,77.72439024,6264.481855,295,18,0.061016949,179,10,0.055865922,116,7,0.060344828,1,0.003389831
Switzerland,CHE,3,0,0,1,1992,Barcelona,ESP,280.157,North,East,6875364,77.80609756,4591.695619,102,1,0.009803922,73,1,0.01369863,29,0,0,0,0
China,CHN,48,44,16,54,1992,Barcelona,ESP,426.916,North,East,1164970000,69.355,6152.34114,244,54,0.221311475,117,19,0.162393162,127,34,0.267716535,1,0.004098361
Colombia,COL,0,0,1,1,1992,Barcelona,ESP,58.41898544,North,West,34422568,70.161,6596.774323,49,1,0.020408163,46,0,0,3,1,0.333333333,0,0
Cuba,CUB,42,12,11,31,1992,Barcelona,ESP,22.08585824,North,West,10736386,74.801,6467.743547,176,31,0.176136364,126,23,0.182539683,50,8,0.16,0,0
Czech Republic,CZE,12,4,1,7,1992,Barcelona,ESP,34.80501323,North,East,10319123,72.27170732,4632.77991,208,7,0.033653846,146,6,0.04109589,62,0,0,0,0
Germany,DEU,99,42,28,82,1992,Barcelona,ESP,2131.57,North,East,80624598,75.8195122,4684.012143,463,82,0.177105832,300,45,0.15,163,30,0.18404908,7,0.01511879
Denmark,DNK,3,2,4,6,1992,Barcelona,ESP,152.916,North,East,5171370,75.19414634,4769.836091,119,6,0.050420168,86,4,0.046511628,33,0,0,0,0
Algeria,DZA,3,0,1,2,1992,Barcelona,ESP,48.00307839,North,East,27028330,67.575,4616.552558,35,2,0.057142857,33,1,0.03030303,2,1,0.5,0,0
Spain,ESP,39,14,2,22,1992,Barcelona,ESP,630.916,North,West,39157685,77.41,4676.218313,422,22,0.052132701,297,13,0.043771044,125,8,0.064,1,0.002369668
Ethiopia,ETH,3,0,2,3,1992,Barcelona,ESP,10.49299308,North,East,51423591,47.911,5218.352425,40,3,0.075,28,2,0.071428571,12,1,0.083333333,0,0
Finland,FIN,3,4,2,5,1992,Barcelona,ESP,112.533,North,East,5041992,75.45536585,4940.610108,88,5,0.056818182,60,5,0.083333333,28,0,0,0,0
France,FRA,24,10,16,29,1992,Barcelona,ESP,1401.47,North,East,58851216,77.1,4657.586983,339,29,0.085545723,241,20,0.082987552,98,7,0.071428571,2,0.005899705
United Kingdom,GBR,15,6,12,20,1992,Barcelona,ESP,1179.66,North,West,57580402,76.43414634,4727.145661,371,20,0.053908356,229,13,0.056768559,142,6,0.042253521,1,0.002695418
Ghana,GHA,0,0,1,1,1992,Barcelona,ESP,6.413901602,North,West,15653345,57.462,5271.593968,34,1,0.029411765,32,1,0.03125,2,0,0,0,0
Greece,GRC,6,0,0,2,1992,Barcelona,ESP,116.225,North,East,10399061,77.38292683,4570.22862,70,2,0.028571429,56,1,0.017857143,14,1,0.071428571,0,0
Hungary,HUN,33,24,7,30,1992,Barcelona,ESP,38.73058592,North,East,10369341,69.11707317,4606.226091,217,30,0.138248848,159,21,0.132075472,58,9,0.155172414,0,0
Indonesia,IDN,6,4,1,5,1992,Barcelona,ESP,128.027,South,East,187739786,63.131,6727.82979,42,5,0.119047619,27,4,0.148148148,15,1,0.066666667,0,0
Ireland,IRL,3,2,0,2,1992,Barcelona,ESP,55.92730269,North,West,3558430,75.18095122,4872.616191,58,2,0.034482759,49,2,0.040816327,9,0,0,0,0
Italy,ITA,18,10,8,19,1992,Barcelona,ESP,1320.16,North,East,56797087,77.4195122,4550.870026,304,19,0.0625,228,14,0.061403509,76,3,0.039473684,2,0.006578947
Jamaica,JAM,0,6,1,4,1992,Barcelona,ESP,3.53546009,North,West,2461047,73.727,6373.497473,36,4,0.111111111,22,1,0.045454545,14,3,0.214285714,0,0
Japan,JPN,9,16,11,22,1992,Barcelona,ESP,3908.81,North,East,124425000,79.15390244,6878.392656,256,22,0.0859375,175,12,0.068571429,81,9,0.111111111,1,0.00390625
Kenya,KEN,6,8,2,8,1992,Barcelona,ESP,8.209129172,South,East,25326080,55.973,5507.264521,49,8,0.163265306,40,8,0.2,9,0,0,0,0
South Korea,KOR,36,10,12,29,1992,Barcelona,ESP,355.525,North,East,43747962,72.49756098,6422.407919,226,29,0.128318584,154,18,0.116883117,72,11,0.152777778,0,0
Mexico,MEX,0,2,0,1,1992,Barcelona,ESP,363.158,North,West,87075136,71.61,7089.643002,102,1,0.009803922,76,1,0.013157895,26,0,0,0,0
Malaysia,MYS,0,0,1,1,1992,Barcelona,ESP,59.16755016,North,East,19002660,71.326,6345.21237,26,1,0.038461538,26,1,0.038461538,0,0,0,0,0
Namibia,NAM,0,4,0,2,1992,Barcelona,ESP,3.429538518,South,East,1516951,61.165,6234.273931,6,2,0.333333333,5,2,0.4,1,0,0,0,0
Nigeria,NGA,0,6,1,4,1992,Barcelona,ESP,47.79492582,North,East,100161708,45.857,5132.154627,55,4,0.072727273,32,3,0.09375,23,1,0.043478261,0,0
Netherlands,NLD,6,12,7,15,1992,Barcelona,ESP,362.963,North,East,15184166,77.21707317,4712.2653,201,15,0.074626866,117,7,0.05982906,84,5,0.05952381,3,0.014925373
Norway,NOR,6,8,1,7,1992,Barcelona,ESP,130.838,North,East,4286401,77.18439024,4905.527072,83,7,0.084337349,51,5,0.098039216,32,2,0.0625,0,0
New Zealand,NZL,3,8,5,10,1992,Barcelona,ESP,41.64982986,South,East,3531700,76.12439024,10162.12167,134,10,0.074626866,92,4,0.043478261,42,3,0.071428571,3,0.02238806
Pakistan,PAK,0,0,1,1,1992,Barcelona,ESP,48.88460685,North,East,113911126,60.68,5320.200653,27,1,0.037037037,27,1,0.037037037,0,0,0,0,0
Philippines,PHL,0,0,1,1,1992,Barcelona,ESP,52.97634493,North,East,65020124,67.239,6570.342239,26,1,0.038461538,24,1,0.041666667,2,0,0,0,0
Poland,POL,9,12,10,19,1992,Barcelona,ESP,94.33705069,North,East,38363667,71.0902439,4703.42606,201,19,0.094527363,149,17,0.11409396,52,2,0.038461538,0,0
Puerto Rico,PRI,0,0,1,1,1992,Barcelona,ESP,34.63043,North,West,3585176,73.94636585,6087.802239,71,1,0.014084507,65,1,0.015384615,6,0,0,0,0
Qatar,QAT,0,0,1,1,1992,Barcelona,ESP,7.646153984,North,East,495403,76.241,5031.895297,28,1,0.035714286,28,1,0.035714286,0,0,0,0,0
Romania,ROU,12,12,8,18,1992,Barcelona,ESP,25.12166667,North,East,22794284,69.78439024,4620.226079,173,18,0.104046243,105,7,0.066666667,68,11,0.161764706,0,0
Suriname,SUR,0,0,1,1,1992,Barcelona,ESP,0.4046,North,West,420658,67.59,6076.477344,6,1,0.166666667,5,1,0.2,1,0,0,0,0
Sweden,SWE,3,14,4,12,1992,Barcelona,ESP,284.321,North,East,8668067,77.99878049,4888.823928,187,12,0.064171123,143,10,0.06993007,44,2,0.045454545,0,0
Thailand,THA,0,0,1,1,1992,Barcelona,ESP,111.453,North,East,57811025,70.281,6073.180027,46,1,0.02173913,23,1,0.043478261,23,0,0,0,0
Turkey,TUR,6,4,2,6,1992,Barcelona,ESP,158.459,North,East,55748946,65.275,4669.026362,41,6,0.146341463,36,5,0.138888889,5,1,0.2,0,0
United States,USA,111,68,37,108,1992,Barcelona,ESP,6520.33,North,West,256514000,75.61707317,6262.408512,545,108,0.198165138,355,58,0.163380282,190,44,0.231578947,6,0.011009174
South Africa,ZAF,0,4,0,2,1992,Barcelona,ESP,134.545,South,East,38672611,63.247,6388.892675,115,2,0.017391304,76,1,0.013157895,39,1,0.025641026,0,0
Argentina,ARG,0,4,1,3,1996,Atlanta,USA,272.15,South,West,35246376,72.843,7691.760326,179,3,0.016759777,132,3,0.022727273,47,0,0,0,0
Armenia,ARM,3,2,0,2,1996,Atlanta,USA,1.596968946,North,East,3168213,69.404,4833.0877,32,2,0.0625,30,2,0.066666667,2,0,0,0,0
Australia,AUS,27,18,23,41,1996,Atlanta,USA,400.303,South,East,18311000,78.07804878,8930.279555,417,41,0.098321343,250,21,0.084,167,17,0.101796407,3,0.007194245
Austria,AUT,0,2,2,3,1996,Atlanta,USA,237.251,North,East,7959017,76.87073171,4604.985842,72,3,0.041666667,56,2,0.035714286,16,1,0.0625,0,0
Azerbaijan,AZE,0,2,0,1,1996,Atlanta,USA,3.176333837,North,East,7763000,65.573,4916.379435,23,1,0.043478261,20,1,0.05,3,0,0,0,0
Burundi,BDI,3,0,0,1,1996,Atlanta,USA,0.869033856,South,East,6060110,46.905,5532.10539,7,1,0.142857143,6,1,0.166666667,1,0,0,0,0
Belgium,BEL,6,4,2,6,1996,Atlanta,USA,279.201,North,East,10156637,77.18731707,4675.567093,62,6,0.096774194,42,3,0.071428571,20,3,0.15,0,0
Bulgaria,BGR,9,14,5,15,1996,Atlanta,USA,12.29422147,North,East,8362826,70.89731707,4584.094277,111,15,0.135135135,75,11,0.146666667,36,4,0.111111111,0,0
Bahamas,BHS,0,2,0,1,1996,Atlanta,USA,3.609,North,West,283980,71.589,6296.326029,19,1,0.052631579,13,0,0,6,1,0.166666667,0,0
Belarus,BLR,3,12,8,15,1996,Atlanta,USA,14.75684615,North,East,10160000,68.51219512,4770.616006,157,15,0.095541401,91,11,0.120879121,66,4,0.060606061,0,0
Brazil,BRA,9,6,9,15,1996,Atlanta,USA,850.426,South,West,164614682,68.695,6524.317219,221,15,0.067873303,156,7,0.044871795,65,4,0.061538462,4,0.018099548
Canada,CAN,9,22,8,22,1996,Atlanta,USA,628.546,North,West,29610218,78.1804878,6264.481855,303,22,0.072607261,152,11,0.072368421,151,11,0.072847682,0,0
Switzerland,CHE,12,6,0,7,1996,Atlanta,USA,340.471,North,East,7071850,78.89609756,4591.695619,115,7,0.060869565,72,5,0.069444444,43,1,0.023255814,1,0.008695652
China,CHN,48,44,12,50,1996,Atlanta,USA,863.747,North,East,1217550000,70.14,6152.34114,315,50,0.158730159,127,21,0.165354331,188,28,0.14893617,1,0.003174603
Costa Rica,CRI,3,0,0,1,1996,Atlanta,USA,11.67842451,North,West,3632361,76.765,6772.216453,11,1,0.090909091,6,0,0,5,1,0.2,0,0
Cuba,CUB,27,16,8,25,1996,Atlanta,USA,25.0173687,North,West,10939285,75.686,6467.743547,164,25,0.152439024,111,18,0.162162162,53,7,0.132075472,0,0
Czech Republic,CZE,12,6,4,11,1996,Atlanta,USA,67.38778863,North,East,10315241,73.71463415,4632.77991,115,11,0.095652174,76,7,0.092105263,39,4,0.102564103,0,0
Germany,DEU,60,36,27,65,1996,Atlanta,USA,2497.24,North,East,81914831,76.67317073,4684.012143,466,65,0.139484979,279,38,0.136200717,187,22,0.117647059,5,0.010729614
Denmark,DNK,12,2,1,6,1996,Atlanta,USA,187.632,North,East,5263074,75.59146341,4769.836091,119,6,0.050420168,54,3,0.055555556,65,3,0.046153846,0,0
Algeria,DZA,6,0,1,3,1996,Atlanta,USA,46.94158252,North,East,29266415,68.919,4616.552558,45,3,0.066666667,39,3,0.076923077,6,0,0,0,0
Ecuador,ECU,3,0,0,1,1996,Atlanta,USA,25.2263932,South,West,11703169,71.348,6849.429355,19,1,0.052631579,17,1,0.058823529,2,0,0,0,0
Spain,ESP,15,12,6,17,1996,Atlanta,USA,642.589,North,West,39889852,78.1204878,4676.218313,289,17,0.058823529,194,10,0.051546392,95,6,0.063157895,1,0.003460208
Ethiopia,ETH,6,0,1,3,1996,Atlanta,USA,8.547939731,North,East,58883531,49.81,5218.352425,18,3,0.166666667,10,1,0.1,8,2,0.25,0,0
Finland,FIN,3,4,1,4,1996,Atlanta,USA,132.129,North,East,5124573,76.69341463,4940.610108,76,4,0.052631579,47,3,0.063829787,29,1,0.034482759,0,0
France,FRA,45,14,15,37,1996,Atlanta,USA,1605.68,North,East,59753095,77.95365854,4657.586983,299,37,0.123745819,197,21,0.106598985,102,15,0.147058824,1,0.003344482
United Kingdom,GBR,3,16,6,15,1996,Atlanta,USA,1415.39,North,West,58166950,77.08780488,4727.145661,300,15,0.05,184,13,0.070652174,116,1,0.00862069,1,0.003333333
Georgia,GEO,0,0,2,2,1996,Atlanta,USA,3.095047604,North,East,4491699,69.635,4838.941393,34,2,0.058823529,27,2,0.074074074,7,0,0,0,0
Greece,GRC,12,8,0,8,1996,Atlanta,USA,145.862,North,East,10608800,77.68536585,4570.22862,121,8,0.066115702,87,7,0.08045977,34,1,0.029411765,0,0
Croatia,HRV,3,2,0,2,1996,Atlanta,USA,23.84661306,North,East,4557097,72.36536585,4571.386285,84,2,0.023809524,75,2,0.026666667,9,0,0,0,0
Hungary,HUN,21,8,10,21,1996,Atlanta,USA,46.65875515,North,East,10311238,70.32878049,4606.226091,213,21,0.098591549,147,15,0.102040816,66,6,0.090909091,0,0
Indonesia,IDN,3,2,2,4,1996,Atlanta,USA,227.37,South,East,199901231,64.637,6727.82979,40,4,0.1,23,2,0.086956522,17,2,0.117647059,0,0
India,IND,0,0,1,1,1996,Atlanta,USA,392.897,North,East,982365248,60.783,5416.461758,49,1,0.020408163,40,1,0.025,9,0,0,0,0
Ireland,IRL,9,0,1,4,1996,Atlanta,USA,75.7864995,North,West,3637510,75.83170732,4872.616191,78,4,0.051282051,62,0,0,16,4,0.25,0,0
Iran,IRN,3,2,1,3,1996,Atlanta,USA,120.404,North,East,62294919,68.791,4946.229137,18,3,0.166666667,17,3,0.176470588,1,0,0,0,0
Israel,ISR,0,0,1,1,1996,Atlanta,USA,110.429,North,West,5692000,78.10487805,5276.838423,25,1,0.04,18,1,0.055555556,7,0,0,0,0
Italy,ITA,39,20,12,35,1996,Atlanta,USA,1312.43,North,East,56860281,78.52195122,4550.870026,340,35,0.102941176,236,22,0.093220339,104,13,0.125,0,0
Jamaica,JAM,3,6,2,6,1996,Atlanta,USA,7.393883555,North,West,2558631,74.167,6373.497473,46,6,0.130434783,27,2,0.074074074,19,4,0.210526316,0,0
Japan,JPN,9,12,5,14,1996,Atlanta,USA,4833.71,North,East,125757000,80.2002439,6878.392656,306,14,0.045751634,157,7,0.044585987,149,7,0.046979866,0,0
Kazakhstan,KAZ,9,8,4,11,1996,Atlanta,USA,21.03536825,North,East,15578227,63.6,5407.725041,96,11,0.114583333,72,11,0.152777778,24,0,0,0,0
Kenya,KEN,3,8,3,8,1996,Atlanta,USA,12.04585844,South,East,28589456,52.709,5507.264521,52,8,0.153846154,42,7,0.166666667,10,1,0.1,0,0
South Korea,KOR,21,30,5,27,1996,Atlanta,USA,610.17,North,East,45524681,74.15121951,6422.407919,303,27,0.089108911,190,14,0.073684211,113,11,0.097345133,2,0.00660066
Lithuania,LTU,0,0,1,1,1996,Atlanta,USA,8.382519637,North,East,3601613,70.10804878,4777.694243,61,1,0.016393443,45,1,0.022222222,16,0,0,0,0
Latvia,LVA,0,2,0,1,1996,Atlanta,USA,5.969114344,North,East,2457222,68.77658537,4827.814877,47,1,0.021276596,34,1,0.029411765,13,0,0,0,0
Moldova,MDA,0,2,1,2,1996,Atlanta,USA,1.695122174,North,East,2946401,66.761,4669.953369,40,2,0.05,35,2,0.057142857,5,0,0,0,0
Mexico,MEX,0,0,1,1,1996,Atlanta,USA,410.976,North,West,93147045,72.925,7089.643002,98,1,0.010204082,71,1,0.014084507,27,0,0,0,0
Mozambique,MOZ,0,0,1,1,1996,Atlanta,USA,3.856799844,South,East,15960445,47.47,6411.84284,3,1,0.333333333,2,0,0,1,1,1,0,0
Malaysia,MYS,0,2,1,2,1996,Atlanta,USA,100.855,North,East,21017619,71.972,6345.21237,35,2,0.057142857,32,2,0.0625,3,0,0,0,0
Namibia,NAM,0,4,0,2,1996,Atlanta,USA,3.989208671,South,East,1663378,57.179,6234.273931,8,2,0.25,6,2,0.333333333,2,0,0,0,0
Nigeria,NGA,6,2,3,6,1996,Atlanta,USA,51.07581509,North,East,110668784,45.88,5132.154627,65,6,0.092307692,49,2,0.040816327,16,4,0.25,0,0
Netherlands,NLD,12,10,10,19,1996,Atlanta,USA,450.49,North,East,15530498,77.43560976,4712.2653,239,19,0.079497908,137,7,0.051094891,102,9,0.088235294,3,0.012552301
Norway,NOR,6,4,3,7,1996,Atlanta,USA,163.52,North,East,4381336,78.1504878,4905.527072,97,7,0.072164948,42,4,0.095238095,55,2,0.036363636,1,0.010309278
New Zealand,NZL,9,4,1,6,1996,Atlanta,USA,70.1408353,South,East,3732000,76.78780488,10162.12167,95,6,0.063157895,66,2,0.03030303,29,1,0.034482759,3,0.031578947
Philippines,PHL,0,2,0,1,1996,Atlanta,USA,82.84814062,North,East,71401743,68.431,6570.342239,12,1,0.083333333,8,1,0.125,4,0,0,0,0
Poland,POL,21,10,5,17,1996,Atlanta,USA,160.193,North,East,38624370,72.24634146,4703.42606,165,17,0.103030303,126,13,0.103174603,39,4,0.102564103,0,0
Puerto Rico,PRI,0,0,1,1,1996,Atlanta,USA,45.340835,North,West,3724655,74.36146341,6087.802239,69,1,0.014492754,47,1,0.021276596,22,0,0,0,0
Portugal,PRT,3,0,1,2,1996,Atlanta,USA,122.63,North,West,10063945,75.26097561,4772.6015,107,2,0.018691589,83,1,0.012048193,24,1,0.041666667,0,0
Romania,ROU,12,14,9,20,1996,Atlanta,USA,36.93707428,North,East,22619004,69.10487805,4620.226079,165,20,0.121212121,98,7,0.071428571,67,13,0.194029851,0,0
Russia,RUS,78,42,16,63,1996,Atlanta,USA,391.725,North,East,148160129,65.85414634,4889.668522,390,63,0.161538462,232,44,0.189655172,158,18,0.113924051,1,0.002564103
Slovakia,SVK,3,2,1,3,1996,Atlanta,USA,27.92503676,North,East,5373361,72.65365854,4608.349577,71,3,0.042253521,58,3,0.051724138,13,0,0,0,0
Slovenia,SVN,0,4,0,2,1996,Atlanta,USA,21.50723265,North,East,1988628,74.45853659,4572.732604,37,2,0.054054054,25,1,0.04,12,1,0.083333333,0,0
Sweden,SWE,6,8,2,8,1996,Atlanta,USA,291.744,North,East,8840998,78.95902439,4888.823928,177,8,0.04519774,111,4,0.036036036,66,3,0.045454545,1,0.005649718
Syria,SYR,3,0,0,1,1996,Atlanta,USA,13.78956088,North,East,14754148,72.205,4741.878703,7,1,0.142857143,6,0,0,1,1,1,0,0
Thailand,THA,3,0,1,2,1996,Atlanta,USA,183.035,North,East,60130190,70.215,6073.180027,37,2,0.054054054,25,2,0.08,12,0,0,0,0
Tonga,TON,0,2,0,1,1996,Atlanta,USA,0.222100576,South,West,96267,69.41,11540.09517,5,1,0.2,4,1,0.25,1,0,0,0,0
Tunisia,TUN,0,0,1,1,1996,Atlanta,USA,19.58732279,North,East,9267335,71.921,4575.978044,51,1,0.019607843,45,1,0.022222222,6,0,0,0,0
Turkey,TUR,12,2,1,6,1996,Atlanta,USA,181.476,North,East,59423278,67.57,4669.026362,53,6,0.113207547,44,6,0.136363636,9,0,0,0,0
Uganda,UGA,0,0,1,1,1996,Atlanta,USA,6.044585327,North,East,21032817,43.899,5437.071325,10,1,0.1,7,1,0.142857143,3,0,0,0,0
Ukraine,UKR,27,4,12,23,1996,Atlanta,USA,44.55807685,North,East,51057800,67.02243902,4731.877346,231,23,0.0995671,146,13,0.089041096,85,10,0.117647059,0,0
United States,USA,132,64,25,101,1996,Atlanta,USA,8073.12,North,West,269394000,76.02682927,6262.408512,648,101,0.155864198,375,58,0.154666667,273,38,0.139194139,5,0.007716049
Uzbekistan,UZB,0,2,1,2,1996,Atlanta,USA,13.94889222,North,East,23225000,66.494,5259.327183,71,2,0.028169014,63,2,0.031746032,8,0,0,0,0
South Africa,ZAF,9,2,1,5,1996,Atlanta,USA,147.608,South,East,42241007,60.595,6388.892675,84,5,0.05952381,64,2,0.03125,20,3,0.15,0,0
Zambia,ZMB,0,2,0,1,1996,Atlanta,USA,3.597220962,South,East,9339740,43.735,5970.820348,8,1,0.125,7,1,0.142857143,1,0,0,0,0
Argentina,ARG,0,4,2,4,2000,Sydney,AUS,284.204,South,West,36870796,73.576,7691.760326,143,4,0.027972028,98,2,0.020408163,45,2,0.044444444,0,0
Armenia,ARM,0,0,1,1,2000,Sydney,AUS,1.911563669,North,East,3069597,71.409,4833.0877,25,1,0.04,23,1,0.043478261,2,0,0,0,0
Australia,AUS,48,50,17,58,2000,Sydney,AUS,415.223,South,East,19153000,79.23414634,8930.279555,617,58,0.094003241,341,32,0.093841642,276,22,0.079710145,4,0.006482982
Austria,AUT,6,2,0,3,2000,Sydney,AUS,196.8,North,East,8011566,78.12682927,4604.985842,92,3,0.032608696,55,1,0.018181818,37,1,0.027027027,1,0.010869565
Azerbaijan,AZE,6,0,1,3,2000,Sydney,AUS,5.272798391,North,East,8048600,66.763,4916.379435,31,3,0.096774194,25,2,0.08,6,1,0.166666667,0,0
Belgium,BEL,0,4,3,5,2000,Sydney,AUS,236.205,North,East,10251250,77.72195122,4675.567093,70,5,0.071428571,38,2,0.052631579,32,3,0.09375,0,0
Bulgaria,BGR,15,12,2,13,2000,Sydney,AUS,13.24583384,North,East,8170172,71.66341463,4584.094277,93,13,0.139784946,53,10,0.188679245,40,3,0.075,0,0
Bahamas,BHS,6,0,1,3,2000,Sydney,AUS,8.07647,North,West,298045,71.914,6296.326029,25,3,0.12,16,1,0.0625,9,2,0.222222222,0,0
Belarus,BLR,9,6,11,17,2000,Sydney,AUS,12.73891213,North,East,9979610,68.91219512,4770.616006,139,17,0.122302158,72,9,0.125,67,8,0.119402985,0,0
Brazil,BRA,0,12,6,12,2000,Sydney,AUS,655.421,South,West,174790339,70.116,6524.317219,198,12,0.060606061,106,5,0.047169811,92,4,0.043478261,3,0.015151515
Barbados,BRB,0,0,1,1,2000,Sydney,AUS,3.0595,North,West,271511,77.162,6011.81396,18,1,0.055555556,12,1,0.083333333,6,0,0,0,0
Canada,CAN,9,6,8,14,2000,Sydney,AUS,744.773,North,West,30685730,79.13658537,6264.481855,294,14,0.047619048,150,7,0.046666667,144,7,0.048611111,0,0
Switzerland,CHE,3,12,2,9,2000,Sydney,AUS,279.841,North,East,7184250,79.6804878,4591.695619,102,9,0.088235294,64,3,0.046875,38,5,0.131578947,1,0.009803922
Chile,CHL,0,0,1,1,2000,Sydney,AUS,77.86093215,South,West,15342350,76.366,7824.832182,50,1,0.02,43,1,0.023255814,7,0,0,0,0
China,CHN,84,32,14,58,2000,Sydney,AUS,1211.35,North,East,1262645000,71.397,6152.34114,321,58,0.180685358,134,23,0.171641791,187,34,0.181818182,1,0.003115265
Cameroon,CMR,3,0,0,1,2000,Sydney,AUS,10.10904507,North,East,15513944,50.993,5286.381803,38,1,0.026315789,27,1,0.037037037,11,0,0,0,0
Colombia,COL,3,0,0,1,2000,Sydney,AUS,99.88657733,North,West,39629965,72.945,6596.774323,44,1,0.022727273,25,0,0,19,1,0.052631579,0,0
Costa Rica,CRI,0,0,2,2,2000,Sydney,AUS,15.01362967,North,West,3962369,77.452,6772.216453,7,2,0.285714286,5,0,0,2,2,1,0,0
Cuba,CUB,33,22,7,29,2000,Sydney,AUS,30.5654,North,West,11126423,76.699,6467.743547,229,29,0.126637555,147,22,0.149659864,82,7,0.085365854,0,0
Czech Republic,CZE,6,6,3,8,2000,Sydney,AUS,61.8281665,North,East,10255063,74.96829268,4632.77991,119,8,0.067226891,86,7,0.081395349,33,1,0.03030303,0,0
Germany,DEU,39,34,26,56,2000,Sydney,AUS,1943.15,North,East,82211508,77.92682927,4684.012143,422,56,0.132701422,241,32,0.132780083,181,18,0.099447514,6,0.014218009
Denmark,DNK,6,6,1,6,2000,Sydney,AUS,164.159,North,East,5339616,76.59268293,4769.836091,97,6,0.06185567,53,3,0.056603774,44,2,0.045454545,1,0.010309278
Algeria,DZA,3,2,3,5,2000,Sydney,AUS,54.79037946,North,East,31042238,70.64,4616.552558,47,5,0.106382979,37,4,0.108108108,10,1,0.1,0,0
