,Year,Country Code,Male Wins,Male Medal Ratio,Female Wins,Female Medal Ratio,Total Medal Count,Open Wins,Open Win Ratio
208,1984,AUS,16.0,0.6666666666666666,7.0,0.2916666666666667,24,1.0,0.041666666666666664
209,1984,AUT,3.0,1.0,,,3,,
210,1984,BEL,2.0,0.5,2.0,0.5,4,0.0,0.0
211,1984,BRA,7.0,0.875,,,8,,
212,1984,CAN,25.0,0.5681818181818182,16.0,0.36363636363636365,44,3.0,0.06818181818181818
213,1984,CHE,5.0,0.625,,,8,,
214,1984,CHN,22.0,0.6875,10.0,0.3125,32,0.0,0.0
215,1984,CIV,1.0,1.0,,,1,,
216,1984,CMR,1.0,1.0,,,1,,
217,1984,COL,1.0,1.0,,,1,,
218,1984,DEU,36.0,0.6101694915254238,18.0,0.3050847457627119,59,5.0,0.0847457627118644
219,1984,DNK,3.0,0.5,1.0,0.16666666666666666,6,2.0,0.3333333333333333
220,1984,DOM,1.0,1.0,,,1,,
221,1984,DQ,3.0,0.5,3.0,0.5,6,0.0,0.0
222,1984,DZA,2.0,1.0,,,2,,
223,1984,EGY,1.0,1.0,,,1,,
224,1984,ESP,4.0,0.8,,,5,,
225,1984,FIN,11.0,0.9166666666666666,1.0,0.08333333333333333,12,0.0,0.0
226,1984,FRA,24.0,0.8571428571428571,3.0,0.10714285714285714,28,1.0,0.03571428571428571
227,1984,GBR,23.0,0.6216216216216216,10.0,0.2702702702702703,37,4.0,0.10810810810810811
228,1984,GRC,2.0,1.0,,,2,,
229,1984,IRL,1.0,1.0,,,1,,
230,1984,ISL,1.0,1.0,,,1,,
231,1984,ITA,25.0,0.78125,4.0,0.125,32,3.0,0.09375
232,1984,JAM,1.0,0.3333333333333333,2.0,0.6666666666666666,3,0.0,0.0
233,1984,JPN,29.0,0.90625,3.0,0.09375,32,0.0,0.0
234,1984,KEN,3.0,1.0,,,3,,
235,1984,KOR,15.0,0.7894736842105263,4.0,0.21052631578947367,19,0.0,0.0
236,1984,MEX,6.0,1.0,,,6,,
237,1984,MNE,17.0,0.9444444444444444,1.0,0.05555555555555555,18,0.0,0.0
238,1984,MUS,1.0,0.5,1.0,0.5,2,0.0,0.0
239,1984,NGA,2.0,1.0,,,2,,
240,1984,NLD,2.0,0.15384615384615385,11.0,0.8461538461538461,13,0.0,0.0
241,1984,NOR,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
242,1984,NZL,8.0,0.7272727272727273,,,11,,
243,1984,PAK,1.0,1.0,,,1,,
244,1984,PRI,2.0,1.0,,,2,,
245,1984,PRT,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
246,1984,ROU,25.0,0.4716981132075472,28.0,0.5283018867924528,53,0.0,0.0
247,1984,SWE,15.0,0.7894736842105263,3.0,0.15789473684210525,19,1.0,0.05263157894736842
248,1984,SYR,1.0,1.0,,,1,,
249,1984,THA,1.0,1.0,,,1,,
250,1984,TUR,3.0,1.0,,,3,,
251,1984,TWN,1.0,1.0,,,1,,
252,1984,USA,101.0,0.5804597701149425,60.0,0.3448275862068966,174,13.0,0.07471264367816093
253,1984,VEN,3.0,1.0,,,3,,
254,1984,ZMB,1.0,1.0,,,1,,
255,1988,ARG,1.0,0.5,1.0,0.5,2,0.0,0.0
256,1988,AUS,9.0,0.6428571428571429,5.0,0.35714285714285715,14,0.0,0.0
257,1988,AUT,1.0,1.0,,,1,,
258,1988,BEL,1.0,0.5,,,2,,
259,1988,BGR,19.0,0.5428571428571428,16.0,0.45714285714285713,35,0.0,0.0
260,1988,BRA,4.0,0.6666666666666666,,,6,,
261,1988,CAN,5.0,0.5,3.0,0.3,10,2.0,0.2
262,1988,CHE,2.0,0.5,,,4,,
263,1988,CHN,13.0,0.4642857142857143,15.0,0.5357142857142857,28,0.0,0.0
264,1988,COL,1.0,1.0,,,1,,
265,1988,CRI,,,1.0,1.0,1,,
266,1988,CZE,6.0,0.75,1.0,0.125,8,1.0,0.125
267,1988,DEU,74.0,0.5211267605633803,61.0,0.4295774647887324,142,7.0,0.04929577464788732
268,1988,DJI,1.0,1.0,,,1,,
269,1988,DNK,2.0,0.5,,,4,,
270,1988,DQ,4.0,1.0,,,4,,
271,1988,ESP,2.0,0.5,,,4,,
272,1988,FIN,4.0,1.0,,,4,,
273,1988,FRA,11.0,0.6875,1.0,0.0625,16,4.0,0.25
274,1988,GBR,17.0,0.7083333333333334,3.0,0.125,24,4.0,0.16666666666666666
275,1988,GRC,1.0,1.0,,,1,,
276,1988,HUN,19.0,0.8260869565217391,4.0,0.17391304347826086,23,0.0,0.0
277,1988,IDN,,,1.0,1.0,1,,
278,1988,IRN,1.0,1.0,,,1,,
279,1988,ITA,13.0,0.9285714285714286,1.0,0.07142857142857142,14,0.0,0.0
280,1988,JAM,1.0,0.5,1.0,0.5,2,0.0,0.0
281,1988,JPN,11.0,0.7857142857142857,3.0,0.21428571428571427,14,0.0,0.0
282,1988,KEN,9.0,1.0,,,9,,
283,1988,KOR,26.0,0.7878787878787878,7.0,0.21212121212121213,33,0.0,0.0
284,1988,MEX,2.0,1.0,,,2,,
285,1988,MNE,8.0,0.6666666666666666,4.0,0.3333333333333333,12,0.0,0.0
286,1988,MNG,1.0,1.0,,,1,,
287,1988,MUS,3.0,1.0,,,3,,
288,1988,NLD,5.0,0.5555555555555556,4.0,0.4444444444444444,9,0.0,0.0
289,1988,NOR,3.0,0.6,1.0,0.2,5,1.0,0.2
290,1988,NZL,7.0,0.5384615384615384,1.0,0.07692307692307693,13,5.0,0.38461538461538464
291,1988,PAK,1.0,1.0,,,1,,
292,1988,PER,,,1.0,1.0,1,,
293,1988,PHL,1.0,1.0,,,1,,
294,1988,POL,15.0,0.9375,1.0,0.0625,16,0.0,0.0
295,1988,PRT,,,1.0,1.0,1,,
296,1988,ROU,7.0,0.2916666666666667,17.0,0.7083333333333334,24,0.0,0.0
297,1988,RUS,95.0,0.7196969696969697,36.0,0.2727272727272727,132,1.0,0.007575757575757576
298,1988,SEN,1.0,1.0,,,1,,
299,1988,SUR,1.0,1.0,,,1,,
300,1988,SWE,10.0,0.9090909090909091,1.0,0.09090909090909091,11,0.0,0.0
301,1988,THA,1.0,1.0,,,1,,
302,1988,TUR,2.0,1.0,,,2,,
303,1988,USA,60.0,0.6382978723404256,29.0,0.30851063829787234,94,5.0,0.05319148936170213
304,1992,ARG,1.0,1.0,,,1,,
305,1992,AUS,14.0,0.5185185185185185,10.0,0.37037037037037035,27,3.0,0.1111111111111111
306,1992,AUT,1.0,0.5,,,2,,
307,1992,BEL,1.0,0.3333333333333333,2.0,0.6666666666666666,3,0.0,0.0
308,1992,BGR,11.0,0.6875,5.0,0.3125,16,0.0,0.0
309,1992,BHS,1.0,1.0,,,1,,
310,1992,BRA,3.0,1.0,,,3,,
311,1992,CAN,10.0,0.5555555555555556,7.0,0.3888888888888889,18,1.0,0.05555555555555555
312,1992,CHE,1.0,1.0,,,1,,
313,1992,CHN,19.0,0.35185185185185186,34.0,0.6296296296296297,54,1.0,0.018518518518518517
314,1992,COL,,,1.0,1.0,1,,
315,1992,CUB,23.0,0.7419354838709677,8.0,0.25806451612903225,31,0.0,0.0
316,1992,CZE,6.0,0.8571428571428571,,,7,,
317,1992,DEU,45.0,0.5487804878048781,30.0,0.36585365853658536,82,7.0,0.08536585365853659
318,1992,DNK,4.0,0.6666666666666666,,,6,,
319,1992,DQ,4.0,0.5714285714285714,3.0,0.42857142857142855,7,0.0,0.0
320,1992,DZA,1.0,0.5,1.0,0.5,2,0.0,0.0
321,1992,ESP,13.0,0.5909090909090909,8.0,0.36363636363636365,22,1.0,0.045454545454545456
322,1992,EST,1.0,0.5,1.0,0.5,2,0.0,0.0
323,1992,ETH,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
324,1992,FIN,5.0,1.0,,,5,,
325,1992,FRA,20.0,0.6896551724137931,7.0,0.2413793103448276,29,2.0,0.06896551724137931
326,1992,GBR,13.0,0.65,6.0,0.3,20,1.0,0.05
327,1992,GHA,1.0,1.0,,,1,,
328,1992,GRC,1.0,0.5,1.0,0.5,2,0.0,0.0
329,1992,HRV,3.0,1.0,,,3,,
330,1992,HUN,21.0,0.7,9.0,0.3,30,0.0,0.0
331,1992,IDN,4.0,0.8,1.0,0.2,5,0.0,0.0
332,1992,IRL,2.0,1.0,,,2,,
333,1992,IRN,3.0,1.0,,,3,,
334,1992,ISR,1.0,0.5,1.0,0.5,2,0.0,0.0
335,1992,ITA,14.0,0.7368421052631579,3.0,0.15789473684210525,19,2.0,0.10526315789473684
336,1992,JAM,1.0,0.25,3.0,0.75,4,0.0,0.0
337,1992,JPN,12.0,0.5454545454545454,9.0,0.4090909090909091,22,1.0,0.045454545454545456
338,1992,KEN,8.0,1.0,,,8,,
339,1992,KOR,18.0,0.6206896551724138,11.0,0.3793103448275862,29,0.0,0.0
340,1992,LTU,2.0,1.0,,,2,,
341,1992,LVA,3.0,1.0,,,3,,
342,1992,MEX,1.0,1.0,,,1,,
343,1992,MNG,1.0,0.5,1.0,0.5,2,0.0,0.0
344,1992,MUS,3.0,1.0,,,3,,
345,1992,MYS,1.0,1.0,,,1,,
346,1992,NAM,2.0,1.0,,,2,,
347,1992,NGA,3.0,0.75,1.0,0.25,4,0.0,0.0
