Country Code,Male,Female,Total,Year
MLT,7,1,8,1980
MMR,2,0,2,1980
MNG,39,4,43,1980
MOZ,12,2,14,1980
NGA,38,6,44,1980
NIC,3,2,5,1980
NLD,57,18,75,1980
NPL,10,0,10,1980
NZL,4,0,4,1980
PER,14,14,28,1980
POL,232,74,306,1980
PRI,3,0,3,1980
PRK,39,8,47,1980
PRT,10,1,11,1980
ROU,156,70,226,1980
RUS,340,149,489,1980
SEN,30,2,32,1980
SLE,12,2,14,1980
SMR,16,0,16,1980
SWE,122,23,145,1980
SYC,9,2,11,1980
SYR,65,2,67,1980
TTO,9,0,9,1980
UGA,13,0,13,1980
VEN,37,0,37,1980
VNM,22,8,30,1980
ZMB,37,0,37,1980
ZWE,23,19,42,1980
AND,2,0,2,1984
ARE,7,0,7,1984
ARG,71,10,81,1984
ATG,13,9,22,1984
AUS,169,73,242,1984
AUT,71,31,102,1984
BEL,47,16,63,1984
BEN,3,0,3,1984
BGD,1,0,1,1984
BHS,17,5,22,1984
BLZ,11,0,11,1984
BMU,11,1,12,1984
BOL,10,1,11,1984
BRA,126,21,147,1984
BRB,13,3,16,1984
BRN,10,0,10,1984
BTN,3,3,6,1984
BWA,7,0,7,1984
CAF,3,0,3,1984
CAN,257,151,408,1984
CHE,102,27,129,1984
CHN,182,85,267,1984
CIV,14,1,15,1984
CMR,42,4,46,1984
COD,7,1,8,1984
COG,8,1,9,1984
COL,36,3,39,1984
CRI,27,1,28,1984
CYM,7,1,8,1984
CYP,10,0,10,1984
DEU,267,123,390,1984
DJI,3,0,3,1984
DNK,49,11,60,1984
DOM,15,4,19,1984
DZA,33,0,33,1984
ECU,10,1,11,1984
EGY,108,6,114,1984
ESP,163,16,179,1984
FIN,73,13,86,1984
FJI,11,3,14,1984
FRA,189,49,238,1984
GAB,2,2,4,1984
GBR,229,108,337,1984
GHA,14,7,21,1984
GIN,1,0,1,1984
GMB,6,4,10,1984
GNQ,4,0,4,1984
GRC,59,4,63,1984
GRD,5,1,6,1984
GTM,20,4,24,1984
GUY,8,2,10,1984
HKG,36,11,47,1984
HND,7,3,10,1984
HRV,105,34,139,1984
HTI,1,2,3,1984
IDN,13,3,16,1984
IND,42,6,48,1984
IRL,28,14,42,1984
IRQ,23,0,23,1984
ISL,27,3,30,1984
ISR,24,8,32,1984
ITA,222,46,268,1984
JAM,31,14,45,1984
JOR,12,1,13,1984
JPN,174,52,226,1984
KEN,56,5,61,1984
KOR,116,59,175,1984
KWT,23,0,23,1984
LBN,21,1,22,1984
LBR,6,1,7,1984
LIE,5,2,7,1984
LKA,4,0,4,1984
LSO,4,0,4,1984
LUX,4,1,5,1984
MAR,33,1,34,1984
MCO,8,0,8,1984
MDG,5,0,5,1984
MEX,77,22,99,1984
MLI,4,0,4,1984
MLT,5,2,7,1984
MMR,1,0,1,1984
MOZ,8,1,9,1984
MRT,2,0,2,1984
MUS,3,1,4,1984
MWI,15,0,15,1984
MYS,20,1,21,1984
NER,4,0,4,1984
NGA,30,2,32,1984
NIC,5,0,5,1984
NLD,82,54,136,1984
NOR,84,19,103,1984
NPL,10,0,10,1984
NZL,98,32,130,1984
OMN,16,0,16,1984
PAK,31,0,31,1984
PAN,7,1,8,1984
PER,19,16,35,1984
PHL,15,4,19,1984
PNG,4,3,7,1984
PRI,43,8,51,1984
PRT,29,9,38,1984
PRY,14,0,14,1984
QAT,24,0,24,1984
ROU,71,53,124,1984
RWA,2,1,3,1984
SAU,37,0,37,1984
SDN,7,0,7,1984
SEN,23,1,24,1984
SGP,5,0,5,1984
SLB,3,0,3,1984
SLE,6,1,7,1984
SLV,9,1,10,1984
SMR,18,1,19,1984
SOM,7,0,7,1984
SUR,5,0,5,1984
SWE,131,43,174,1984
SWZ,8,0,8,1984
SYC,8,1,9,1984
SYR,9,0,9,1984
TCD,3,0,3,1984
TGO,6,0,6,1984
THA,25,10,35,1984
TON,7,0,7,1984
TTO,11,5,16,1984
TUN,22,1,23,1984
TUR,45,1,46,1984
TWN,31,7,38,1984
TZA,16,2,18,1984
UGA,24,2,26,1984
URY,17,1,18,1984
USA,339,183,522,1984
VEN,25,1,26,1984
VGB,9,0,9,1984
VIR,26,3,29,1984
WSM,8,0,8,1984
YEM,2,0,2,1984
ZMB,16,0,16,1984
ZWE,12,3,15,1984
ABW,4,4,8,1988
AFG,5,0,5,1988
AGO,19,5,24,1988
AND,3,0,3,1988
ARE,12,0,12,1988
ARG,93,25,118,1988
ASM,6,0,6,1988
ATG,14,4,18,1988
AUS,180,72,252,1988
AUT,66,7,73,1988
BEL,35,24,59,1988
BEN,6,1,7,1988
BFA,5,1,6,1988
BGD,6,0,6,1988
BGR,104,68,172,1988
BHS,12,4,16,1988
BLZ,10,0,10,1988
BMU,11,1,12,1988
BOL,6,1,7,1988
BRA,127,33,160,1988
BRB,16,1,17,1988
BRN,7,0,7,1988
BTN,3,0,3,1988
BWA,8,0,8,1988
CAF,15,0,15,1988
CAN,223,105,328,1988
CHE,72,27,99,1988
CHN,165,125,290,1988
CIV,11,17,28,1988
CMR,13,2,15,1988
COD,13,2,15,1988
COG,5,2,7,1988
COK,6,1,7,1988
COL,34,6,40,1988
CRI,9,7,16,1988
CYM,7,1,8,1988
CYP,7,2,9,1988
CZE,110,53,163,1988
DEU,401,205,606,1988
DJI,6,0,6,1988
DNK,67,21,88,1988
DOM,15,1,16,1988
DZA,40,2,42,1988
ECU,10,3,13,1988
EGY,48,1,49,1988
ESP,200,29,229,1988
FIN,59,19,78,1988
FJI,19,4,23,1988
FRA,192,74,266,1988
GAB,1,1,2,1988
GBR,219,126,345,1988
GHA,10,6,16,1988
GIN,6,0,6,1988
GMB,5,1,6,1988
GNQ,4,2,6,1988
GRC,44,12,56,1988
GRD,4,2,6,1988
GTM,25,3,28,1988
GUY,7,1,8,1988
HKG,38,10,48,1988
HND,7,1,8,1988
HRV,117,38,155,1988
HTI,3,1,4,1988
HUN,152,36,188,1988
IDN,23,6,29,1988
IND,39,7,46,1988
IRL,52,9,61,1988
IRN,23,0,23,1988
IRQ,27,0,27,1988
ISL,28,4,32,1988
ISR,14,4,18,1988
ITA,212,41,253,1988
JAM,24,11,35,1988
JOR,5,2,7,1988
JPN,186,69,255,1988
KEN,70,4,74,1988
KOR,269,132,401,1988
