,Country,Gold,Silver,Bronze,Total,Year,Life Expectancy at Birth,Population,GDP (Billions),Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
190,Ireland,0,1,1,2,1980,72.9,3401000.0,399.0,North,West,8052.048537000001,5591.3584630000005,1029.328577,3827.483511,2380.1236949999998,6261.276638,7325.311381999999,933.5597391000001,4477.958742,10484.38373,1943.4083030000002,6746.474883,356.68401439999997,5627.79411,8052.048537000001
194,France,6,5,3,14,1980,74.3,53880012.0,2716.0,North,East,7556.722473000001,5888.888745,512.7500361000001,4251.2845259999995,1978.1957579999998,6651.180372999999,6830.559026999999,490.59273449999995,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473000001
195,Mexico,0,1,3,4,1980,67.2,67561216.0,1269.0,North,West,13085.252,0.0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.988130000002,6810.8918650000005,11838.94405,5845.682904,4215.212132,13085.252
197,Germany,47,37,42,126,1980,72.9,78288576.0,3861.0,North,East,6996.0687849999995,6545.682422999999,301.17456519999996,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867000001,6034.938596,6996.0687849999995
200,Finland,3,1,4,8,1980,73.6,4779537.0,269.0,North,East,6482.014653,7342.902147,1107.2607699999999,5585.00046,746.7650967000001,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.6725609999999,6834.621887,6482.014653
202,Greece,1,0,2,3,1980,75.3,9642505.0,205.0,North,East,6345.328465,6810.8918650000005,975.5308696000001,5434.583731000001,1447.5926359999999,7740.653077,5626.014846,1191.790232,5894.536993,8541.551997,0.0,5065.428159,1597.4372369999999,5536.760728,6345.328465
204,Denmark,2,1,2,5,1980,74.3,5123027.0,350.0,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.5487890000002,7280.410025,6357.022542000001,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967
207,Austria,1,2,1,4,1980,72.6,7549433.0,445.0,North,East,6793.721355,6605.111663000001,253.3477585,5014.993429,1259.691378,7405.4282840000005,6067.3108600000005,896.7318071000001,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.695629999999,6793.721355
208,Australia,2,2,5,9,1980,74.6,14695356.0,1397.0,South,East,4913.860856,14055.774080000001,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.026119999999,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856
213,Turkey,0,0,3,3,1984,60.9,49070000.0,761.0,North,East,5854.362249,7323.680995999999,1288.161151,5916.970404,1126.75407,8241.393981000001,5132.585459000001,1662.950453,6396.995306,8225.602013,514.4316727,4567.836208,1956.5563379999999,5972.752883,5854.362249
215,Colombia,0,1,0,1,1984,66.0,30350086.0,323.0,North,West,11864.03068,1711.573173,5564.846725,2841.333395,7028.4927769999995,3168.141186,11181.17542,4881.775916,2107.092876,12575.93558,5794.551013,10665.316920000001,5179.650627,2523.667877,11864.03068
220,Netherlands,5,2,6,13,1984,76.4,14424211.0,907.0,North,East,7464.868875,6100.454387,476.857991,4398.587044,1805.1512579999999,6820.142453,6738.124602,759.0711687,5020.216004,9971.222179999999,1445.327934,6159.095349,257.7032749,5802.288098,7464.868875
223,Switzerland,0,4,4,8,1984,76.9,6441865.0,731.0,North,East,7266.357867000001,6107.655201,258.5672781,4524.212450999999,1752.428395,6907.624089,6540.694834000001,453.42408889999996,5082.748138,9621.005369,1079.457978,5966.725534,519.0484637,5529.126736,7266.357867000001
228,Denmark,0,3,3,6,1984,74.8,5111619.0,350.0,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.5487890000002,7280.410025,6357.022542000001,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967
229,Austria,1,1,1,3,1984,73.7,7561434.0,445.0,North,East,6793.721355,6605.111663000001,253.3477585,5014.993429,1259.691378,7405.4282840000005,6067.3108600000005,896.7318071000001,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.695629999999,6793.721355
230,Spain,1,2,2,5,1984,76.4,38325244.0,1393.0,North,West,7819.620505,5420.702243,984.7989516000001,3954.379329,2462.2224969999997,6282.117102,7098.169379999999,316.7736503,4442.023961,9872.403926,1480.791019,6533.068547,788.7473852,4867.835698,7819.620505
231,Portugal,1,0,2,3,1984,72.7,9996232.0,240.0,North,West,8123.950193000001,5089.808385,1313.294218,3661.9932350000004,2795.165071,5966.667892,7404.1561409999995,648.5692576,4123.443749,10074.42094,1778.72057,6841.824291,1020.472164,4622.586205,8123.950193000001
232,Greece,0,1,1,2,1984,76.2,9895801.0,205.0,North,East,6345.328465,6810.8918650000005,975.5308696000001,5434.583731000001,1447.5926359999999,7740.653077,5626.014846,1191.790232,5894.536993,8541.551997,0.0,5065.428159,1597.4372369999999,5536.760728,6345.328465
233,New Zealand,8,1,2,11,1984,73.8,3278850.0,209.0,South,East,5633.175948,15503.5678,10817.74758,14901.591980000001,10022.90373,16800.398240000002,6014.854576,10995.367040000001,15046.355969999999,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948
235,Iceland,0,0,1,1,1984,77.7,239506.0,24.84,North,West,9018.393459,5245.729781,2118.677261,3215.6147339999998,3271.92983,5670.837692,8293.256423,2033.6180739999998,4018.7276770000003,11605.731759999999,3064.8591530000003,7710.615495,1467.43064,6118.429833,9018.393459
237,Canada,10,18,16,44,1984,76.2,25607053.0,1742.0,North,West,11761.45096,2215.2769989999997,4754.326022,17.85869536,6197.178624,2462.817034,11038.504659999999,4244.864847999999,933.6493083999999,13525.33305,5424.860063,10469.8937,4136.60053,5023.162376,11761.45096
